Symbol,Date,Open,High,Low,Close,Volume
LOB,03-Aug-2015,20.39,20.5,20.04,20.17,158400
LOCO,03-Aug-2015,18.71,18.93,18.51,18.73,607400
LOGI,03-Aug-2015,14.37,14.42,14.24,14.26,430000
LOGM,03-Aug-2015,73.51,74.25,72.56,73.07,235600
LOJN,03-Aug-2015,3.54,3.55,3.48,3.48,8700
LONG,03-Aug-2015,14.22,14.75,14,14.22,115500
LOOK,03-Aug-2015,0.59,0.59,0.46,0.54,53800
LOPE,03-Aug-2015,43.2,43.58,42.89,43.16,242700
LORL,03-Aug-2015,63.44,63.63,62.78,63.13,44200
LOXO,03-Aug-2015,20.97,21.48,19.42,20.13,131500
LPCN,03-Aug-2015,12.27,13.4,12.27,12.76,202600
LPLA,03-Aug-2015,47.08,47.35,46.74,47.34,1040500
LPNT,03-Aug-2015,82.96,86.06,82.67,83.08,443200
LPSB,03-Aug-2015,13.65,13.65,13.65,13.65,300
LPSN,03-Aug-2015,9.63,9.7,9.05,9.17,443400
LPTH,03-Aug-2015,1.57,1.62,1.5,1.62,51600
LPTN,03-Aug-2015,0.26,0.28,0.26,0.26,438700
LQDT,03-Aug-2015,8.97,9.1,8.76,8.88,147300
LRAD,03-Aug-2015,1.72,1.72,1.59,1.61,14600
LRCX,03-Aug-2015,76.71,76.88,75.33,75.74,2646800
LSBG,03-Aug-2015,14.9,14.95,14.9,14.95,3000
LSBK,03-Aug-2015,13.5,13.5,13.5,13.5,0
LSCC,03-Aug-2015,4.89,4.89,4.24,4.36,4979700
LSTR,03-Aug-2015,72.39,73.29,71.58,72.32,408900
LTBR,03-Aug-2015,0.85,0.95,0.85,0.87,62500
LTRPA,03-Aug-2015,29.25,29.68,28.82,29.09,374900
LTRPB,03-Aug-2015,30.58,30.58,30.58,30.58,100
LTRX,03-Aug-2015,1.39,1.39,1.11,1.23,18200
LTXB,03-Aug-2015,30.4,30.49,29.62,30.06,178900
LULU,03-Aug-2015,62.78,62.96,61.13,61.87,1654000
LUNA,03-Aug-2015,1.15,1.29,1.15,1.18,251500
LVNTA,03-Aug-2015,41.43,41.95,41.06,41.4,624100
LVNTB,03-Aug-2015,41.77,41.77,41.77,41.77,400
LWAY,03-Aug-2015,14.78,15.35,14.56,15.31,23700
LXRX,03-Aug-2015,11.19,13.8,10.83,13.6,32522600
