Symbol,Date,Open,High,Low,Close,Volume
ADDA.IDX,28-Oct-2015,49,142,39,108,0
ADDD.IDX,28-Oct-2015,-1,4,-27,-14,0
ADDE.IDX,28-Oct-2015,364,820,236,483,0
ADDN.IDX,28-Oct-2015,718,1558,576,1384,0
ADDQ.IDX,28-Oct-2015,410,1577,271,1516,0
ADDS.IDX,28-Oct-2015,132,403,67,133,0
ADDT.IDX,28-Oct-2015,1177,3248,909,3008,0
ADDV.IDX,28-Oct-2015,25,96,18,48,0
ADDX.IDX,28-Oct-2015,157,462,86,181,0
ADR.IDX,28-Oct-2015,828.22,835.41,824.5,832.42,0
ADRA.IDX,28-Oct-2015,2.22,4.3,1.76,2.77,0
ADRD.IDX,28-Oct-2015,1,1.15,0.53,0.8,0
ADRE.IDX,28-Oct-2015,2.19,3.75,1.37,1.91,0
ADRN.IDX,28-Oct-2015,2.13,6.58,1.75,4.77,0
ADRQ.IDX,28-Oct-2015,1.53,4.79,1.3,4.15,0
ADRS.IDX,28-Oct-2015,1.53,1.87,1.11,1.17,0
ADRT.IDX,28-Oct-2015,1.81,5.24,1.54,4.31,0
ADRV.IDX,28-Oct-2015,1.37,1.55,1.14,1.17,0
ADRX.IDX,28-Oct-2015,1.5,1.75,1.15,1.17,0
ADVA.IDX,28-Oct-2015,89,186,89,169,37499300
ADVD.IDX,28-Oct-2015,21,57,21,57,228361600
ADVE.IDX,28-Oct-2015,669,1133,667,1012,1044080000
ADVN.IDX,28-Oct-2015,1350,1837,1314,1751,3467691000
ADVQ.IDX,28-Oct-2015,1182,2008,1169,1996,1607207000
ADVS.IDX,28-Oct-2015,379,884,379,882,248725300
ADVT.IDX,28-Oct-2015,2621,4013,2573,3916,5112396000
ADVV.IDX,28-Oct-2015,91,323,91,319,54755600
ADVX.IDX,28-Oct-2015,470,1201,470,1201,303480900
AEX.IDX,28-Oct-2015,459.51,464.29,458.73,463.21,0
AMZ.IDX,28-Oct-2015,310.97,321.83,310.1,321.43,0
ASHD.IDX,28-Oct-2015,110,696,110,585,0
ASHF.IDX,28-Oct-2015,238,909,238,550,0
ASHR.IDX,28-Oct-2015,3.16,3.71,1.37,1.94,0
ASHU.IDX,28-Oct-2015,348,1256,348,1135,0
ATX.IDX,28-Oct-2015,2410.51,2435.9,2391.52,2435.49,0
AVDA.IDX,28-Oct-2015,146.44,2973.71,146.44,1980.81,0
AVDD.IDX,28-Oct-2015,827.36,9681.57,-1923.77,9206.47,0
AVDE.IDX,28-Oct-2015,833.2,40710.55,-4974.5,35606.31,0
AVDQ.IDX,28-Oct-2015,366.08,123579.08,366.08,123579.08,0
AVDS.IDX,28-Oct-2015,664.05,14701.72,664.05,11844.24,0
AVDV.IDX,28-Oct-2015,-61.88,1759.21,-234.25,1500.2,0
AVDX.IDX,28-Oct-2015,602.17,15888.35,602.17,13344.44,0
AVLD.IDX,28-Oct-2015,5.37,615.67,5.37,615.66,0
AVLF.IDX,28-Oct-2015,0.47,413.15,-96.22,278.49,0
AVLR.IDX,28-Oct-2015,1.08,3.82,0.8,1.45,0
AVLU.IDX,28-Oct-2015,5.84,894.19,5.84,894.15,0
AVRA.IDX,28-Oct-2015,6.74,20.87,1.45,2.11,0
AVRD.IDX,28-Oct-2015,9.07,9.07,0.46,1.67,0
AVRE.IDX,28-Oct-2015,1.51,3.6,0.9,1.51,0
AVRN.IDX,28-Oct-2015,0.56,3.11,0.56,3.06,0
AVRQ.IDX,28-Oct-2015,1.12,4.46,1.09,4.46,0
AVRS.IDX,28-Oct-2015,3.14,7.42,1.6,1.9,0
AVRT.IDX,28-Oct-2015,0.7,3.38,0.7,3.38,0
AVRV.IDX,28-Oct-2015,0.82,1.65,0.64,1.37,0
AVRX.IDX,28-Oct-2015,1.91,4.67,1.55,1.78,0
AVVA.IDX,28-Oct-2015,1.71,39.62,1.71,37.49,0
AVVD.IDX,28-Oct-2015,9.29,232.98,9.29,228.36,0
AVVE.IDX,28-Oct-2015,24.4,1052.73,24.4,1044.08,0
AVVN.IDX,28-Oct-2015,55.85,3467.69,55.85,3467.69,0
AVVQ.IDX,28-Oct-2015,32.89,1607.2,32.89,1607.2,0
AVVS.IDX,28-Oct-2015,9.73,248.72,9.73,248.72,0
AVVT.IDX,28-Oct-2015,90.46,5112.39,90.46,5112.39,0
AVVV.IDX,28-Oct-2015,2.89,54.93,2.89,54.75,0
AVVX.IDX,28-Oct-2015,12.63,303.48,12.63,303.48,0
BANK.IDX,28-Oct-2015,2843.78,2943.75,2843.78,2943.75,0
BCMM.IDX,28-Oct-2015,100.26,102.31,100.17,102.3,0
BFX.IDX,28-Oct-2015,3528.79,3581.49,3526.87,3579.36,0
BJE.IDX,28-Oct-2015,179.32,180.25,174.75,180.25,0
BKNIF.IDX,28-Oct-2015,17589.35,17682.45,17281.4,17373.15,0
BKX.IDX,28-Oct-2015,72.36,74.96,72.36,74.86,0
BSESN.IDX,28-Oct-2015,27131.71,27163.98,26919.96,27039.76,0
BTK.IDX,28-Oct-2015,3566.13,3604.96,3494.95,3604.96,0
BTS.IDX,28-Oct-2015,3476.24,3476.24,3476.24,3476.24,0
BVSP.IDX,28-Oct-2015,47037.918,47441.4961,46388.1445,46740.8477,0
BWH.IDX,28-Oct-2015,187.7,188.07,184.84,187.06,0
BXD.IDX,28-Oct-2015,271.23,272.07,271.07,272.07,0
BXM.IDX,28-Oct-2015,1136.47,1140.54,1135.4,1140.54,0
BXN.IDX,28-Oct-2015,469.58,470.43,468.9,470.43,0
BXR.IDX,28-Oct-2015,209,212.19,208.99,212.18,0
BXY.IDX,28-Oct-2015,1540.27,1548.19,1537.8,1548.17,0
BZJ.IDX,28-Oct-2015,57.85,59.45,57.67,59.01,0
CAC40.IDX,28-Oct-2015,4857.85,4907.84,4848.5,4890.58,0
CASE.IDX,28-Oct-2015,7534.08,7535.53,7466.91,7479.59,266877792
CELS.IDX,28-Oct-2015,195.36,200.07,195.33,200.06,0
CEX.IDX,28-Oct-2015,472.59,479.87,472.59,479.86,0
CIV.IDX,28-Oct-2015,20.42,20.42,19.67,19.76,0
CKG.IDX,28-Oct-2015,513.29,526.14,512.48,526.11,0
COMP.IDX,28-Oct-2015,5040.38,5095.69,5019.6,5095.69,0
CPH.IDX,28-Oct-2015,257.22,257.22,257.22,257.22,0
CPR.IDX,28-Oct-2015,2.3665,2.3725,2.3255,2.3625,42961
CRXR.IDX,28-Oct-2015,1063.74,1063.74,1063.74,1063.74,0
CVK.IDX,28-Oct-2015,443.92,455.09,443.81,455.08,0
CYM.IDX,28-Oct-2015,19.37,19.67,19.36,19.64,0
CYO.IDX,28-Oct-2015,1593.29,1593.29,1593.29,1593.29,0
CZH.IDX,28-Oct-2015,259.5,262.61,258.65,261.52,0
DAX.IDX,28-Oct-2015,10728.16,10848.41,10691.63,10831.96,0
DCFI.IDX,28-Oct-2015,75.38,80,70.76,78.46,0
DCOF.IDX,28-Oct-2015,64.61,67.69,60,67.69,0
DCOH.IDX,28-Oct-2015,58.46,61.53,53.84,61.53,0
DCSE.IDX,28-Oct-2015,15318.43,15511.9,15272.22,15511.83,0
DCTH.IDX,28-Oct-2015,53.84,55.38,44.61,50.76,0
DCTW.IDX,28-Oct-2015,70.76,70.76,53.84,60,0
DDA.IDX,28-Oct-2015,15.84,16.66,14.86,15.16,0
DDB.IDX,28-Oct-2015,14.28,14.67,5.5,13.55,0
DDO.IDX,28-Oct-2015,98.04,98.04,98.04,98.04,0
DDX.IDX,28-Oct-2015,96.06,98,95.98,97.9,0
DECA.IDX,28-Oct-2015,40,68,40,61,17691200
DECD.IDX,28-Oct-2015,21,73,21,71,136296900
DECE.IDX,28-Oct-2015,305,631,296,529,688017200
DECN.IDX,28-Oct-2015,632,767,279,367,1130508000
DECQ.IDX,28-Oct-2015,772,898,416,480,360211400
DECS.IDX,28-Oct-2015,247,749,247,749,130282900
DECT.IDX,28-Oct-2015,1444,1664,765,908,1508410000
DECV.IDX,28-Oct-2015,66,278,66,271,39753600
DECX.IDX,28-Oct-2015,313,1020,313,1020,170036500
DFI.IDX,28-Oct-2015,2826.23,2891.14,2826.23,2890.43,0
DGE.IDX,28-Oct-2015,1047.26,1061.76,1037.62,1059.5,0
DHC.IDX,28-Oct-2015,5461.62,5536.59,5382.65,5535.23,0
