Symbol,Date,Open,High,Low,Close,Volume
DSRQ.IDX,23-Oct-2015,123.57,126.79,123.57,126.15,3322600
DSRR.IDX,23-Oct-2015,1191.79,1205.24,1183.35,1194.01,4628600
DSRS.IDX,23-Oct-2015,1010.06,1014.87,999.38,1008.06,17372700
DSRT.IDX,23-Oct-2015,829.48,830.74,814.87,820,74009100
DSRU.IDX,23-Oct-2015,1180.81,1195.66,1180.81,1195.19,11813600
DSSB.IDX,23-Oct-2015,780.1,792.14,780.1,791.28,11467000
DSSC.IDX,23-Oct-2015,1865.07,1894.55,1860.28,1889.27,60597900
DSSD.IDX,23-Oct-2015,578.83,578.83,572.51,574.23,9226600
DSSF.IDX,23-Oct-2015,185.81,190.11,185.81,189.86,16660700
DSSP.IDX,23-Oct-2015,128.85,130.55,128.71,130.48,1018600
DSSR.IDX,23-Oct-2015,166.56,166.72,163.65,164.53,13633400
DSST.IDX,23-Oct-2015,164.37,168.03,164.37,166.9,4672000
DSSV.IDX,23-Oct-2015,1360.38,1403.04,1360.38,1391.1,103888600
DSSW.IDX,23-Oct-2015,1192.21,1213.22,1192.21,1201.94,59694100
DSTB.IDX,23-Oct-2015,752.33,753.73,742.33,750.94,6375300
DSTC.IDX,23-Oct-2015,1105.9,1134.44,1105.9,1128.71,219555800
DSTK.IDX,23-Oct-2015,526.33,530.48,521.35,526.39,1186500
DSTL.IDX,23-Oct-2015,158.56,160.38,158.2,158.68,21753400
DSTP.IDX,23-Oct-2015,499.21,503.69,499.21,502.65,0
DSTQ.IDX,23-Oct-2015,963.28,981.86,963.28,980.43,115667200
DSTR.IDX,23-Oct-2015,116.39,118.57,116.39,117.88,1077900
DSTS.IDX,23-Oct-2015,217.3,219.44,216.56,218.29,804600
DSTT.IDX,23-Oct-2015,600.86,607.59,600.86,602.67,3664900
DSTY.IDX,23-Oct-2015,656.64,664.73,656.64,662.83,5695800
DSUO.IDX,23-Oct-2015,225.52,225.52,221.58,222.08,6810500
DSUT.IDX,23-Oct-2015,224.74,224.74,220.61,220.85,31442800
DSVE.IDX,23-Oct-2015,214.99,214.99,210.96,211.1,24632200
DSVN.IDX,23-Oct-2015,318.27,318.43,314.15,316.32,436300
DSWC.IDX,23-Oct-2015,262.19,266.7,262.19,265.97,3874900
DSWU.IDX,23-Oct-2015,1406.07,1406.07,1386.66,1390.52,559500
DTCI.IDX,23-Oct-2015,1259.67,1260.39,1240.75,1247.49,0
DTEI.IDX,23-Oct-2015,1517.47,1518.88,1494.16,1502.55,0
DTFI.IDX,23-Oct-2015,75,80,75,80,0
DTFX.IDX,23-Oct-2015,123.19,123.51,122.24,122.41,0
DTOF.IDX,23-Oct-2015,60,60,60,60,0
DTOH.IDX,23-Oct-2015,60,60,55,55,0
DTTH.IDX,23-Oct-2015,45,45,45,45,0
DTTW.IDX,23-Oct-2015,75,80,75,75,0
DTWC.IDX,23-Oct-2015,12798.05,12881.33,12780.57,12849.54,0
DTWI.IDX,23-Oct-2015,35667.15,36055.06,35667.15,35988.44,0
DTWT.IDX,23-Oct-2015,12456.76,12571.15,12427.25,12542.41,0
DTWU.IDX,23-Oct-2015,2315.14,2315.14,2271.39,2273.27,0
DUBS.IDX,23-Oct-2015,88.24,88.74,87.25,87.44,0
DUFI.IDX,23-Oct-2015,93.33,100,80,80,0
DUOF.IDX,23-Oct-2015,80,80,73.33,73.33,0
