ABT
MDT
TMO
DHR
BDX
ISRG
BSX
SYK
BAX
EW
ZBH
IDXX
RMD
ABMD
WAT
TFX
HOLX
DXCM
VAR
STE
HRC
MASI
BIO
PODD
LIVN
PEN
GMED
WMGI
IART
BRKR
CMD
NUVA
ITGR
INGN
TNDM
NXTM
BEAT
GKOS
CNMD
IRTC
BABY
NVRO
ATRC
OFIX
CSII
CRY
VREX
STAA
ANGO
TCMD
SRDX
HSKA
AXGN
TRXC
LMAT
VRAY
ARAY
