NEE
DUK
SO
D
EXC
AEP
SRE
PEG
ED
XEL
PCG
EIX
WEC
PPL
DTE
ES
FE
AWK
ETR
AEE
CMS
CNP
NRG
LNT
PNW
AES
NI
SCG
