BIIB
AMGN
CELG
GILD
VRTX
ILMN
REGN
ALXN
MYL
BMRN
INCY
NKTR
SHPG
ALNY
JAZZ
BLUE
SGEN
NBIX
SAGE
ALKS
BGNE
EXEL
SRPT
TECH
IONS
PRAH
AGIO
LOXO
UTHR
SYNH
FGEN
GWPH
LGND
IMMU
BPMC
FMI
GRFS
ARRY
CRSP
RARE
FOLD
ONCE
SUPN
NVCR
TSRO
HALO
CBPO
PTLA
HZNP
MYGN
ASND
GBT
IRWD
CLVS
MDCO
ARNA
ATRA
ACAD
INSM
XNCR
OPK
AKCA
ICPT
ANAB
PBYI
SPPI
AERI
AIMT
RGEN
ENTA
MNTA
MYOK
EDIT
GTHX
XLRN
SGMO
MEDP
RGNX
IOVA
INVA
ZGNX
PCRX
IMGN
ENDP
PTCT
GHDX
BOLD
TXMD
EPZM
RDUS
QURE
TBPH
LMNX
ITCI
RTRX
RVNC
ACOR
NTLA
GLPG
ALDR
KPTI
ATNX
EGRX
ESPR
CTMX
LXRX
FLXN
OMER
CHRS
ECYT
MGNX
VNDA
ADAP
ARWR
CERS
AMAG
AMRN
COLL
ADMS
GERN
AMPH
GLYC
ANIP
DOVA
RETA
NVAX
RIGL
FPRX
DBVT
ADRO
VYGR
CCXI
ACRS
AKBA
BCRX
KURA
PRTA
PGNX
AKAO
INSY
CARA
ACHN
MRSN
AUPH
CYTK
CLXT
CNCE
INO
PDLI
DEPO
SGYP
KALA
NH
JNCE
NERV
DERM
PACB
BLCM
SBBP
CRBP
MCRB
PRTK
CRVS
ABUS
NSTG
NK
PETQ
SNNA
CORI
CLLS
AVDL
VCYT
MNKD
VTL
SVRA
MRNS
PETX
SNDX
CMRX
NEOS
NLNK
FOMX
CALA
TTPH
RARX
TOCA
ARDX
NBRV
TLGT
AXON
CLDX
CRIS
