MSFT
AAPL
AMZN
BRKB
JNJ
JPM
GOOG
XOM
FB
GOOGL
UNH
PFE
BAC
V
VZ
WFC
PG
CVX
T
INTC
CSCO
MRK
HD
KO
BA
CMCSA
MA
DIS
PEP
C
MCD
WMT
ABBV
ORCL
PM
DWDP
AMGN
MDT
ABT
NFLX
ADBE
MMM
LLY
UNP
IBM
HON
CRM
MO
CVS
ACN
AVGO
COST
TMO
PYPL
UTX
NVDA
NKE
TXN
GILD
SBUX
BKNG
LIN
BMY
NEE
USB
AXP
UPS
COP
CAT
ANTM
LOW
LMT
AMT
WBA
QCOM
GE
GS
CME
BDX
DHR
BIIB
MDLZ
ADP
SLB
DUK
CB
PNC
EOG
TJX
ISRG
MS
CHTR
CSX
SPG
ESRX
FDX
CL
CI
INTU
OXY
SYK
SCHW
FOXA
BLK
BSX
GD
ILMN
AGN
RTN
CELG
DE
GM
D
NSC
SO
CCI
BK
ICE
VRTX
HUM
SPGI
NOC
ZTS
MET
EXC
MU
MMC
MPC
COF
PLD
EMR
ITW
CTSH
ECL
ATVI
KMB
AON
PSX
BBT
HCA
PRU
AIG
PGR
AEP
TGT
DAL
F
WM
HPQ
AMAT
MAR
TRV
AFL
APD
FIS
SHW
EW
VLO
BAX
ADI
ETN
STZ
ROST
SYY
KMI
FISV
ADSK
KHC
JCI
PSA
EL
RHT
WMB
SRE
EQIX
ALL
ROP
LYB
DG
YUM
CNC
STI
ORLY
HAL
REGN
ALXN
PEG
APC
STT
EBAY
LUV
WELL
EA
TEL
CXO
MCO
PPG
XEL
APH
AVB
EQR
GLW
VFC
ADM
MCK
IR
PXD
OKE
GIS
ED
CCL
DFS
MTB
KR
LRCX
FOX
TROW
ZBH
DLR
MNST
XLNX
A
FTV
HLT
TWTR
PH
WEC
PAYX
HPE
CMI
VTR
AZO
UAL
NTRS
PPL
PCAR
MSI
DTE
CLX
ES
DLTR
ROK
WLTW
WY
IQV
VRSK
BXP
SWK
SBAC
KEY
RCL
APTV
NUE
INFO
CERN
CBS
IP
O
AMD
FITB
MKC
AMP
FE
EIX
TDG
MYL
SYF
CTL
GPN
IDXX
DXC
MCHP
NTAP
NEM
FCX
ESS
OMC
CFG
CAH
TSN
ULTA
FAST
FLT
BLL
VRSN
AME
RSG
AWK
HRS
RF
ALGN
LH
AEE
CHD
CTAS
HBAN
K
HIG
EVRG
MTD
RMD
AAL
WAT
ETR
BBY
CAG
KLAC
HSY
GPC
ABMD
TSS
CMS
ABC
HST
LLL
IFF
EXPE
GWW
CTXS
MRO
VMC
AJG
MSCI
MGM
SYMC
PCG
IT
TXT
HES
DRI
CBRE
HSIC
CNP
COO
APA
LNC
ANSS
HCP
L
ETFC
WDC
SNPS
EXPD
PFG
AAP
ARE
SIVB
TTWO
DHI
XYL
SWKS
CMA
MOS
LEN
CHRW
DVN
CDNS
WCG
NOV
MLM
EFX
CINF
HRL
DOV
ANET
VNO
HOLX
DGX
CBOE
EXR
UHS
TAP
BR
NRG
NBL
KMX
BHGE
WRK
CMG
SJM
AKAM
MAA
KEYS
TSCO
HAS
VIAB
NCLH
INCY
EMN
STX
UDR
KSS
VAR
FMC
TPR
COG
JKHY
REG
CPRT
FTNT
WYNN
ALB
FFIV
NDAQ
LNT
NWL
DISCK
KSU
BEN
M
CF
AES
FTI
DRE
RJF
HFC
PNW
TIF
JNPR
NLSN
IRM
URI
PKI
MAS
FRT
NI
JBHT
IPG
ZION
ADS
HII
PKG
SNA
ARNC
TMK
ALK
RE
LKQ
ALLE
PVH
WU
DVA
XRAY
AVY
IVZ
BWA
BFB
SLG
MHK
QRVO
WHR
PRGO
GRMN
XEC
UNM
JEC
LB
RHI
CPB
DISH
AIV
HOG
PHM
AOS
PNR
NKTR
HP
KIM
KORS
SCG
TRIP
JEF
FL
FLIR
FLS
ROL
FBHS
RL
PBCT
JWN
AMG
SEE
FLR
HRB
GPS
HBI
XRX
GT
AIZ
MAC
LEG
PWR
IPGP
DISCA
NWSA
BHF
MAT
UAA
UBFUT
SRCL
UA
COTY
NFX
NWS
