PG
KO
PEP
PM
MO
MDLZ
NKE
CL
GM
KHC
F
RAI
KMB
GIS
STZ
ADM
ATVI
EA
TSLA
NWL
DLPH
TSN
K
MNST
TAP
VFC
SWK
EL
DPS
CAG
CLX
SJM
GPC
HSY
MJN
WHR
MHK
CPB
CHD
HOG
MKC
COH
SNA
LKQ
BG
MAT
WWAV
LEA
ALV
DHI
HAS
HRL
INGR
GT
HBI
LEN
BWA
KORS
HAR
LUK
MIDD
PVH
LULU
LEG
PF
NVR
PHM
GNTX
UAA
WBC
RL
ADNT
POST
THO
BC
PII
LW
UA
TOL
CRI
EPC
POOL
TTWO
THS
HAIN
TEN
FLO
SKX
HLF
TPX
LNCE
SPB
BGS
VC
DAN
TUP
LANC
ENR
NUS
CAA
HNI
AVP
HELE
WWW
VSTO
DAR
CTB
SHOO
MLHR
DF
KATE
DECK
FOSL
GIII
