JPM
BAC
V
WFC
MA
C
USB
GS
AXP
PNC
MS
SCHW
CME
BLK
SPGI
BK
COF
ICE
BBT
STT
STI
MCO
TROW
DFS
MTB
NTRS
KEY
SYF
AMP
RF
FITB
CFG
SIVB
HBAN
CMA
FRC
MSCI
AMTD
ETFC
RJF
ALLY
CBOE
FNF
ZION
NDAQ
IVZ
BEN
EWBC
FDS
SEIC
AMG
MKTX
CFR
SBNY
PBCT
CBSH
LAZ
EV
PACW
CIT
LPLA
FHN
WAL
WBS
SNV
BPOP
NYCB
CACC
STL
WTFC
SLM
PB
OZK
MTG
IBKC
UMPQ
ASB
PNFP
JHG
FCNCA
RDN
ESNT
IBKR
FNB
TCBI
HWC
FFIN
TCF
EVR
GDOT
MBFI
CHFC
VLY
UBSI
BKU
SF
GBCI
HOMB
FCFS
BOH
CATY
UMBF
NAVI
BGCP
BOKF
FULT
ISBC
BXS
EQH
WAFD
LM
FHB
IBOC
OMF
FII
TRMK
SC
MORN
CFFN
PRAA
TFSL
