UNH
AET
ANTM
HUM
ESRX
CI
HCA
CNC
LH
DGX
UHS
WCG
DVA
EHC
MD
CHE
EVHC
MOH
HQY
LHCG
ACHC
MGLN
AMED
TDOC
SEM
LPNT
THC
PINC
HMSY
ENSG
TVTY
COTV
USPH
BKD
DPLO
PRSC
KND
RCM
NHC
GTS
HSTM
INOV
CRVL
NEO
CYH
CSU
