AMT
SPG
CCI
EQIX
PLD
PSA
WY
WELL
AVB
EQR
DLR
VTR
BXP
SBAC
ESS
HST
O
CBRE
GGP
ARE
VNO
EXR
HCP
MAA
DRE
IRM
UDR
FRT
REG
SLG
KIM
AIV
MAC
