JNJ
PFE
MRK
UNH
BMY
MDT
AMGN
GILD
ABBV
AGN
CELG
LLY
TMO
ABT
BIIB
ESRX
AET
SYK
BDX
ANTM
CI
BSX
ALXN
REGN
HUM
BAX
ISRG
HCA
VRTX
STJ
ZTS
EW
ZBH
ILMN
MYL
BCR
XRAY
PRGO
HSIC
INCY
BMRN
LH
DVA
UHS
CNC
DGX
WAT
MDVN
JAZZ
HOLX
RMD
IDXX
COO
VAR
TFX
MNK
MD
ALKS
Q
DXCM
ALGN
STE
WST
EVHC
UTHR
WCG
ANAC
ACHC
ALNY
AMSG
TECH
SGEN
PDCO
ABMD
CRL
NBIX
HLS
ALR
ENDP
ACAD
JUNO
PRXL
TMH
BKD
OPK
HRC
BIO
HCSG
NUVA
LPNT
IONS
THC
BRKR
HZNP
ICPT
AKRX
OMI
KITE
IPXL
MYGN
CTLT
CPHD
RARE
MOH
NVAX
MGLN
BLUE
HAE
PCRX
HYH
CYH
PTLA
AGIO
XON
RDUS
HALO
INVA
PBYI
CLVS
QHC
MNKD
