BA
GE
MMM
UNP
HON
UTX
CAT
LMT
UPS
CSX
FDX
RTN
NOC
GD
DE
EMR
NSC
ITW
ETN
WM
JCI
DAL
ROP
LUV
FTV
COL
IR
PCAR
ROK
PH
SWK
CMI
INFO
VRSK
TDG
HRS
TXT
AME
CTAS
UAL
AAL
EFX
GWW
RSG
LLL
FAST
EXPD
URI
MAS
XYL
CHRW
CPRT
DOV
KSU
NLSN
JBHT
HII
SNA
AOS
RHI
FBHS
JEC
ALK
ALLE
ARNC
FLR
PNR
SRCL
FLS
PWR
