SAER.IDX  	S&P GSCI Agriculture Capped Component 35/20 EUR   	INDEX     
SG7H.IDX  	S&P GSCI Live Cattle Index Total Return           	INDEX     
SG7I.IDX  	S&P GSCI Livestock Index Excess Return            	INDEX     
SG7J.IDX  	S&P GSCI Lean Hogs Index                          	INDEX     
SG8A.IDX  	S&P GSCI Natural Gas Index                        	INDEX     
SG8B.IDX  	S&P GSCI Natural Gas Index Excess Return          	INDEX     
SG8C.IDX  	S&P GSCI Natural Gas Index Total Return           	INDEX     
SG8D.IDX  	S&P GSCI Nickel Index                             	INDEX     
SG8E.IDX  	S&P GSCI Nickel Index Excess Return               	INDEX     
SG8F.IDX  	S&P GSCI Nickel Index Total Return                	INDEX     
SG8G.IDX  	S&P GSCI Non-Energy Index Excess Return           	INDEX     
SG8H.IDX  	S&P GSCI Non-Energy Index                         	INDEX     
SG8I.IDX  	S&P GSCI Non-Energy Index Total Return            	INDEX     
SG8J.IDX  	S&P GSCI Livestock Index Total Return             	INDEX     
SG9A.IDX  	S&P GSCI Non-Livestock Index Excess Return        	INDEX     
SG9B.IDX  	S&P GSCI Non-Livestock Index Total Return         	INDEX     
SG9C.IDX  	S&P GSCI Non-Natural Gas Index                    	INDEX     
SG9D.IDX  	S&P GSCI Non-Natural Gas Index Excess Return      	INDEX     
SG9E.IDX  	S&P GSCI Non-Natural Gas Index Total Return       	INDEX     
SG9F.IDX  	S&P GSCI Non-Precious Index                       	INDEX     
SG9G.IDX  	S&P GSCI Non-Precious Index Excess Return         	INDEX     
SG9H.IDX  	S&P GSCI Non-Precious Index Total Return          	INDEX     
SG9I.IDX  	S&P GSCI Petroleumex-Gas Oil Index                	INDEX     
SG9J.IDX  	S&P GSCI Non-Livestock Index                      	INDEX     
SGCC.IDX  	S&P GSCI Capped Commodity 35/20 Index             	INDEX     
SGCR.IDX  	S&P GSCI All Metals Capped Index Excess Return    	INDEX     
SGIR.IDX  	S&P GSCI All Metals Index Excess Return           	INDEX     
SGJ.IDX   	S&P GSCI Energy                                   	INDEX     
SGK.IDX   	S&P GSCI Agriculture                              	INDEX     
SGMA.IDX  	S&P GSCI All Metals Index                         	INDEX     
SGP.IDX   	S&P GSCI Precious Metals                          	INDEX     
SGPA.IDX  	S&P GSCI All Metals Capped Index                  	INDEX     
SGPG.IDX  	S&P GSCI Agriculture Capped Index                 	INDEX     
SGPP.IDX  	S&P GSCI Capped Commodity 35/20 Index Excess Ret  	INDEX     
SGPR.IDX  	S&P GSCI Agriculture Capped Index Total Return    	INDEX     
SGPT.IDX  	S&P GSCI Capped Commodity 35/20 Index Total Retu  	INDEX     
SGQA.IDX  	S&P GSCI Petroleumex-Gas Oil Index Total Return   	INDEX     
SGQB.IDX  	S&P GSCI Petroleum Index                          	INDEX     
SGQC.IDX  	S&P GSCI Petroleum Index Excess Return            	INDEX     
SGQD.IDX  	S&P GSCI Petroleum Index Total Return             	INDEX     
SGQE.IDX  	S&P GSCI Precious Metals Index Excess Return      	INDEX     
SGQF.IDX  	S&P GSCI Precious Metals Index Total Return       	INDEX     
SGQG.IDX  	S&P GSCI Reduced Energy Index [CPW2]              	INDEX     
SGQH.IDX  	S&P GSCI Reduced Energy Index [CPW2] Excess Retu  	INDEX     
SGQI.IDX  	S&P GSCI Reduced Energy Index [CPW2] Total Retur  	INDEX     
SGQJ.IDX  	S&P GSCI Petroleumex GasOil Index Excess Return   	INDEX     
SGRC.IDX  	S&P GSCI All Metals Capped Commodity 35/20 EUR I  	INDEX     
SGRE.IDX  	S&P GSCI All Metals Capped Commodity 35/20 EUR I  	INDEX     
SGRG.IDX  	S&P GSCI Agriculture Capped Index Excess Return   	INDEX     
SGRT.IDX  	S&P GSCI Agriculture Capped Component 35/20 EUR   	INDEX     
SGSA.IDX  	S&P GSCI Silver Index                             	INDEX     
SGSB.IDX  	S&P GSCI Silver Index Excess Return               	INDEX     
SGSC.IDX  	S&P GSCI Silver Index Total Return                	INDEX     
SGSD.IDX  	S&P GSCI Soybeans Index                           	INDEX     
SGSE.IDX  	S&P GSCI Excess Return                            	INDEX     
SGSF.IDX  	S&P GSCI Soybeans Index Excess Return             	INDEX     
SGSG.IDX  	S&P GSCI Soybeans Index Total Return              	INDEX     
SGSH.IDX  	S&P GSCI Sugar Index                              	INDEX     
SGSJ.IDX  	S&P GSCI Sugar Index Excess Return                	INDEX     
SGSK.IDX  	S&P GSCI Sugar Index Total Return                 	INDEX     
SGSM.IDX  	S&P GSCI Ultra-Light Energy Index [CPW8] Excess   	INDEX     
SGSN.IDX  	S&P GSCI Ultra-Light Energy Index [CPW8] Total R  	INDEX     
SGSO.IDX  	S&P GSCI Unleaded Gasoline Index                  	INDEX     
SGSP.IDX  	S&P GSCI Unleaded Gasoline Index Excess Return    	INDEX     
SGSQ.IDX  	S&P GSCI Unleaded Gasoline Index Total Return     	INDEX     
SGSR.IDX  	S&P GSCI Wheat Index                              	INDEX     
SGSS.IDX  	S&P GSCI Wheat Index Excess Return                	INDEX     
SGST.IDX  	S&P GSCI Wheat Index Total Return                 	INDEX     
SGSU.IDX  	S&P GSCI Zinc Index                               	INDEX     
SGSV.IDX  	S&P GSCI Zinc Index Excess Return                 	INDEX     
SGSW.IDX  	S&P GSCI Zinc Index Total Return                  	INDEX     
SGSX.IDX  	S&P GSCI Ultra-LightEnergyIndex [CPW8]            	INDEX     
SGT.IDX   	S&P GSCI Total Return                             	INDEX     
SGTR.IDX  	S&P GSCI All Metals Capped Index Total Return     	INDEX     
SGWT.IDX  	S&P GSCI Select Equal Weight Index Tr             	INDEX     
SGX.IDX   	S&P GSCI FPI Index                                	INDEX     
SGY.IDX   	S&P GSCI Industrial Metals                        	INDEX     
SLEE.IDX  	S&P GSCI Light Energy EUR Index                   	INDEX     
SLER.IDX  	S&P GSCI Light Energy EUR Index ER                	INDEX     
SLRT.IDX  	S&P GSCI Light Energy EUR Index TR                	INDEX     
SMTR.IDX  	S&P GSCI All Metals Index Total Return            	INDEX     
SNER.IDX  	S&P GSCI Non-Energy EUR IndexER                   	INDEX     
SNRT.IDX  	S&P GSCI Non-Energy EUR Index TR                  	INDEX     
SNUI.IDX  	S&P GSCI Non-Energy EUR Index                     	INDEX     
SPAD.IDX  	S&P GSCI Palladium Index                          	INDEX     
SPER.IDX  	S&P GSCI Palladium Index Excess Return            	INDEX     
SPIN.IDX  	S&P GSCI Platinum Index                           	INDEX     
SPIR.IDX  	S&P GSCI Platinum Index Excess Return             	INDEX     
SPLR.IDX  	S&P GSCI Platinum Index Total Return              	INDEX     
SPRT.IDX  	S&P GSCI Palladium Index Total Return             	INDEX     
SSEW.IDX  	S&P GSCI Select Equal Weight Index Spot           	INDEX     
SSGC.IDX  	S&P GSCI Enhanced Capped Index                    	INDEX     
SSGO.IDX  	S&P GSCI E27 WTI Index                            	INDEX     
SSGP.IDX  	S&P GSCI Enhanced Capped Index Excess Return      	INDEX     
SSGR.IDX  	S&P GSCI Enhanced Capped Index Total Return       	INDEX     
SSGX.IDX  	S&P GSCI E27WTI Index Excess Return               	INDEX     
SSGZ.IDX  	S&P GSCI E27WTI Index Total Return                	INDEX     
SSIB.IDX  	S&P GSCI Softs Index Excess Return                	INDEX     
SSIC.IDX  	S&P GSCI Softs Index Total Return                 	INDEX     
SSUC.IDX  	S&P GSCI Capped Component 35/20 Index             	INDEX     
SSUP.IDX  	S&P GSCI Capped Component 35/20 Index Excess Ret  	INDEX     
SSUT.IDX  	S&P GSCI Capped Component 35/20 Index Total Retu  	INDEX     
SSWP.IDX  	S&P GSCI Select Equal Weight Index Er             	INDEX     
