PG
PM
KO
MO
WMT
PEP
COST
CVS
WBA
CL
MDLZ
RAI
KHC
KMB
STZ
GIS
KR
SYY
ADM
EL
MNST
TAP
TSN
K
CLX
DPS
CAG
HSY
MJN
SJM
CPB
MKC
CHD
HRL
WFM
BF.b
COTY
