PFE
JNJ
AGN
MRK
ZTS
MYL
LLY
BMY
JAZZ
CTLT
PRGO
HZNP
FOLD
ZGNX
ELAN
MNK
IRWD
MYOK
AERI
MDCO
ENDP
RETA
PCRX
PBH
TXMD
MDGL
CBAY
CORT
XENT
OMER
AMRX
TBPH
SPPI
WVE
AMPH
INVA
DERM
VNDA
PAHC
RVNC
ITCI
ASRT
AMAG
AKRX
XTSLA
