BA
UTX
LMT
RTN
GD
NOC
TDG
HRS
LLL
TXT
HII
SPR
TDY
ARNC
HXL
HEIA
CW
ESL
ROLL
HEI
MOGA
AJRD
BWXT
MRCY
CUB
AAXN
AVAV
KTOS
AIR
ATRO
AOBC
RGR
NPK
EGL
WAIR
TGI
