AXP	American Express Co	99.24	 	0.99	1.01%	98.64	99.45	98.25
AAPL	Apple Inc	192.23	 	1.99	1.05%	191.35	193.42	190.24
BA	Boeing Co	360.0675	 	3.3475	0.94%	358.85	363.3855	356.72
CAT	Caterpillar Inc	152.48	 	-1.04	-0.68%	152.2502	154.93	153.52
CSCO	Cisco Systems Inc	43.445	 	-0.215	-0.49%	43.21	43.83	43.66
CVX	Chevron Corp	122.80	 	-1.05	-0.85%	122.76	125.41	123.85
XOM	Exxon Mobil Corp	81.025	 	-0.805	-0.98%	80.99	82.53	81.83
GE	General Electric Co	13.805	 	-0.295	-2.09%	13.78	14.21	14.1
GS	Goldman Sachs Group Inc	229.0182	 	0.6682	0.29%	228.99	231.15	228.35
HD	Home Depot Inc	191.1502	 	3.8002	2.03%	187.97	191.19	187.35
IBM	International Business Machines Corp	142.72	 	0.77	0.54%	142.18	143.17	141.95
INTC	Intel Corp	57.0401	 	-0.0399	-0.07%	56.92	57.5995	57.08
JNJ	Johnson & Johnson	121.85	 	0.59	0.49%	121.02	122.37	121.26
KO	Coca-Cola Co	43.455	 	0.335	0.78%	43.29	43.59	43.12
JPM	JPMorgan Chase & Co	108.42	 	0.02	0.02%	108.37	109.255	108.4
MCD	McDonald's Corp	160.00	 	0.84	0.53%	159.54	160.49	159.16
MMM	3M Co	201.06	 	1.47	0.74%	200.07	201.69	199.59
MRK	Merck & Co Inc	61.81	 	1.25	2.06%	61.18	62.53	60.56
MSFT	Microsoft Corp	101.43	 	0.64	0.63%	100.851	101.86	100.79
NKE	Nike Inc	73.67	 	0.91	1.25%	72.79	73.725	72.76
PFE	Pfizer Inc	36.375	 	0.125	0.34%	36.23	36.56	36.25
PG	Procter & Gamble Co	74.38	 	0.93	1.27%	73.45	74.62	73.45
TRV	Travelers Companies Inc	129.62	 	0.33	0.26%	129.52	130.51	129.29
UNH	UnitedHealth Group Inc	244.40	 	1.05	0.43%	242.74	245.24	243.35
UTX	United Technologies Corp	126.26	 	0.45	0.36%	126.01	127.23	125.81
VZ	Verizon Communications Inc	47.75	 	-0.06	-0.13%	47.75	48.16	47.81
V	Visa Inc	133.14	 	2.29	1.75%	131.43	133.57	130.85
WMT	Walmart Inc	85.2149	 	2.2249	2.68%	83.30	85.2397	82.99
DIS	Walt Disney Co	99.91	 	0.55	0.55%	99.70	100.50	99.36
DWDP	DowDuPont Inc	66.96	 	0.79	1.19%	66.39	67.43	66.17
