AMZN
CMCSA
HD
DIS
MCD
SBUX
PCLN
NKE
TWX
CHTR
LOW
NFLX
GM
TJX
F
TGT
FOXA
MAR
ROST
CBS
ORLY
YUM
CCL
NWL
AZO
DLPH
OMC
DG
DLTR
VFC
RCL
ULTA
VIAB
GPC
FOX
EXPE
MHK
LB
WHR
KMX
BBY
CMG
AAP
HAS
COH
DHI
HOG
M
LKQ
IPG
FL
DRI
GT
TSCO
LEN
TIF
WYN
MAT
BWA
HBI
HAR
WYNN
KSS
PVH
SNI
KORS
LEG
PHM
BBBY
SPLS
DISCK
GRMN
GPS
JWN
TRIP
TGNA
SIG
NWSA
DISCA
RL
HRB
UAA
UA
AN
URBN
NWS
