EGP
TREX
FFIN
FCFS
SIGI
SMTC
IRBT
DAR
OMCL
NEOG
GBCI
MMSI
LHCG
WWW
TTEK
CCMP
AAXN
CBU
PSB
BCPC
MRCY
PDCE
EXPO
GTLS
STRA
SJI
QLYS
ROG
JBT
PRLB
MOGA
FCN
HMSY
FNSR
VIAV
RLI
KWR
HI
SKYW
AVA
FOXF
IRDM
AEL
KFY
AWR
MNRO
SHOO
CWT
B
ITGR
FUL
AJRD
ADC
ENSG
ONB
RH
WLL
MYGN
COLB
DORM
FBP
WDFC
FFBC
SSD
EE
RGEN
JJSF
ABM
SFNC
BEAT
BRC
AMN
IIVI
AIT
FMBI
BEL
WTS
AKR
BLD
ALRM
INDB
EBS
DRH
CVBF
CCOI
UNF
AIN
BRKS
WING
CNMD
ARI
TVPT
CTRE
IVR
SANM
EXLS
POWI
NSIT
SUPN
IOSP
FELE
EGHT
FN
LAD
PRA
FCPT
LCII
FIX
VG
ROIC
SPSC
PLXS
LXP
HF
AEIS
GWB
UFPI
NWN
ODP
EPAY
RGNX
NEO
LTHM
MLI
SCL
ESE
PLAY
MDCO
FWRD
LTC
UCBI
ENDP
SEDG
HSC
CHSP
AAON
CROX
NWBI
NMIH
AAT
LPSN
ITRI
EVTC
BANR
ANF
DRQ
PRGS
BMI
EGBN
LTXB
BCOR
CORE
WABC
AXE
NAVG
ALGT
KAMN
CUB
AX
MXL
PUMP
PFS
BGS
HOPE
AXL
NSA
ATU
NBTB
MED
GNL
SEM
MINI
WAGE
SAIA
MATX
SFBS
FSS
SPXC
ENTA
RWT
LZB
DIOD
KN
MEDP
MGLN
MTH
CTB
UVV
AVAV
KLIC
GIII
ELY
VRTU
KALU
OSIS
DIN
HMN
DSW
ACA
FLOW
PLCE
SNBR
MANT
WD
OPI
SHAK
ABCB
SBCF
HUBG
PMT
SFLY
RAVN
BIG
NPO
CSII
MNTA
CSGS
MDC
USPH
STBA
AROC
WDR
ABG
CALM
KRG
IPAR
VREX
CBM
DDD
ROCK
OXM
CVGW
SAFT
SRCI
THRM
GCI
STMP
GES
CATM
CORT
AVP
CHCO
AAWW
SSP
WIRE
EIG
HA
ECOL
MSTR
PLUS
SLCA
PPBI
FCF
PRAA
COKE
GBX
MATW
FORM
NBR
JRVR
AMWD
XPER
BHLB
INN
SWM
EFII
CECO
RMBS
GPOR
ARR
MTRN
TNC
NYMT
BRKL
SYKE
EGOV
SCHL
HLX
VBTX
EBIX
CAL
AZZ
NTGR
TTMI
VVI
MEI
GTX
NP
AIR
CRZO
GTY
DEA
GPI
OFIX
GME
LNN
PJC
TRHC
BHE
SPPI
EHTH
BCC
KRA
SBSI
CRAY
TCMD
CJ
KEM
CEIX
CENTA
LMNX
CTS
HFWA
AMSF
LGIH
UVE
MGPI
CVCO
SCSC
OIS
CRY
SMP
MTSC
WPG
APOG
PATK
UFCS
ALG
STC
GPMT
TIVO
INVA
IRT
SXI
TMP
TGI
VNDA
TBI
TILE
PRFT
LNTH
UHT
RPT
FBC
IBP
HTLD
NRE
BABY
DNR
ASTE
WGO
ANDE
CLDT
NBHC
ASIX
IIPR
RCII
RGR
BPFH
SSTK
WETF
AKS
UNT
GCO
MCS
OFG
DBD
REGI
NXGN
MMI
ANGO
FARO
ENVA
CPS
NR
PGTI
BJRI
TVTY
TYPE
ARCB
NCI
TPRE
FSP
SPN
AHH
HSII
NE
TRST
CKH
NANO
CMO
WNC
TBK
ECPG
WRLD
VIVO
AMBC
PRSC
CHEF
AMPH
CNSL
PVAC
EXTR
OSUR
WRE
HSTM
LABL
UNFI
RUTH
MHO
RTEC
ADTN
VRTS
HMST
DO
KELYA
UIS
USCR
ACLS
NFBK
ADUS
INTL
XTSLA
DXPE
RMAX
MRTN
CIR
ECHO
PAHC
NEWM
FOSL
GPRE
GFF
RYAM
PFBC
HT
ORIT
OSPN
MYE
CHCT
LION
CPF
PLAB
UBA
GLT
JBSS
HAFC
DCOM
SRDX
ATNI
SPTN
CEVA
COHU
IPHS
MERC
BANC
SXC
KLXE
BFS
EXTN
MYRG
CRVL
CYTK
CONN
CHS
HSKA
MTRX
RGS
VECO
MOV
STAR
NPK
CASH
TISI
AEGN
BGG
ACOR
CMTL
QNST
KOP
ANIP
NX
VICR
CYH
BKE
MCRI
PARR
CUBI
APEI
RECN
HLIT
DFIN
CRCM
FORR
LPI
EZPW
TTEC
LMAT
EGRX
ICHR
TG
UEIC
VSTO
WSR
CBB
ETH
AVD
WLH
REX
OPB
PETS
TMST
CENX
CTRL
ZUMZ
LDL
BCEI
ANIK
CAMP
HZO
HVT
JCP
HAYN
UCTT
PGNX
GHL
PEI
TLRD
HWKN
CHUY
FF
TTGT
IIIN
CPSI
PDFS
DGII
REI
MPAA
AGYS
FSB
RRGB
CLW
VRTV
UIHC
AMAG
HIBB
RRD
SAH
AKRX
DPLO
CATO
CBL
FRGI
PKE
TTI
SCVL
BKS
UFI
ASRT
SGH
IVC
HCI
ARLO
HPR
DAKT
LL
LOCO
CENT
DF
OMI
CDR
LCI
TWI
EXPR
BELFB
VRA
POWL
CCRN
AAOI
DSPG
CUTR
FTR
TTS
SPOK
ERA
LKSD
LQDT
ASNA
GEOS
BNED
NLS
PES
ZEUS
SENEA
LXU
GIFI
SUP
KIRK
ORN
VSI
CRR
KOPN
MSFUT
