XOM
CVX
SLB
COP
EOG
SU
OXY
ENB
VLO
PSX
HAL
CNQ
TRP
APC
KMI
MPC
PXD
OKE
DVN
FCX
WMB
IP
NEM
CXO
ANDV
APA
MRO
PBA
HES
VMC
NBL
NOV
ABX
WRK
MLM
FNV
EQT
BHGE
LNG
FTI
FANG
BLL
TECK
GG
ECA
HFC
AEM
TRGP
PKG
CVE
COG
WPM
XEC
AVY
AA
PE
WPX
EGN
HP
SEE
RGLD
BERY
CCK
NFX
ATR
RIG
RSPP
MUR
VET
CLR
SON
EXP
CLB
KGC
CHK
PBF
WLL
AR
BTU
GPK
CCJ
KL
LPX
PDCE
CPG
PTEN
BMS
RRC
DK
OAS
CNX
WFT
MDR
MTDR
ESV
ERF
KS
SUM
APY
CDEV
UFS
AUY
QEP
IAG
PAAS
TRQ
OI
SWN
SRCI
SM
OII
BTG
CPE
CMP
CRZO
NBR
SLCA
GPOR
SLGN
DRQ
OIS
KOS
XOG
OSB
RDC
SEMG
TAHO
SPN
GEF
INT
DO
NGD
LPI
FET
RES
CVI
TELL
WRD
FI
