ZBRA
IEX
ULTI
STE
TRMB
DPZ
PTC
CPT
UGI
NVR
ODFL
LDOS
LII
CGNX
FDS
MKTX
MOH
RGA
Y
LYV
NNN
TDY
OGE
STLD
GGG
WEX
WRB
WST
TYL
FICO
RPM
KRC
TECH
OHI
EXEL
EWBC
TTC
SCI
CDK
SBNY
LPT
JLL
CRL
MPW
CSL
POST
HRC
TER
NDSN
CC
SEIC
BRO
ARW
LAMR
OLED
ATR
MASI
AFG
FIVE
HUBB
DEI
WTR
PRAH
ACC
BIO
INGR
DCI
IDTI
POOL
CFR
CTLT
RNR
RGLD
CREE
RS
SON
EHC
DNKN
ORI
CBSH
SNV
SABR
CONE
EPR
MPWR
XPO
CY
CIEN
FAF
NYCB
VSM
WWD
LECO
TDC
EQT
UTHR
GNTX
BRX
PRI
NFG
OSK
ARRS
CHE
WPX
MAN
ITT
NATI
JBLU
MUR
WH
IDA
CW
MDU
AYI
BMS
ASH
CZR
WBS
MDSO
GWR
RIG
MKSI
HIW
NYT
AVT
ACM
TOL
EV
PII
PB
CABO
LIVN
OGS
LFUS
CASY
THG
NSP
PACW
FHN
WSM
WSO
MMS
KMPR
SLM
CACI
BC
JBGS
LSI
HAE
CRI
SWX
AGCO
FR
NGVT
NJR
HE
NVT
HQY
SKX
VSAT
LSTR
HPT
CR
CNK
FSLR
RAMP
DECK
ALE
CUZ
ETRN
SRCL
PEB
GT
OLLI
EME
STL
KEX
JHG
SR
PNFP
LOGM
TXRH
IART
IBKR
JCOM
KNX
HR
PBF
SNX
WWE
ICUI
WTFC
WYND
TECD
SF
BKH
COR
ACIW
BLKB
JBL
BCO
RYN
OLN
LITE
NEU
EVR
UBSI
VAC
MBFI
PNM
FLO
CBRL
UMPQ
MSM
SAIC
GMED
FNB
AMED
OZK
MSA
MANH
ASB
CLH
RBC
NWE
SLAB
HWC
VVV
SIX
X
AEO
AAN
CHK
TCF
THS
CVET
ASGN
NCR
WRI
COHR
SBRA
EXP
APY
ATI
LPX
VLY
BOH
CLB
SYNH
R
THO
ERI
TCO
PTEN
UFS
SMG
TGNA
LANC
KMT
CHDN
OFC
TRN
OI
TKR
WEN
CHFC
TDS
HELE
PRSP
NUS
VMI
MTZ
GDOT
UMBF
CLGX
ENR
ENS
NUVA
GHC
TCBI
SNH
GATX
FII
CFX
HOMB
SFM
SXT
ATGE
FULT
KBR
MD
ACHC
CNO
VSH
YELP
CATY
SAM
BXS
TPX
NAVI
DAN
CBT
DKS
LGND
AMCX
CVLT
PCH
TREE
SWN
THC
REZI
SAFM
CRUS
CMD
LM
MUSA
WAFD
POL
HCSG
RRC
EPC
GEO
PENN
MDP
CXW
SLGN
BDC
TRMK
BYD
CAR
CNX
URBN
IDCC
CRS
IBOC
XTSLA
GVA
UE
SBH
MTX
MLHR
VC
MTDR
TEX
INT
JWA
HAIN
CLI
AVNS
JACK
MNK
GNW
AN
ESV
QEP
NTCT
SKT
CMC
KBH
BBBY
CAKE
PDCO
DLX
UNIT
MDRX
CMP
CPE
TPH
DLPH
SM
INGN
PLT
OII
OAS
HNI
EAT
ALEX
DNOW
DY
RDC
PBH
WOR
CARS
WERN
SIG
MCY
MDR
DDS
BID
RLGY
TUP
PBI
SGMS
ADNT
SYNA
MIK
PZZA
GEF
ISCA
WTW
TR
UBFUT
