AAN
ABMD
ACC
ACIW
ACM
ACXM
AEO
AFG
AGCO
AHL
AKRX
ALB
ALEX
ALGN
AMCX
AMD
AMSG
ANF
ANSS
AOS
ARE
ARRS
ARW
ASB
ASH
ASNA
ATI
ATO
ATR
AVP
AVT
BC
BDC
BEAV
BID
BIG
BIO
BKH
BMS
BOH
BR
BRO
BWLD
BXS
CAA
CAB
CABO
CAKE
CASY
CATY
CBOE
CBRL
CBSH
CBT
CCP
CDK
CDNS
CEB
CFR
CGNX
CHS
CIEN
CLC
CLGX
CLH
CLI
CMC
CMP
CNK
CNO
CNX
COO
CPRT
CPT
CR
CREE
CRI
CRL
CRS
CSAL
CSC
CSL
CST
CTLT
CVG
CVLT
CW
CXW
CY
CYH
DAN
DBD
DCI
DCT
DDD
DECK
DEI
DF
DKS
DLX
DNKN
DNOW
DNR
DPZ
DRE
DRQ
DST
DV
DWA
EAT
EDR
EGN
ENH
ENR
EPC
EPR
EQY
ESL
ESV
EV
EWBC
EXP
FAF
FBHS
FCN
FCS
FDS
FEIC
FHN
FICO
FII
FLO
FMER
FNB
FNFG
FOSL
FR
FTNT
FULT
GEF
GES
GGG
GHC
GME
GMT
GNTX
GNW
GPOR
GVA
GWR
GXP
HAIN
HBHC
HE
HFC
HII
HIW
HNI
HPT
HR
HRC
HSNI
HUBB
HYH
IBOC
IDA
IDCC
IDTI
IDXX
IEX
IM
INGR
INT
IPGP
ISCA
ISIL
IT
ITT
JACK
JBL
JBLU
JCOM
JCP
JKHY
JLL
JNS
JOY
JW/A
KATE
KBH
KBR
KEX
KEYS
KLXI
KMPR
KMT
KN
KRC
LAMR
LANC
LDOS
LECO
LHO
LII
LIVN
LNCE
LNT
LPNT
LPT
LPX
LSTR
LXK
LYV
MAA
MAN
MANH
MCY
MD
MDC
MDP
MDRX
MDU
MENT
MKTX
MLHR
MMS
MOH
MPW
MSA
MSCC
MSCI
MSM
MTD
MTX
MUSA
NATI
NBR
NCR
NDSN
NE
NEU
NFG
NJR
NNN
NSR
NTCT
NVR
NYCB
NYT
OA
ODFL
ODP
OFC
OGE
OGS
OHI
OII
OIS
OLN
OMI
ORI
OSK
OZRK
PACW
PAY
PB
PBH
PCH
PII
PKG
PLCM
PLT
PNM
PNRA
POL
POOL
POST
PPS
PRI
PRXL
PTC
PTEN
PVTB
QEP
RAX
RBC
RDC
RE
REG
RGA
RGLD
RH
RJF
RMD
RNR
ROL
RPM
RRD
RS
RYN
SAIC
SAM
SBNY
SCI
SCOR
SEIC
SF
SFM
SIVB
SKT
SKX
SLAB
SLGN
SLM
SM
SMG
SNH
SNPS
SNV
SNX
SON
SPN
SSS
STE
STLD
STR
SVU
SXT
SYNA
TCB
TCO
TDS
TDY
TECD
TECH
TER
TEX
TFX
TGI
THC
THG
THO
THS
TIME
TKR
TLN
TOL
TPH
TPX
TR
TRMB
TRMK
TRN
TTC
TUP
TXRH
TYL
UE
UFS
UGI
ULTI
UMPQ
UNFI
UTHR
VAL
VLY
VMI
VSAT
VSH
VSTO
VVC
WAB
WAFD
WBMD
WBS
WCG
WCN
WDR
WEN
WERN
WETF
WEX
WGL
WNR
WOOF
WOR
WPG
WPX
WR
WRB
WRI
WSM
WSO
WST
WTR
WWAV
WWD
X
Y
ZBRA
