CB
AIG
MET
PRU
TRV
ALL
AFL
PGR
HIG
PFG
LNC
MKL
L
ACGL
XL
UNM
CINF
AJG
TMK
AFG
VOYA
Y
WRB
AIZ
AXS
AGO
BRO
ORI
AWH
FAF
WTM
THG
CNO
PRI
SIGI
PRA
ERIE
RLI
MCY
AGII
KMPR
AEL
HMN
GNW
AFSI
NGHC
EIG
CNA
MBI
IPCC
NAVG
ANAT
AMSF
UVE
UFCS
SAFT
NWLI
JRVR
FFG
AMBC
OB
