DSW
AEO
PRTY
SCVL
LAD
KSS
PETS
FL
CVNA
ROST
KMX
PAG
AN
BKE
GPI
ANF
DLTR
DG
URBN
BURL
GCO
PLCE
GRPN
NTRI
BIG
WMT
BOOT
RCII
GES
CAL
ORLY
FIVE
OLLI
GPS
M
ULTA
ABG
MUSA
EYE
CHS
COST
STMP
DDS
TJX
EBAY
SSTK
AZO
EXPE
TGT
SIG
QRTEA
JWN
SFM
TIF
GME
BJ
TLRD
LEXEA
BKNG
GRUB
AAP
CASY
BBY
TSCO
KR
EXPR
AMZN
SFLY
SBH
PSMT
DKS
W
MNRO
MIK
ODP
ETSY
SFIX
WBA
CONN
OSTK
LB
ZUMZ
ASNA
CWH
JCP
RAD
BKS
QUOT
CRMT
HZO
CATO
WMK
LE
SAH
IMKTA
