Ticker      Name                                        Exchange    List
AMZN  	Amazon.Com Inc                                   	NASDAQ    	SP500     
AN    	Autonation Inc                                   	NYSE      	none      
ANDX  	Andeavor Logistics LP                            	NYSE      	none      
ANET  	Arista Networks Inc                              	NYSE      	SP500     
ANF   	Abercrombie & Fitch Company                      	NYSE      	SP600     
ANGI  	Homeservices Inc                                 	NASDAQ    	none      
ANSS  	Ansys Inc                                        	NASDAQ    	SP500     
ANTM  	Anthem Inc                                       	NYSE      	SP500     
AOBC  	American Outdoor Brands Corp                     	NASDAQ    	none      
AON   	AON Plc                                          	NYSE      	SP500     
AOS   	Smith [A.O.] Corp                                	NYSE      	SP500     
APA   	Apache Corp                                      	NYSE      	SP500     
APC   	Anadarko Petroleum Corp                          	NYSE      	SP500     
APD   	Air Products and Chemicals                       	NYSE      	SP500     
APH   	Amphenol Corp                                    	NYSE      	SP500     
APLE  	Apple Hospitality REIT Inc                       	NYSE      	none      
APO   	Apollo Global Management Llc C                   	NYSE      	none      
APPN  	Appian Corporation Class A                       	NASDAQ    	none      
APTI  	Apptio Inc                                       	NASDAQ    	none      
APTV  	Aptiv Plc                                        	NYSE      	SP500     
AR    	Antero Resources Corp                            	NYSE      	none      
ARCC  	Ares Capital Corp                                	NASDAQ    	none      
ARE   	Alexandria Real Estate Equities                  	NYSE      	SP500     
ARES  	Ares Management LP                               	NYSE      	none      
ARI   	Apollo Commercial Real Estate                    	NYSE      	SP600     
ARLP  	Alliance Resource Pt                             	NASDAQ    	none      
ARMK  	Aramark Holdings Corp                            	NYSE      	none      
ARNA  	Arena Pharmaceutical                             	NASDAQ    	none      
ARNC  	Arconic Inc                                      	NYSE      	SP500     
AROC  	Archrock Inc                                     	NYSE      	SP600     
ARR   	Armour Residential R                             	NYSE      	SP600     
ARRS  	Arris Group Inc                                  	NASDAQ    	none      
ARRY  	Array Biopharma Inc                              	NASDAQ    	none      
ARWR  	Arrowhead Pharma                                 	NASDAQ    	none      
ASB   	Associated Banc-Corp                             	NYSE      	none      
ASGN  	On Assignment                                    	NYSE      	none      
ASH   	Ashland Global Holdings Inc                      	NYSE      	none      
ASML  	Asml Hldg NY Reg                                 	NASDAQ    	NDX       
ATH   	Athene Holding Ltd                               	NYSE      	none      
ATHM  	Autohome Inc                                     	NYSE      	none      
ATI   	Allegheny Technologies Inc                       	NYSE      	none      
ATUS  	Altice USA Inc Class A                           	NYSE      	none      
ATVI  	Activision Blizzard                              	NASDAQ    	SP500     
AVA   	Avista Corp                                      	NYSE      	SP600     
AVB   	Avalonbay Communities                            	NYSE      	SP500     
AVGO  	Broadcom Ltd                                     	NASDAQ    	SP500     
AVT   	Avnet Inc                                        	NASDAQ    	none      
AVY   	Avery Dennison Corp                              	NYSE      	SP500     
AVYA  	Avaya Holdings Corp                              	NYSE      	none      
AWI   	Armstrong World Industries Inc                   	NYSE      	none      
AWK   	American Water Works                             	NYSE      	SP500     
AXGN  	Axogen Inc                                       	NASDAQ    	none      
AXL   	American Axle & Manufacturing                    	NYSE      	SP600     
AXP   	American Express Company                         	NYSE      	SP500     
AXTA  	Axalta Coating Systems Ltd                       	NYSE      	none      
AYI   	Acuity Brands Inc                                	NYSE      	none      
AYX   	Alteryx Inc                                      	NYSE      	none      
AZN   	Astrazeneca Plc                                  	NYSE      	none      
AZPN  	Aspen Technology                                 	NASDAQ    	none      
AZUL  	Azul S.A. ADR                                    	NYSE      	none      
BA    	Boeing Company                                   	NYSE      	SP500     
BABA  	Alibaba Group Holding Ltd                        	NYSE      	none      
BAC   	Bank of America Corp                             	NYSE      	SP500     
BAH   	Booz Allen Hamilton Holding Corp                 	NYSE      	none      
BAM   	Brookfield Asset Management Inc                  	NYSE      	none      
BANC  	First Pactrust Bancorp                           	NYSE      	SP600     
BAX   	Baxter International Inc                         	NYSE      	SP500     
BBBY  	Bed Bath & Beyond                                	NASDAQ    	none      
BBL   	Bhp Billiton Plc                                 	NYSE      	none      
BBT   	BB&T Corp                                        	NYSE      	SP500     
BBY   	Best Buy Co                                      	NYSE      	SP500     
BC    	Brunswick Corp                                   	NYSE      	none      
BCC   	Boise Cascade L.L.C.                             	NYSE      	SP600     
BCE   	BCE Inc                                          	NYSE      	none      
BCO   	Brink's Company                                  	NYSE      	none      
BDX   	Becton Dickinson and Company                     	NYSE      	SP500     
BECN  	Beacon Roofing Suppl                             	NASDAQ    	none      
BEL   	Belmond Ltd                                      	NYSE      	SP600     
BEN   	Franklin Resources                               	NYSE      	SP500     
BERY  	Berry Global Group                               	NYSE      	none      
BF.B  	Brown Forman Inc B                               	NYSE      	none      
BG    	Bunge Ltd                                        	NYSE      	none      
BGCP  	Bgc Partners Cl A                                	NASDAQ    	none      
BGS   	B&G Foods Holdings                               	NYSE      	SP600     
BHE   	Benchmark Electronics                            	NYSE      	SP600     
BHF   	Brighthouse Financial Inc                        	NASDAQ    	SP500     
BHGE  	Baker Hughes A Ge Co. Cl. A                      	NYSE      	SP500     
BHP   	Bhp Billiton Ltd                                 	NYSE      	none      
BID   	Sotheby's Holdings                               	NYSE      	none      
BIDU  	Baidu Inc                                        	NASDAQ    	NDX       
BIG   	Big Lots                                         	NYSE      	none      
BIIB  	Biogen Inc                                       	NASDAQ    	SP500     
BITA  	Bitauto Holdings Ltd                             	NYSE      	none      
BJRI  	Bj's Restaurants Inc                             	NASDAQ    	SP600     
BK    	Bank of New York Mellon Corp                     	NYSE      	SP500     
BKE   	Buckle Inc                                       	NYSE      	SP600     
BKH   	Black Hills Corp                                 	NYSE      	none      
BKI   	Black Knight Inc                                 	NYSE      	none      
BKU   	BankUnited Inc                                   	NYSE      	none      
BLDR  	Builders Firstsource                             	NASDAQ    	none      
BLK   	Blackrock                                        	NYSE      	SP500     
BLKB  	Blackbaud Inc                                    	NASDAQ    	none      
BLL   	Ball Corp                                        	NYSE      	SP500     
BLMN  	Bloomin' Brands Inc                              	NASDAQ    	none      
BLUE  	Bluebird Bio                                     	NASDAQ    	none      
BMO   	Bank of Montreal                                 	NYSE      	none      
BMRN  	Biomarin Pharmaceut                              	NASDAQ    	NDX       
BMS   	Bemis Company                                    	NYSE      	none      
BMY   	Bristol-Myers Squibb Company                     	NYSE      	SP500     
BNS   	Bank of Nova Scotia                              	NYSE      	none      
BOLD  	Audentes Therapeutics Inc                        	NASDAQ    	none      
BOOT  	Boot Barn Holdings Inc                           	NYSE      	none      
BOX   	Box Inc                                          	NYSE      	none      
BP    	BP Plc                                           	NYSE      	none      
BPFH  	Boston Pvt Finl Hldg                             	NASDAQ    	SP600     
BPL   	Buckeye Partners LP                              	NYSE      	none      
BPOP  	Popular Inc                                      	NASDAQ    	none      
BPY   	Brookfield Property Partners L                   	NASDAQ    	none      
BR    	Broadridge Financial Solutions Llc               	NYSE      	SP500     
BRK.B 	Berkshire Hath Hld B                             	NYSE      	none      
BRKR  	Bruker Corp                                      	NASDAQ    	none      
BRKS  	Brooks Automation                                	NASDAQ    	SP600     
BRO   	Brown & Brown                                    	NYSE      	none      
BRX   	Brixmor Property Group Inc                       	NYSE      	none      
BSBR  	Banco Santander Brasil S.A.                      	NYSE      	none      
BSX   	Boston Scientific Corp                           	NYSE      	SP500     
BT    	Bt Group Plc                                     	NYSE      	none      
BTI   	British American Tobacco Industries              	NYSE      	none      
BTU   	Peabody Energy Corp                              	NYSE      	none      
BUD   	Anheuser-Busch Inbev S.A.                        	NYSE      	none      
BURL  	Burlington Stores Inc                            	NYSE      	none      
BVN   	Compania Mina Buenaventura S.A.                  	NYSE      	none      
BWA   	Borgwarner Inc                                   	NYSE      	SP500     
BX    	The Blackstone Group LP                          	NYSE      	none      
BXP   	Boston Properties                                	NYSE      	SP500     
BXS   	Bancorpsouth Inc                                 	NYSE      	none      
BYD   	Boyd Gaming Corp                                 	NYSE      	none      
BZUN  	Baozun Inc Ads                                   	NASDAQ    	none      
C     	Citigroup Inc                                    	NYSE      	SP500     
CA    	CA Inc                                           	NASDAQ    	SP500     
CADE  	Cadence Bancorporation Class A                   	NYSE      	none      
CAG   	Conagra Brands Inc                               	NYSE      	SP500     
CAH   	Cardinal Health                                  	NYSE      	SP500     
CAJ   	Canon Inc                                        	NYSE      	none      
CAKE  	Cheesecake Fact                                  	NASDAQ    	none      
CAR   	Avis Budget Group I                              	NASDAQ    	none      
CARA  	Cara Therapeutics                                	NASDAQ    	none      
CARG  	Cargurus Inc Class A                             	NASDAQ    	none      
CARS  	Cars.Com Inc                                     	NYSE      	none      
CAT   	Caterpillar Inc                                  	NYSE      	SP500     
CB    	Chubb Ltd                                        	NYSE      	SP500     
CBD   	Companhia Brasileira De Distribuicao             	NYSE      	none      
CBOE  	CBOE Global Markets Inc                          	NASDAQ    	SP500     
CBPX  	Continental Building Products                    	NYSE      	none      
CBRE  	CBRE Group Inc                                   	NYSE      	SP500     
CBS   	CBS Corp                                         	NYSE      	SP500     
CC    	Chemours Company                                 	NYSE      	none      
CCE   	Coca Cola European Partners                      	NYSE      	none      
CCI   	Crown Castle International Corp                  	NYSE      	SP500     
CCJ   	Cameco Corp                                      	NYSE      	none      
CCK   	Crown Cork & Seal Company                        	NYSE      	none      
CCL   	Carnival Corp                                    	NYSE      	SP500     
CCS   	Century Communities Inc                          	NYSE      	none      
CDEV  	Centennial Resource Development Inc              	NASDAQ    	none      
CDK   	Cdk Global Inc                                   	NASDAQ    	none      
CDNA  	Caredx Inc                                       	NASDAQ    	none      
CDNS  	Cadence Design Sys                               	NASDAQ    	SP500     
CDW   	CDW Corp                                         	NASDAQ    	none      
CE    	Celanese Corp                                    	NYSE      	none      
CELG  	Celgene Corp                                     	NASDAQ    	SP500     
CERN  	Cerner Corp                                      	NASDAQ    	SP500     
CF    	Cf Industries Holdings                           	NYSE      	SP500     
CFG   	Citizens Financial Group Inc/Ri                  	NYSE      	SP500     
CFR   	Cullen/Frost Bankers                             	NYSE      	none      
CFX   	Colfax Corp                                      	NYSE      	none      
CG    	The Carlyle Group                                	NASDAQ    	none      
CGNX  	Cognex Cp                                        	NASDAQ    	none      
CHD   	Church & Dwight Company                          	NYSE      	SP500     
CHEF  	The Chefs Warehouse                              	NASDAQ    	SP600     
CHGG  	Chegg Inc                                        	NYSE      	none      
CHKP  	Check Point Software                             	NASDAQ    	NDX       
CHL   	China Mobile [Hong Kong] Ltd                     	NYSE      	none      
CHRS  	Coherus Bio                                      	NASDAQ    	none      
CHRW  	C.H. Robinson Ww                                 	NASDAQ    	SP500     
CHTR  	Charter Communicatio                             	NASDAQ    	SP500     
CHU   	China Unicom [Hong Kong] Ltd                     	NYSE      	none      
CI    	Cigna Corp                                       	NYSE      	SP500     
CIEN  	Ciena Corp                                       	NYSE      	none      
CIM   	Chimera Investment Corp                          	NYSE      	none      
CINF  	Cincinnati Financial                             	NASDAQ    	SP500     
CISN  	Cision Ltd                                       	NYSE      	none      
CIT   	Cit Group Inc [Del]                              	NYSE      	none      
CJ    	C&J Energy Services Inc                          	NYSE      	SP600     
CL    	Colgate-Palmolive Company                        	NYSE      	SP500     
CLB   	Core Laboratories N.V.                           	NYSE      	none      
CLDR  	Cloudera Inc                                     	NYSE      	none      
CLF   	Cleveland-Cliffs Inc                             	NYSE      	none      
CLGX  	Corelogic                                        	NYSE      	none      
CLI   	Mack-Cali Realty Corp                            	NYSE      	none      
CLR   	Continental Resources                            	NYSE      	none      
CLS   	Celestica Inc                                    	NYSE      	none      
CLVS  	Clovis Oncology Inc                              	NASDAQ    	none      
CLX   	Clorox Company                                   	NYSE      	SP500     
CMA   	Comerica Inc                                     	NYSE      	SP500     
CMC   	Commercial Metals Company                        	NYSE      	none      
CMCSA 	Comcast Corp A                                   	NASDAQ    	SP500     
CME   	CME Group Inc                                    	NASDAQ    	SP500     
CMG   	Chipotle Mexican Grill                           	NYSE      	SP500     
CMI   	Cummins Inc                                      	NYSE      	SP500     
CMP   	Compass Minerals Intl Inc                        	NYSE      	none      
CMS   	Cms Energy Corp                                  	NYSE      	SP500     
CNC   	Centene Corp                                     	NYSE      	SP500     
CNDT  	Conduent Inc                                     	NYSE      	none      
CNHI  	CNH Industrial N.V.                              	NYSE      	none      
CNI   	Canadian National Railway Company                	NYSE      	none      
CNK   	Cinemark Holdings Inc                            	NYSE      	none      
CNO   	Cno Financial Group                              	NYSE      	none      
CNP   	Centerpoint Energy Inc                           	NYSE      	SP500     
CNQ   	Canadian Natural Resources                       	NYSE      	none      
CNSL  	Consolidated Communications Holdings Inc         	NASDAQ    	SP600     
CNX   	CNX Resources Corp                               	NYSE      	none      
COF   	Capital One Financial Corp                       	NYSE      	SP500     
COG   	Cabot Oil & Gas Corp                             	NYSE      	SP500     
COHR  	Coherent Inc                                     	NASDAQ    	none      
COL   	Rockwell Collins                                 	NYSE      	SP500     
COMM  	Commscope Holding Co                             	NASDAQ    	none      
CONE  	Cyrusone Inc                                     	NASDAQ    	none      
COP   	Conocophillips                                   	NYSE      	SP500     
CORI  	Corium Intl                                      	NASDAQ    	none      
CORT  	Corcept Therapeutics                             	NASDAQ    	SP600     
COST  	Costco Wholesale                                 	NASDAQ    	SP500     
COT   	Cott Corp                                        	NYSE      	none      
COTY  	Coty Inc                                         	NYSE      	SP500     
COUP  	Coupa Software Inc                               	NASDAQ    	none      
COWN  	Cowen Group Inc                                  	NASDAQ    	none      
CP    	Canadian Pacific Railway                         	NYSE      	none      
CPA   	Copa Holdings S.A.                               	NYSE      	none      
CPB   	Campbell Soup Company                            	NYSE      	SP500     
CPRT  	Copart Inc                                       	NASDAQ    	SP500     
CRC   	California Resources Corporatio                  	NYSE      	none      
CREE  	Cree Inc                                         	NASDAQ    	none      
CRH   	CRH Plc                                          	NYSE      	none      
CRI   	Carter's Inc                                     	NYSE      	none      
CRM   	Salesforce.Com Inc                               	NYSE      	SP500     
CROX  	Crocs Inc                                        	NASDAQ    	SP600     
CRSP  	Crispr Therapeutics Ag                           	NASDAQ    	none      
CRUS  	Cirrus Logic Inc                                 	NASDAQ    	none      
CRZO  	Carrizo Oil & Gas                                	NASDAQ    	SP600     
CS    	Credit Suisse Group                              	NYSE      	none      
CSCO  	Cisco Systems Inc                                	NASDAQ    	SP500     
CSFL  	Centerstate Bank Corp                            	NASDAQ    	none      
CSIQ  	Canadian Solar Inc                               	NASDAQ    	none      
CSL   	Carlisle Companies Inc                           	NYSE      	none      
CSOD  	Cornerstone Ondemand                             	NASDAQ    	none      
CSX   	CSX Corp                                         	NASDAQ    	SP500     
CTAS  	Cintas Corp                                      	NASDAQ    	SP500     
CTB   	Cooper Tire & Rubber Company                     	NYSE      	SP600     
CTL   	Centurylink                                      	NYSE      	SP500     
CTLT  	Catalent Inc                                     	NYSE      	none      
CTRE  	Caretrust REIT Inc                               	NASDAQ    	SP600     
CTRP  	Ctrip.Com Intl Ltd                               	NASDAQ    	NDX       
CTSH  	Cognizant Tech Sol                               	NASDAQ    	SP500     
CTXS  	Citrix Systems Inc                               	NASDAQ    	SP500     
CUBE  	Cubesmart                                        	NYSE      	none      
CVA   	Covanta Holding Corp                             	NYSE      	none      
CVBF  	Cvb Financial Corp                               	NASDAQ    	SP600     
CVG   	Convergys Corp                                   	NYSE      	none      
CVI   	Cvr Energy Inc                                   	NYSE      	none      
CVNA  	Carvana Co. Class A                              	NYSE      	none      
CVS   	CVS Corp                                         	NYSE      	SP500     
CVX   	Chevron Corp                                     	NYSE      	SP500     
CWH   	Camping World Holdings Inc                       	NYSE      	none      
CXO   	Concho Resources Inc                             	NYSE      	SP500     
CXW   	Corecivic Inc                                    	NYSE      	none      
CY    	Cypress Semiconductr                             	NASDAQ    	none      
D     	Dominion Resources                               	NYSE      	SP500     
DAL   	Delta Air Lines Inc                              	NYSE      	SP500     
DAN   	Dana Inc                                         	NYSE      	none      
DAR   	Darling International Inc                        	NYSE      	SP600     
DATA  	Tableau Software Inc Class A                     	NYSE      	none      
DCI   	Donaldson Company                                	NYSE      	none      
DCP   	Dcp Midstream LP                                 	NYSE      	none      
DDD   	3D Systems Corp                                  	NYSE      	SP600     
DDR   	DDR Corp                                         	NYSE      	none      
DE    	Deere & Company                                  	NYSE      	SP500     
DECK  	Deckers Outdoor Corp                             	NYSE      	none      
DEI   	Douglas Emmett                                   	NYSE      	none      
DERM  	Dermira Inc Cm ST                                	NASDAQ    	none      
DFS   	Discover Financial Services                      	NYSE      	SP500     
DG    	Dollar General Corp                              	NYSE      	SP500     
DGX   	Quest Diagnostics Inc                            	NYSE      	SP500     
DHI   	D.R. Horton                                      	NYSE      	SP500     
DHR   	Danaher Corp                                     	NYSE      	SP500     
DIS   	Walt Disney Company                              	NYSE      	SP500     
DISCA 	Discovery Comm A                                 	NASDAQ    	SP500     
DISCK 	Discovery Comm Inc                               	NASDAQ    	SP500     
DISH  	Dish Network Corp                                	NASDAQ    	SP500     
DK    	Delek US Holdings                                	NYSE      	none      
DKS   	Dick's Sporting Goods Inc                        	NYSE      	none      
DLPH  	Delphi Technologies Plc                          	NYSE      	none      
DLTR  	Dollar Tree Inc                                  	NASDAQ    	SP500     
DM    	Dominion Midstream Partners LP                   	NYSE      	none      
DNB   	Dun & Bradstreet Corp                            	NYSE      	none      
DNKN  	Dunkin' Brands Group                             	NASDAQ    	none      
DNOW  	Now Inc                                          	NYSE      	none      
DO    	Diamond Offshore Drilling                        	NYSE      	none      
DOV   	Dover Corp                                       	NYSE      	SP500     
DOX   	Amdocs Ltd Ord                                   	NASDAQ    	none      
DPLO  	Diplomat Pharmacy Inc                            	NYSE      	SP600     
DPZ   	Domino's Pizza Inc                               	NYSE      	none      
DRE   	Duke Realty Corp                                 	NYSE      	SP500     
DRH   	Diamondrock Hospitality Company                  	NYSE      	SP600     
DRI   	Darden Restaurants                               	NYSE      	SP500     
DRNA  	Dicerna Pharmaceutic                             	NASDAQ    	none      
DSL   	Doubleline Income Solutions Fun                  	NYSE      	none      
DSW   	DSW Inc                                          	NYSE      	SP600     
DTE   	Dte Energy Company                               	NYSE      	SP500     
DUK   	Duke Energy Corp                                 	NYSE      	SP500     
DVA   	Davita Healthcare Partners Inc                   	NYSE      	SP500     
DVAX  	Dynavax Technologies                             	NASDAQ    	none      
DVMT  	Dell Technologies Inc Cl V                       	NYSE      	none      
DVN   	Devon Energy Corp                                	NYSE      	SP500     
DWDP  	Dowdupont Inc                                    	NYSE      	SP500     
DXC   	Dxc Technology Company                           	NYSE      	SP500     
DXCM  	Dexcom                                           	NASDAQ    	none      
EA    	Electronic Arts Inc                              	NASDAQ    	SP500     
EAT   	Brinker International                            	NYSE      	none      
EBAY  	Ebay Inc                                         	NASDAQ    	SP500     
EC    	Ecopetrol S.A.                                   	NYSE      	none      
ECA   	Encana Corp                                      	NYSE      	none      
ECHO  	Echo Global Logistic                             	NASDAQ    	SP600     
ECL   	Ecolab Inc                                       	NYSE      	SP500     
ECYT  	Endocyte Inc                                     	NASDAQ    	none      
ED    	Consolidated Edison Company of New York          	NYSE      	SP500     
EDIT  	Editas Medicine                                  	NASDAQ    	none      
EDU   	New Oriental Education & Technology Group        	NYSE      	none      
EEFT  	Euronet Worldwide                                	NASDAQ    	none      
EEP   	Enbridge Energy LP                               	NYSE      	none      
EEQ   	Enbridge Energy Management Llc                   	NYSE      	none      
EFX   	Equifax Inc                                      	NYSE      	SP500     
EGHT  	8X8 Inc                                          	NYSE      	SP600     
EGN   	Energen Corp                                     	NYSE      	none      
EHC   	Encompass Health Corp.                           	NYSE      	none      
EIX   	Edison International                             	NYSE      	SP500     
EL    	Estee Lauder Companies                           	NYSE      	SP500     
ELLI  	Ellie Mae Inc                                    	NYSE      	none      
ELY   	Callaway Golf Company                            	NYSE      	SP600     
EMN   	Eastman Chemical Company                         	NYSE      	SP500     
EMR   	Emerson Electric Company                         	NYSE      	SP500     
ENB   	Enbridge Inc                                     	NYSE      	none      
ENDP  	Endo Int'l Plc                                   	NASDAQ    	SP600     
ENLC  	Enlink Midstream Llc                             	NYSE      	none      
ENLK  	Enlink Midstream Partners LP                     	NYSE      	none      
ENR   	Energizer Holdings Inc                           	NYSE      	none      
ENTG  	Entegris Inc                                     	NASDAQ    	none      
EOG   	Eog Resources                                    	NYSE      	SP500     
EPC   	Edgewell Personal Care                           	NYSE      	none      
EPD   	Enterprise Products Partners LP                  	NYSE      	none      
EQC   	Equity Commonwealth                              	NYSE      	none      
EQIX  	Equinix Inc                                      	NASDAQ    	SP500     
EQM   	Equity Midstream Partners LP                     	NYSE      	none      
EQR   	Equity Residential                               	NYSE      	SP500     
EQT   	Eqt Corp                                         	NYSE      	SP500     
ERI   	Eldorado Resorts                                 	NASDAQ    	none      
ERJ   	Embraer-Empresa Brasileira De Aeronautica        	NYSE      	none      
ES    	Eversource Energy                                	NYSE      	SP500     
ESIO  	Electro Sci Inds                                 	NASDAQ    	SP600     
ESL   	Esterline Technologies Corp                      	NYSE      	none      
ESNT  	Essent Group Ltd                                 	NYSE      	none      
ESPR  	Esperion Theraptc                                	NASDAQ    	none      
ESRX  	Express Scripts                                  	NASDAQ    	SP500     
ETE   	Energy Transfer Equity LP                        	NYSE      	none      
ETFC  	E*Trade Finl Corp                                	NASDAQ    	SP500     
ETN   	Eaton Corp                                       	NYSE      	SP500     
ETP   	Energy Transfer Partners                         	NYSE      	none      
ETR   	Entergy Corp                                     	NYSE      	SP500     
ETSY  	Etsy Inc                                         	NASDAQ    	none      
ETY   	Eaton Vance Tax-Managed Diversified Equity       	NYSE      	none      
EV    	Eaton Vance Corp                                 	NYSE      	none      
EVH   	Evolent Health Inc Class A Com                   	NYSE      	none      
EVHC  	Envision Healthcare Holdings                     	NYSE      	none      
EVR   	Evercore Partners Inc                            	NYSE      	none      
EW    	Edwards Lifesciences Corp                        	NYSE      	SP500     
EWBC  	East West Bancorp                                	NASDAQ    	none      
EXAS  	Exact Sciences Cor                               	NASDAQ    	none      
EXC   	Exelon Corp                                      	NYSE      	SP500     
EXEL  	Exelixis Inc                                     	NASDAQ    	none      
EXP   	Eagle Materials Inc                              	NYSE      	none      
EXPD  	Expeditors Intl                                  	NASDAQ    	SP500     
EXPE  	Expedia Inc                                      	NASDAQ    	SP500     
EXR   	Extra Space Storage Inc                          	NYSE      	SP500     
FAF   	First American Corp                              	NYSE      	none      
FANG  	Diamondback Energy                               	NASDAQ    	none      
FAST  	Fastenal Co                                      	NASDAQ    	SP500     
FATE  	Fate Therapeutics                                	NASDAQ    	none      
FB    	Facebook Inc                                     	NASDAQ    	SP500     
FBC   	Flagstar Bancorp                                 	NYSE      	SP600     
FBHS  	Fortune Brands Home & Security                   	NYSE      	SP500     
FBR   	Fibria Celulose S.A.                             	NYSE      	none      
FCAU  	Fiat Chrysler Automobiles N.V.                   	NYSE      	none      
FCB   	Fcb Financial Holdings Inc                       	NYSE      	none      
