MSFT
AAPL
V
INTC
CSCO
MA
ORCL
ADBE
CRM
IBM
AVGO
PYPL
ACN
TXN
NVDA
QCOM
ADP
INTU
CTSH
MU
FIS
AMAT
HPQ
ADI
FISV
RHT
ADSK
TEL
APH
GLW
XLNX
PAYX
LRCX
HPE
MSI
MCHP
GPN
VRSN
AMD
DXC
FLT
NTAP
KLAC
TSS
MXIM
CTXS
SNPS
ANSS
SYMC
CDNS
KEYS
SWKS
IT
BR
ANET
WDC
AKAM
STX
FTNT
JKHY
FFIV
JNPR
ADS
WU
QRVO
FLIR
XRX
IPGP
