BA
MMM
HON
UNP
ACN
GE
PYPL
UTX
UPS
LMT
CAT
ADP
CSX
FDX
RTN
GD
NSC
NOC
DE
EMR
ITW
WM
FIS
FISV
ETN
SHW
JCI
ROP
TEL
WP
APH
GLW
IR
FTV
COL
PAYX
SQ
CMI
PCAR
ROK
PH
VRSK
IP
HRS
GPN
FLT
RSG
AME
TDG
BLL
TSS
CTAS
LLL
FAST
BR
TXT
GWW
CHRW
DOV
XYL
EFX
TRU
EXPD
JKHY
VMC
KEYS
XPO
WRK
FDC
KSU
MLM
IEX
ADS
JBHT
PKI
URI
HII
TRMB
NLSN
JEC
SPR
MAS
PKG
SNA
ZBRA
ARNC
ODFL
WU
AVY
ALLE
WAB
TDY
FLIR
LII
WEX
ST
RHI
CGNX
HDS
GGG
DCI
PNR
MIDD
ATR
BKI
FLR
AOS
NDSN
FBHS
FLS
TTC
SABR
CSL
ARW
BWXT
CCK
BERY
EEFT
HUBB
NATI
SON
ALSN
LECO
HXL
SEE
OC
MAN
ACM
AYI
IPGP
CW
PWR
WSO
HEIA
GWR
AVT
ITT
CR
DLB
SRCL
MMS
LFUS
LSTR
BMS
NSP
TRN
WWD
KNX
EME
OSK
NVT
G
MSA
KEX
TTEK
JBL
USG
AL
MSM
ASGN
AGCO
CNDT
TREX
BCO
GPK
HEI
AAXN
REZI
CLGX
CLH
EXP
ESL
ENS
GNRC
HCSG
RBC
LPX
AWI
HI
COHR
R
MIC
KMT
GATX
GDI
CFX
UNVR
MTZ
B
VMI
FCN
OI
TKR
KBR
AIT
SITE
KFY
WBT
BDC
WCC
MOGA
VSH
DLX
DY
NAV
TNET
TEX
AXE
SLGN
CVA
ITRI
ATU
MLI
MRC
SUM
EAF
ADT
GTES
