COP
EOG
MPC
PSX
VLO
PXD
APC
CXO
FANG
LNG
MRO
DVN
HES
COG
APA
NBL
HFC
TRGP
XEC
EQT
WPX
PE
PBF
MUR
CLR
NFX
CNX
DK
AR
SWN
RRC
CDEV
WLL
CHK
PDCE
MTDR
SM
CPE
OAS
INT
QEP
SRCI
GPOR
CVI
KOS
CRZO
MGY
CRC
DNR
PVAC
TELL
REN
LPI
JAG
XOG
NOG
PARR
WRD
BCEI
WTI
TALO
HPR
REI
HK
SD
UPL
