JNJ
UNH
PFE
ABBV
MRK
AMGN
MDT
GILD
BMY
ABT
TMO
LLY
CELG
BIIB
ANTM
BDX
AGN
AET
DHR
CI
SYK
ISRG
ESRX
HUM
VRTX
BSX
ZTS
MCK
BAX
ILMN
REGN
ALXN
HCA
EW
ZBH
MYL
A
CAH
CERN
ALGN
CNC
ABC
LH
MTD
WAT
IDXX
INCY
IQV
DGX
RMD
XRAY
PRGO
HSIC
DVA
VAR
HOLX
COO
UHS
PKI
EVHC
PDCO
