UGE       	Ultra Consumer Goods Proshares                    	AMEX      
UGL       	Ultra Gold Proshares                              	AMEX      
UJB       	Ultra High Yield Proshares                        	AMEX      
ULE       	Ultra Euro Proshares                              	AMEX      
UMDD      	Ultrapro Midcap 400 Proshares                     	AMEX      
UMX       	Ultra MSCI Mexico Proshares                       	AMEX      
UOP       	Ultra Oil & Gas Explorers Proshares               	AMEX      
UPRO      	Ultrapro S&P 500 Proshares                        	AMEX      
UPV       	Ultra FTSE Europe Proshares                       	AMEX      
UPW       	Ultra Utilities Proshares                         	AMEX      
URE       	Ultra Real Estate Proshares                       	AMEX      
URTY      	Ultrapro Russell 2000 Proshares                   	AMEX      
USD       	Ultra Semiconductors Proshares                    	AMEX      
UST       	Ultra 7-10 Year Treasury Proshares                	AMEX      
UVXY      	Ultra VIX Short-Term Fut Proshares                	AMEX      
UWM       	Ultra Russell 2000 Proshares                      	AMEX      
UXI       	Ultra Industrials Proshares                       	AMEX      
UYG       	Ultra Financials Proshares                        	AMEX      
UYM       	Ultra Basic Materials Proshares                   	AMEX      
WTID      	Crude Daily -3X Inverse ETN Proshares             	AMEX      
WTIU      	Crude Daily 3X Long ETN Proshares                 	AMEX      
WYDE      	CDS Short N Amer HY Credit Proshares ETF          	AMEX      
XPP       	Ultra FTSE China 25 Proshares                     	AMEX      
YCL       	Ultra Yen Proshares                               	AMEX      
YCS       	Ultrashort Yen Proshares                          	AMEX      
YXI       	China 25 Short Proshares                          	AMEX      
ZSL       	Ultrashort Silver Proshares                       	AMEX      
BIB       	Ultra Nasdaq Biotech Proshares                    	NASDAQ    
BIS       	Ultrashort Biotechnology Proshares                	NASDAQ    
SQQQ      	Ultrapro Short QQQ Proshares                      	NASDAQ    
TQQQ      	Ultrapro QQQ Proshares                            	NASDAQ    
UBIO      	Ultrapro Biotechnology Proshares                  	NASDAQ    
ZBIO      	Ultrapro Short Biotechnology Proshares            	NASDAQ    
IAIRX     	Ivy Proshares Interest Rate Hedged High Yield In  	USMF      
IAPRX     	Ivy Proshares S&P 500 Bond Index Fund Class A     	USMF      
IDAAX     	Ivy Proshares S&P 500 Dividend Aristocrats Index  	USMF      
IDAEX     	Ivy Proshares S&P 500 Dividend Aristocrats Index  	USMF      
IDAIX     	Ivy Proshares S&P 500 Dividend Aristocrats Index  	USMF      
IDANX     	Ivy Proshares S&P 500 Dividend Aristocrats Index  	USMF      
IDARX     	Ivy Proshares S&P 500 Dividend Aristocrats Index  	USMF      
IIIRX     	Ivy Proshares Interest Rate Hedged High Yield In  	USMF      
IIREX     	Ivy Proshares Interest Rate Hedged High Yield In  	USMF      
IIRNX     	Ivy Proshares Interest Rate Hedged High Yield In  	USMF      
IIRRX     	Ivy Proshares Interest Rate Hedged High Yield In  	USMF      
IMCNX     	Ivy Proshares MSCI ACWI Index Fund Class N        	USMF      
IMCRX     	Ivy Proshares MSCI ACWI Index Fund Class R        	USMF      
IMWAX     	Ivy Proshares MSCI ACWI Index Fund Class A        	USMF      
IMWEX     	Ivy Proshares MSCI ACWI Index Fund Class E        	USMF      
IMWIX     	Ivy Proshares MSCI ACWI Index Fund Class I        	USMF      
IPREX     	Ivy Proshares S&P 500 Bond Index Fund Class E     	USMF      
IPRIX     	Ivy Proshares S&P 500 Bond Index Fund Class I     	USMF      
IPRNX     	Ivy Proshares S&P 500 Bond Index Fund Class N     	USMF      
IPRRX     	Ivy Proshares S&P 500 Bond Index Fund Class R     	USMF      
IRUAX     	Ivy Proshares Russell 2000 Dividend Growers Inde  	USMF      
IRUEX     	Ivy Proshares Russell 2000 Dividend Growers Inde  	USMF      
IRUIX     	Ivy Proshares Russell 2000 Dividend Growers Inde  	USMF      
IRUNX     	Ivy Proshares Russell 2000 Dividend Growers Inde  	USMF      
IRURX     	Ivy Proshares Russell 2000 Dividend Growers Inde  	USMF      
