AMZN
HD
NFLX
DIS
CMCSA
MCD
WMT
BKNG
COST
SBUX
LOW
TWX
TJX
WBA
CHTR
MAR
FOXA
TGT
DAL
SYY
ROST
LVS
LUV
YUM
CCL
HLT
DG
ORLY
KR
DLTR
AAL
RCL
INFO
AZO
BBY
CBS
LBTYK
FOX
UAL
OMC
CAH
WYNN
MGM
EXPE
ULTA
TIF
ABC
KMX
KSS
CPRT
DPZ
NCLH
DRI
M
CMG
LBRDK
BURL
SIRI
MTN
LKQ
AAP
ARMK
TSCO
VIAB
QRTEA
IPG
LB
LSXMK
SERV
ALK
KAR
SCI
DISCK
FL
DISH
LBTYA
FWONK
GPS
JBLU
WH
TRIP
LYV
BFAM
HRB
NWSA
JWN
LOPE
DNKN
SIX
ROL
WYND
DNB
MSG
WSM
STAY
TXRH
GLIBA
H
W
HGV
FIVE
LSXMA
AEO
CBRL
CASY
CNK
URBN
YELP
DISCA
SFLY
CABO
NXST
JWA
CHH
DKS
NYT
ATGE
WEN
VAC
BECN
AN
CAR
GHC
SFM
SIG
TRCO
BBBY
SAVE
LGFB
AAN
AMCX
LILAK
LEXEA
JACK
LAD
ACXM
UNFI
CAKE
TGNA
MUSA
SBGI
BID
EAT
MDP
GRPN
NWS
ALGT
BLMN
SBH
LBRDA
DDS
RAD
BIG
LGFA
GME
ODP
LILA
FWONA
JCP
CBSA
VIA
