FANG
Date,Open,High,Low,Close,Volume
20-Nov-2015,77.01,78.40,76.51,77.47,1009900
19-Nov-2015,80.42,81.00,76.05,77.06,1124500
18-Nov-2015,80.00,81.86,78.11,81.42,1429500
17-Nov-2015,80.00,80.99,78.10,79.61,842500
16-Nov-2015,77.27,79.79,76.45,79.66,1272800
13-Nov-2015,77.83,78.94,76.68,76.72,1073500
12-Nov-2015,78.49,80.07,77.64,78.09,1408100
11-Nov-2015,79.67,80.12,77.84,79.83,1225300
10-Nov-2015,79.21,79.95,78.27,79.60,740400
09-Nov-2015,78.01,79.99,77.49,79.62,1133500
06-Nov-2015,76.50,78.96,76.36,77.79,1005400
05-Nov-2015,76.00,79.00,74.65,77.09,981000
04-Nov-2015,79.00,79.00,75.00,76.08,1374600
03-Nov-2015,73.81,79.32,73.34,77.26,1873400
02-Nov-2015,73.83,74.94,73.29,73.41,1293300
30-Oct-2015,76.08,76.13,73.13,73.84,1129200
29-Oct-2015,74.92,76.61,74.64,75.40,1186800
28-Oct-2015,72.90,76.36,71.75,75.50,1395019
27-Oct-2015,71.90,72.83,71.00,72.56,961800
26-Oct-2015,71.97,73.61,71.27,72.88,987600
23-Oct-2015,72.01,72.81,70.56,71.92,1203400
22-Oct-2015,71.81,73.00,71.10,72.35,802000
21-Oct-2015,73.11,73.11,71.06,71.27,602900
20-Oct-2015,74.03,75.10,72.23,73.36,831400
19-Oct-2015,76.12,76.43,71.85,73.31,1316962
16-Oct-2015,75.93,77.98,75.80,77.18,1115300
15-Oct-2015,75.94,76.74,73.96,75.68,912200
14-Oct-2015,76.42,76.61,74.87,76.43,706300
13-Oct-2015,76.52,77.96,75.81,76.17,652700
12-Oct-2015,76.45,77.92,75.09,76.91,1086100
09-Oct-2015,76.55,77.92,74.74,76.95,1708100
08-Oct-2015,73.23,76.74,72.42,76.22,1060000
07-Oct-2015,73.69,76.21,71.68,73.65,1645700
06-Oct-2015,73.00,74.67,70.61,72.58,1916800
05-Oct-2015,69.78,72.34,69.78,72.21,1242800
02-Oct-2015,65.11,69.52,63.36,69.36,1442900
01-Oct-2015,66.09,67.60,63.77,65.56,1447400
30-Sep-2015,63.86,65.31,62.85,64.60,769500
29-Sep-2015,62.73,64.21,62.11,63.00,795300
28-Sep-2015,65.11,65.43,62.24,62.63,984300
25-Sep-2015,67.70,67.72,65.24,66.01,926300
24-Sep-2015,65.90,67.35,64.21,66.67,729700
23-Sep-2015,69.21,70.21,66.40,66.49,931900
22-Sep-2015,68.39,71.30,67.44,69.18,1373300
21-Sep-2015,69.66,70.76,68.56,69.42,1131700
18-Sep-2015,68.02,69.38,67.72,69.00,1591900
17-Sep-2015,70.18,71.64,69.44,69.81,1012200
16-Sep-2015,67.33,70.72,67.29,69.89,1397200
15-Sep-2015,66.21,67.42,66.00,66.70,645200
14-Sep-2015,66.20,66.44,64.58,65.72,704400
11-Sep-2015,65.89,66.31,63.44,66.31,1113500
10-Sep-2015,65.40,67.64,63.82,66.88,1057100
09-Sep-2015,67.98,68.40,65.00,65.05,881600
08-Sep-2015,65.95,67.88,65.18,67.31,818600
07-Sep-2015,66.00,66.00,66.00,66.00,1104200
04-Sep-2015,65.99,67.17,65.46,66.00,701700
03-Sep-2015,68.05,69.00,66.80,66.98,944200
02-Sep-2015,65.58,67.49,63.33,67.45,1384000
01-Sep-2015,66.39,67.89,63.69,64.52,1462600
31-Aug-2015,65.93,69.15,65.31,68.29,1974300
28-Aug-2015,65.02,69.30,64.55,66.56,1609500
27-Aug-2015,63.51,67.66,62.58,65.70,1676500
26-Aug-2015,62.48,62.58,60.28,62.09,1104600
25-Aug-2015,65.71,65.78,60.79,60.82,1345500
24-Aug-2015,64.84,65.79,60.33,61.75,2022700
21-Aug-2015,69.31,70.22,66.33,66.55,1998500
20-Aug-2015,72.00,72.28,70.15,70.23,1056300
19-Aug-2015,72.75,73.13,70.05,71.84,1059800
18-Aug-2015,72.68,73.48,71.40,73.38,766100
17-Aug-2015,73.27,73.63,71.60,72.21,987100
14-Aug-2015,72.39,74.19,71.60,73.90,1502700
13-Aug-2015,70.71,72.06,70.02,71.67,2579800
12-Aug-2015,70.55,73.21,69.96,72.48,1039100
11-Aug-2015,69.11,71.11,68.00,70.87,859100
10-Aug-2015,69.09,70.96,68.81,70.19,1427000
07-Aug-2015,70.06,71.73,68.43,68.84,1149900
06-Aug-2015,68.40,70.96,65.89,70.48,1967800
05-Aug-2015,68.99,69.99,67.51,68.37,1710500
04-Aug-2015,67.44,69.35,67.19,67.99,1543700
03-Aug-2015,66.80,69.44,66.41,66.82,1302800
31-Jul-2015,67.24,68.57,66.51,67.30,1276100
30-Jul-2015,67.36,68.66,65.94,67.68,1543200
29-Jul-2015,64.63,67.91,63.99,67.65,1386200
28-Jul-2015,63.50,65.60,62.58,64.99,726500
27-Jul-2015,63.05,64.25,62.23,63.30,1129000
24-Jul-2015,66.39,66.47,63.12,63.90,1810000
23-Jul-2015,65.61,66.71,64.04,66.29,1813800
22-Jul-2015,65.34,66.44,64.39,66.24,1337200
21-Jul-2015,65.15,66.85,64.66,65.97,1233200
20-Jul-2015,65.01,66.21,64.18,64.83,1331600
17-Jul-2015,69.11,69.11,65.85,66.27,1992900
16-Jul-2015,70.87,71.75,68.46,69.19,1006100
15-Jul-2015,72.71,72.95,69.98,70.69,962900
14-Jul-2015,71.35,74.22,71.35,73.34,1052100
13-Jul-2015,71.19,71.46,70.03,71.31,781400
10-Jul-2015,71.30,71.69,69.57,70.89,973500
09-Jul-2015,70.23,71.91,70.10,70.86,1339200
08-Jul-2015,70.33,71.62,68.27,69.29,1022600
07-Jul-2015,70.06,71.17,67.56,71.06,1859300
06-Jul-2015,71.91,73.33,69.90,70.21,1371900
03-Jul-2015,73.13,73.13,73.13,73.13,1895850
02-Jul-2015,72.82,73.24,72.22,73.13,833200
01-Jul-2015,76.41,77.36,72.59,72.82,1441700
30-Jun-2015,75.95,76.31,73.36,75.38,1209300
29-Jun-2015,74.26,75.94,73.73,75.16,1228900
26-Jun-2015,75.48,76.32,73.38,75.25,7678900
25-Jun-2015,77.87,78.80,76.16,76.39,741900
24-Jun-2015,80.00,80.68,77.77,77.96,749900
23-Jun-2015,78.73,80.12,77.93,79.89,848700
22-Jun-2015,77.38,79.40,76.17,78.81,974200
19-Jun-2015,77.87,78.64,76.49,76.62,1409000
18-Jun-2015,80.12,80.64,78.48,78.57,656000
17-Jun-2015,81.45,82.49,78.53,79.39,702100
16-Jun-2015,79.71,81.17,79.08,80.75,595100
15-Jun-2015,80.03,80.22,79.07,79.89,856400
12-Jun-2015,80.80,80.80,79.88,80.65,433900
11-Jun-2015,81.47,81.84,80.81,81.04,442900
10-Jun-2015,81.09,81.98,80.26,81.43,683200
09-Jun-2015,79.31,80.92,79.31,79.99,736700
08-Jun-2015,78.29,80.43,77.68,78.83,1015300
05-Jun-2015,76.26,79.50,75.99,78.26,989400
04-Jun-2015,76.99,77.08,75.58,76.46,740000
03-Jun-2015,78.95,79.10,77.55,77.66,822200
02-Jun-2015,79.29,80.30,78.63,79.03,637900
01-Jun-2015,78.52,79.02,77.26,78.96,686000
29-May-2015,77.59,78.93,77.39,77.81,1206700
28-May-2015,78.75,78.75,76.12,77.53,1144400
27-May-2015,79.25,79.80,78.27,79.18,776900
26-May-2015,80.15,81.15,78.88,79.23,934300
25-May-2015,81.38,81.38,81.38,81.38,931530
22-May-2015,79.88,81.70,79.35,81.38,802400
21-May-2015,79.00,81.37,78.17,80.62,880000
20-May-2015,76.73,78.69,76.13,78.53,1065000
19-May-2015,78.65,79.26,76.40,77.47,993100
18-May-2015,78.79,79.84,78.22,79.23,826500
15-May-2015,77.88,79.24,75.75,78.93,1088100
14-May-2015,79.43,80.06,77.11,77.20,1278100
13-May-2015,80.22,80.58,78.65,79.42,827800
