Symbol	Description
DHD.IDX	DYNAMIC BANKING INTELL
DIFI.IDX	DOW Indu Stocks Above 50-Day Average
DIOF.IDX	DOW Indu Stocks Above 150-Day Average
DIOH.IDX	DOW Indu Stocks Above 100-Day Average
DITH.IDX	DOW Indu Stocks Above 200-Day Average
DITW.IDX	DOW Indu Stocks Above 20-Day Average
DIVD.IDX	S&P 500 ANNUAL DIVIDEND - 10X
DIVQ.IDX	NASDAQ Dividend Achievers Index
DJC.IDX	Dow Jones Composite Average
DJEC.IDX	DJ INTERNET COMMERCE IND
DJI.IDX	DJ Industrial Average
DJT.IDX	DJ Transport Average
DJU.IDX	DJ Utility Average
DJWO.IDX	DJ WORLD STOCK INDEX
DLTC.IDX	U.S. Large-Cap Technology Index
DMT.IDX	Dly Mirrow Idx
DNXR.IDX	S&P C.S. Co-Denver Home Price Index
DOI.IDX	AMEX Defense Index Final Settle
DOWE.IDX	INDUSTRIALS EU$
DOWV.IDX	TREASURIES IDX
DRCI.IDX	DJ COMPREIT
DREI.IDX	DJ EQUITYREIT
DRG.IDX	AMEX Pharmaceutical Index
DRO.IDX	AMEX Pharmaceutical Index Final
DSAE.IDX	DJ US AERODEF
DSAF.IDX	DJ US DELIVRYSRV
DSAG.IDX	DJ US ASSETMNG
DSAI.IDX	DJ US ELECEQUIP
DSAL.IDX	DJ US ALUMINUM
DSAM.IDX	DJ US MEDEQUIP
DSAP.IDX	DJ US AUTOPARTS
DSAR.IDX	DJ US AIRLINES
DSAS.IDX	DJ US AEROSPACE
DSAT.IDX	DJ US AUTOPARTS
DSAU.IDX	DJ US AUTOMOBILE
DSAV.IDX	DJ US MEDIAAGN
DSBC.IDX	DJ US BRDCASTENT
DSBD.IDX	DJ US BLDGMATFIX
DSBE.IDX	DJ US BSTRNGEMP
DSBK.IDX	DJ US BANKS
DSBM.IDX	DJ US BASICMAT
DSBS.IDX	DJ US BSCRSRCES
DSBT.IDX	DJ US BIOTECHNO
DSBV.IDX	DJ US BEVERAGES
DSCA.IDX	DJ US GAMBLING
DSCC.IDX	DJ US COMMCHEM
DSCE.IDX	DJ US CONSELECT
DSCF.IDX	DJ US CLOTHACCSS
DSCG.IDX	DJ US TRAVLEIS
DSCH.IDX	DJ US CHEMICALS
DSCL.IDX	DJ US COAL
DSCM.IDX	DJ US PERSPROD
DSCN.IDX	DJ US CONSMATRLS
DSCP.IDX	DJ US CTNRS&PKNG
DSCR.IDX	DJ US CMPTRHRDWR
DSCS.IDX	DJ US SPLTYCNSRV
DSCT.IDX	DJ US SEMICONDTR
DSCX.IDX	DJ US SPCLTYCHEM
DSCY.IDX	DJ US CONSUMSRV
DSDB.IDX	DJ US BREWERS
DSDN.IDX	DJ US DEFENSE
DSDR.IDX	DJ US FDDRGRET
DSDS.IDX	DJ US INSUPPLIER
DSDT.IDX	U.S. Diversified REITs Index
DSDV.IDX	DJ US CMPTRSRV
DSEC.IDX	DJ US ELCCOMPEQP
DSEE.IDX	DJ US ELECEQUP
DSEH.IDX	U.S. Real Estate Holding & Development Index
DSEN.IDX	DJ US OIL&GAS
DSES.IDX	U.S. Real Estate Services Index
DSEU.IDX	DJ US ELECTRCTY
DSFA.IDX	DJ US FINADMIN
DSFB.IDX	DJ US FOOD&BEV
DSFC.IDX	DJ US FXLNTELCM
DSFD.IDX	DJ US FOODRTWHSL
DSFE.IDX	DJ US INDUSTMACH
DSFH.IDX	DJ US FURNISHNG
DSFI.IDX	DJ US FINCLSRV
DSFN.IDX	DJ US FINANCIALS
DSFO.IDX	DJ US FOODPRODRS
DSFP.IDX	DJ US FOODPRDCTS
