Symbol	Description
MYLE.IDX	YTD Lows ETFS
MYLH.IDX	YTD Lows Price GT $10
MYLL.IDX	YTD Lows Price Lt $10
MYLN.IDX	YTD Lows NYSE
MYLP.IDX	YTD Lows Sp500
MYLQ.IDX	YTD Lows Nasdaq
MYLU.IDX	YTD Lows Volume Lt 100K
MYLV.IDX	YTD Lows Volume GT 100K
MYLX.IDX	YTD Lows Overall
NAST.IDX	NASDAQ Transportation Index
NBI.IDX	Nasdaq Biotechnology
NBZ.IDX	Nasdaq Biotech Index Final Set
NDFI.IDX	Nasdaq 100 Stocks Above 50-Day Average
NDOF.IDX	Nasdaq 100 Stocks Above 150-Day Average
NDOH.IDX	Nasdaq 100 Stocks Above 100-Day Average
NDTH.IDX	Nasdaq 100 Stocks Above 200-Day Average
NDTW.IDX	Nasdaq 100 Stocks Above 20-Day Average
NDX.IDX	NASDAQ 100 INDEX
NDXT.IDX	NASDAQ 100 TECHNOLOGY
NDXX.IDX	NASDAQ-100 Ex-Tech Sector Index
NDY.IDX	Nasdaq 100
NEX.IDX	Wilderhill New Energy Global In
NFA.IDX	Cts Feed Fa
NGV.IDX	AMEX Natural Gas Index Final Se
NI225.IDX	Nikkei 225
NNY.IDX	US 100
NNYE.IDX	ENERGY IDX
NNYI.IDX	INTERNATIONAL 100
NNYK.IDX	FINANCIAL
NNYL.IDX	WORLD LEADERS
NNYP.IDX	HEALTH CARE
NNYY.IDX	TMT IDX
NQGM.IDX	Ndaq Global Market Composite
NQGS.IDX	NASDAQ Global Select Market Composite Index
NSEI.IDX	CNX Nifty
NSHD.IDX	NYSE Declining Stocks
NSHF.IDX	NYSE Advances - Declines
NSHR.IDX	NYSE Advance Decline Ratio
NSHU.IDX	NYSE Advancing Stocks
NVLD.IDX	NYSE Declining Volume
NVLF.IDX	NYSE Advance Decline Volume Difference
NVLR.IDX	NYSE Advance Decline Vol Ratio
NVLU.IDX	NYSE Advancing Volume
NVOT.IDX	NYSE Total Volume
NWV.IDX	AMEX Networking Index Settlemen
NWX.IDX	AMEX Networking Index
NXTQ.IDX	NASDAQ Q-50 Index
NYA.IDX	NYSE Composite
NYI.IDX	NYSE International 100 Index
NYL.IDX	NYSE World Leaders Index
NYXR.IDX	S&P C.S. Ny-New York Home Price Index
NZ50.IDX	NZSX 50 Index
OEX.IDX	S&P 100 Index
OFIN.IDX	Nasdaq Other Financial Index
OILBR.IDX	Crude Oil Brent NYMEX
OILSW.IDX	Crude Oil Light Sweet NYMEX
OIV.IDX	CBOE/NYMEX WTI Volatility Index
OMX.IDX	OMX Stockholm 30 Index
ONE.IDX	S&P 100 Index
OOI.IDX	S&P Gl 100 Id
OSX.IDX	Phlx Euro Style Oil Svc Index
OVX.IDX	CBOE CRUDE OIL VOLATILITY INDEX
PHN.IDX	AMEX Telecom Index
PHXR.IDX	S&P C.S. Az-Phoenix Home Price Index
PLD.IDX	Palladium Index
PLT.IDX	Platinum Index
POQ.IDX	CBOE POWERPACKS TELCOM INDEX
POXR.IDX	S&P C.S. Or-Portland Home Price Index
PSEI.IDX	Philippines Stock Exchange PSEi Index
QSHD.IDX	NASD Declining Stocks
QSHF.IDX	NASD Advances - Declines
QSHR.IDX	NASD Advance Decline Ratio
QSHU.IDX	NASD Advancing Stocks
QVLD.IDX	NASD Declining Volume
QVLF.IDX	NASD Advance Decline Volume Difference
QVLR.IDX	NASD Advance Decline Vol Ratio
QVLU.IDX	NASD Advancing Volume
R1FI.IDX	Russell 1000 Stocks Above 50-Day Average
R1OF.IDX	Russell 1000 Stocks Above 150-Day Average
R1OH.IDX	Russell 1000 Stocks Above 100-Day Average
R1TH.IDX	Russell 1000 Stocks Above 200-Day Average
R1TW.IDX	Russell 1000 Stocks Above 20-Day Average
R2FI.IDX	Russell 2000 Stocks Above 50-Day Average
R2OF.IDX	Russell 2000 Stocks Above 150-Day Average
R2OH.IDX	Russell 2000 Stocks Above 100-Day Average
R2TH.IDX	Russell 2000 Stocks Above 200-Day Average
R2TW.IDX	Russell 2000 Stocks Above 20-Day Average
R3FI.IDX	Russell 3000 Stocks Above 50-Day Average
R3OF.IDX	Russell 3000 Stocks Above 150-Day Average
R3OH.IDX	Russell 3000 Stocks Above 100-Day Average
R3TH.IDX	Russell 3000 Stocks Above 200-Day Average
R3TW.IDX	Russell 3000 Stocks Above 20-Day Average
RAG.IDX	Cboe Russell 3000 Growth Index
RAV.IDX	Cboe Russell 3000 Value Index
RDG.IDX	Cboe Russell Midcap Growth Index
RJY.IDX	S.V. FOR AMEX MINI-NATURAL GAS
RLG.IDX	Cboe 1000 Growth Index
RLX.IDX	S& P Retail Index
RMC.IDX	Cboe Russell Midcap Index
RMV.IDX	Cboe Russell Midcap Value Index
RMZ.IDX	THE MSCI REIT INDEX
RPE.IDX	AMEX Elec Pwr&Nat Gas Infrastr
RSC.IDX	Russell SmallCap Index
RSG.IDX	Russell SmallCap Growth
RSV.IDX	Russell SmallCap Value
RTCM.IDX	Tsx Income Trust Index
RTF.IDX	RUSSELL TOP 50 INDEX
RTG.IDX	Russell 2500 Growth
RTI.IDX	Russell 2500 Index
RTM.IDX	Russell Microcap Index
RTRE.IDX	Tsx Reit Capped Index
RTV.IDX	Russell 2500 Value
RUA.IDX	Russell 3000 Index
RUF.IDX	ISE Homebuilders Index
RUI.IDX	Russell 1000 Index
RUJ.IDX	Cboe Russell Value Index
RUO.IDX	Cboe Russell 2000 Growth Index
RUT.IDX	Russell 2000 Index
RVX.IDX	CBOE RUSSELL 2000 VOLATILITY IN
RWG.IDX	Russell Top 200 Growth
RWI.IDX	Russell Top 200 Index
RWV.IDX	Russell Top 200 Value
S1FI.IDX	S&P 100 Stocks Above 50-Day Average
S1OF.IDX	S&P 100 Stocks Above 150-Day Average
S1OH.IDX	S&P 100 Stocks Above 100-Day Average
S1TH.IDX	S&P 100 Stocks Above 200-Day Average
S1TR.IDX	S&P 500 Automobiles & Components [TR]
S1TW.IDX	S&P 100 Stocks Above 20-Day Average
S2TR.IDX	S&P 500 Banks [TR]
S3TR.IDX	S&P 500 Capital Goods [TR]
S4FI.IDX	S&P 400 Stocks Above 50-Day Average
S4OF.IDX	S&P 400 Stocks Above 150-Day Average
S4OH.IDX	S&P 400 Stocks Above 100-Day Average
S4TH.IDX	S&P 400 Stocks Above 200-Day Average
S4TR.IDX	S&P 500 -Commercial & Professional Services [TR]
S4TW.IDX	S&P 400 Stocks Above 20-Day Average
S5FI.IDX	S&P 500 Stocks Above 50-Day Average
S5OF.IDX	S&P 500 Stocks Above 150-Day Average
S5OH.IDX	S&P 500 Stocks Above 100-Day Average
S5TH.IDX	S&P 500 Stocks Above 200-Day Average
S5TR.IDX	S&P 500 Consumer Durables & Apparel [TR]
S5TW.IDX	S&P 500 Stocks Above 20-Day Average
S6CD.IDX	S&P SmallCap600 Capped Consumer Discretionary [s
S6CS.IDX	S&P SmallCap600 Capped Consumer Staples [sector]
S6EP.IDX	S&P SmallCap600 Capped Energy [sector]Index
S6FI.IDX	S&P 600 Stocks Above 50-Day Average
S6FP.IDX	S&P SmallCap600 Capped Financials [sector]Index
S6HC.IDX	S&P SmallCap600 Capped HealthCare [sector]Index
S6IP.IDX	S&P SmallCap600 Capped Industrials [sector]Index
S6MP.IDX	S&P SmallCap600 Capped Materials [sector]Index
S6OF.IDX	S&P 600 Stocks Above 150-Day Average
S6OH.IDX	S&P 600 Stocks Above 100-Day Average
S6TH.IDX	S&P 600 Stocks Above 200-Day Average
S6TP.IDX	S&P SmallCap600 Capped Information Technology [s
S6TR.IDX	S&P 500 Consumer Services [TR]
S6TW.IDX	S&P 600 Stocks Above 20-Day Average
S6UP.IDX	S&P SmallCap600 Capped Utilities & Telecom Servi
S7TR.IDX	S&P 500 Diversified Financials [TR]
S8TR.IDX	S&P 500 Energy [TR]
S9TR.IDX	S&P 500 Food & Staples Retailing [TR]
SAAA.IDX	S&P Asia Alternative Energy Index
SAAB.IDX	S&P Asia Infrastructure Index
SAAC.IDX	S&P Asia Water Index
SACC.IDX	Alpha Shares China Small Cap Index
SACN.IDX	Alpha Shares China Technology Index
SAEI.IDX	S&P Global Alternative Energy Index [EURO]
SAER.IDX	S&P GSCI Agriculture Capped Component 35/20 EUR
SAEU.IDX	S&P Global Alternative Energy Index
SAIE.IDX	S&P Africa 40 Index [EURO]
SAIU.IDX	S&P Africa 40 Index
SAJR.IDX	MSCI WISE ASIA Ex-Japan Top [Net TR]
SAJT.IDX	MSCI WISE ASIA Ex-Japan Top
SANA.IDX	S&P Agribusiness North America
SANC.IDX	S&P Agribusiness North America CAD
SAPE.IDX	S&P Asia Property 40 Index
SAPT.IDX	S&P GSCI All Metals Capped Commodity 35/20 EUR I
SAPU.IDX	S&P Asia Property 40 Index [EURO]
SAQA.IDX	S&P Global Water Index
SAQE.IDX	S&P Global Water Index [EURO]
SAUE.IDX	S&P GSCI Agriculture Capped Component 35/20 EUR
SBAI.IDX	S&P Brazil ADR Index
SBER.IDX	S&P GSCI Biofuel Index Excess Return
SBES.IDX	BLO M Emerging Shariah Index [NetTR]
SBIX.IDX	S&P 500 Banks non-TR
SBNP.IDX	S&P Custom/BNP Paribas SPECTRUMUS Sect or Moment
SBSE.IDX	S&P BRIC Shariah Index [EURO]
SBSU.IDX	S&P BRIC Shariah Index
SBTR.IDX	S&P GSCI Biofuel Index Total Return
SBUP.IDX	S&P Food & Beverage Select Industry Index
SCBR.IDX	S&P BMI Russia [Capped] [USDollar]
SCEI.IDX	CS/RT Emerging Infrastructure Index [NetTR]
SCGD.IDX	Credit Suisse Germany Index
SCGT.IDX	Beacon Global Timber Index
SCII.IDX	CAT China Infrastructure [TR]
SCIR.IDX	S&P GSCI North American Copper Index Excess Retu
SCIS.IDX	S&P GSCI North American Copper Index
SCIT.IDX	S&P GSCI North American Copper Index Total Retur
SCPC.IDX	S&P Custom/Polaris China Play Index [TWD]
SCPX.IDX	Credit Suisse Germany Price Return Index
SCRC.IDX	S&P /CITIC China 30 Index
SCRE.IDX	Alpha Shares China Real Estate Index
SCSC.IDX	S&P /CITIC 300 Index
SCSE.IDX	S&P /CITIC 50 Index
SCSR.IDX	CS/RT Emerging Infrastructure Price Return Index
SCUT.IDX	S&P/CITIC 300 -  Utilities [Sector]
SCWI.IDX	CAT China Water [TR]
SCWP.IDX	S&P Developed Ex-U.S.Property [USDollar]
SCYE.IDX	S&P Chinese Renminbi Price Return Index
SCYI.IDX	S&P Chinese Renminbi Total Return
SDCG.IDX	Defined MultiCap Growth Index
SDCV.IDX	Defined MultiCap Value Index
SDDE.IDX	Wisdom Tree Domestic Dividends Index ex Financia
SDDV.IDX	DWS Top Divide X Index [TR]
SDEW.IDX	S&P 400 Midcap Equal Weighted Index
SDGO.IDX	Defined Large Cap Growth Opportunities Index
SDIP.IDX	S&P DCFI Index Excess Return
SDIS.IDX	S&P DCFIIndex
SDIT.IDX	S&P DCFI Index Total Return
SDLC.IDX	Defined Large Cap Core Index
SDMC.IDX	Defined Mid Cap Core Index
SDPI.IDX	Goldman Sachs BRICs Nifty 50 Developed Markets I
SDSC.IDX	Defined Small Cap Core Index
SDTI.IDX	Goldman Sachs BRICs Nifty 50 Developed Markets I
SDTR.IDX	S&P 500 Food Beverage & Tobacco [TR]
SDTS.IDX	S&P Diversified Trends Indicator
SDTT.IDX	S&P Diversified Trends Total Return Indicator Le
SDVO.IDX	Defined Large Cap Value Opportunities Index
SDWI.IDX	DWS Infrastru X Index [TR]
SEAN.IDX	S&P Southeast Asia 40 Index [NetTR]
SEBI.IDX	S-Network Emerging Infrastructure Builders Index
SECA.IDX	S&P GSCI Enhanced Commodity Index
SECB.IDX	S&P GSCI Enhanced Commodity Index Excess Return
SECC.IDX	S&P GSCI Enhanced Commodity Index Total Return
SEIB.IDX	S-Network Emerging Infrastructure Builders Index
SEIE.IDX	S&P Global Eco Index [EURO]
SEII.IDX	CS/RT Emerging Infrastructure Index
SEIT.IDX	S&P Global REIT [AUD]
SEIU.IDX	S&P Global Eco Index
SEMT.IDX	Brics Nifty 50 Emerging Market Tradable Index Tr
SENSEX.IDX	BSE SENSEX
SEXR.IDX	S&P C.S. Wa-Seattle Home Price Index
SFTR.IDX	S&P 500 - Pharmaceuticals Biotechnology & Life
SFXR.IDX	S&P C.S. Ca-San Francisco Home Price Index
SG0A.IDX	S&P GSCI Agriculture & Live Stock Index
SG0B.IDX	S&P GSCI Agriculture & Live Stock Index Excess R
SG0C.IDX	S&P GSCI Agriculture & Live Stock Index Total Re
SG0D.IDX	S&P GSCI Agriculture Index Excess Return
SG0E.IDX	S&P GSCI Agriculture Index Total Return
SG0F.IDX	S&P GSCI All Cattle Index
SG0G.IDX	S&P GSCI All Cattle Index Excess Return
SG0H.IDX	S&P GSCI All Cattle Index Total Return
SG0I.IDX	S&P GSCI All Crude Index
SG1A.IDX	S&P GSCI All Crude Index Total Return
SG1B.IDX	S&P GSCI All Wheat Index
SG1C.IDX	S&P GSCI All Wheat Index Excess Return
SG1D.IDX	S&P GSCI All Wheat Index Total Return
SG1E.IDX	S&P GSCI Aluminum Index
SG1F.IDX	S&P GSCI Aluminum Index Excess Return
SG1G.IDX	S&P GSCI Aluminum Index Total Return
SG1H.IDX	S&P GSCI Soybean Oil Index
SG1I.IDX	S&P GSCI Soybean Oil Index Excess Return
SG1J.IDX	S&P GSCI All Crude Index Excess Return
SG2A.IDX	S&P GSCI Brent Crude Index
SG2B.IDX	S&P GSCI Brent Crude Index Excess Return
SG2C.IDX	S&P GSCI Brent Crude Index Total Return
SG2D.IDX	S&P GSCI Cocoa Index
SG2E.IDX	S&P GSCI Cocoa Index Excess Return
SG2F.IDX	S&P GSCI Cocoa Index Total Return
SG2G.IDX	S&P GSCI Coffee Index Co Index
SG2H.IDX	S&P GSCI Coffee Index Excess Return
SG2I.IDX	S&P GSCI Coffee Index Total Return
SG2J.IDX	S&P GSCI Soybean Oil Index Total Return
SG3A.IDX	S&P GSCI Copper Index Excess Return
SG3B.IDX	S&P GSCI Copper Index Total Return
SG3C.IDX	S&P GSCI Corn Index
SG3D.IDX	S&P GSCI Corn Index Excess Return
SG3E.IDX	S&P GSCI Corn Index Total Return
SG3F.IDX	S&P GSCI Cotton Index
SG3G.IDX	S&P GSCI Cotton Index Excess Return
SG3H.IDX	S&P GSCI Cotton Index Total Return
SG3I.IDX	S&P GSCI Crude Oil Index
SG3J.IDX	S&P GSCI Copper Index
SG4A.IDX	S&P GSCI Crude Oil Index Total Return
SG4B.IDX	S&P GSCI Energy and Metals Index
SG4C.IDX	S&P GSCI Energy and Metals Index Excess Return
SG4D.IDX	S&P GSCI Energy and Metals Index Total Return
SG4E.IDX	S&P GSCI Energy Index Excess Return
SG4F.IDX	S&P GSCI Energy Index Total Return
SG4G.IDX	S&P GSCI Feeder Cattle Index
SG4H.IDX	S&P GSCI Feeder Cattle Index Excess Return
SG4I.IDX	S&P GSCI Feeder Cattle Index Total Return
SG4J.IDX	S&P GSCI Crude Oil Index Excess Return
SG5A.IDX	S&P GSCI Gas Oil Index Excess Return
SG5B.IDX	S&P GSCI Gas Oil Index Total Return
SG5C.IDX	S&P GSCI Gold Index
SG5D.IDX	S&P GSCI Gold Index Excess Return
SG5E.IDX	S&P GSCI Gold Index Total Return
SG5F.IDX	S&P GSCI Grains Index
SG5G.IDX	S&P GSCI Grains Index Excess Return
SG5H.IDX	S&P GSCI Grains Index Total Return
SG5I.IDX	S&P GSCI Heating Oil Index
SG5J.IDX	S&P GSCI Gas Oil Index
SG6A.IDX	S&P GSCI Heating Oil Index Total Return
SG6B.IDX	S&P GSCI Industrial Metals Index Excess Return
SG6C.IDX	S&P GSCI Industrial Metals Index Total Return
SG6D.IDX	S&P GSCI Kansas Wheat Index
SG6E.IDX	S&P GSCI Kansas Wheat Index Excess Return
SG6F.IDX	S&P GSCI Kansas Wheat Index Total Return
SG6G.IDX	S&P GSCI Lead Index
SG6H.IDX	S&P GSCI Lead Index Excess Return
SG6I.IDX	S&P GSCI Lead Index Total Return
SG6J.IDX	S&P GSCI Heating Oil Index Excess Return
SG7A.IDX	S&P GSCI Lean Hogs Index Excess Return
SG7B.IDX	S&P GSCI Lean Hogs Index Total Return
SG7C.IDX	S&P GSCI Light Energy Index [CPW4]
SG7D.IDX	S&P GSCI Light Energy Index [CPW4] Excess Return
SG7E.IDX	S&P GSCI Light Energy Index [CPW4] Total Return
SG7F.IDX	S&P GSCI Live Cattle Index
SG7G.IDX	S&P GSCI Live Cattle Index Excess Return
SG7H.IDX	S&P GSCI Live Cattle Index Total Return
SG7I.IDX	S&P GSCI Livestock Index Excess Return
SG7J.IDX	S&P GSCI Lean Hogs Index
SG8A.IDX	S&P GSCI Natural Gas Index
SG8B.IDX	S&P GSCI Natural Gas Index Excess Return
SG8C.IDX	S&P GSCI Natural Gas Index Total Return
SG8D.IDX	S&P GSCI Nickel Index
SG8E.IDX	S&P GSCI Nickel Index Excess Return
SG8F.IDX	S&P GSCI Nickel Index Total Return
SG8G.IDX	S&P GSCI Non-Energy Index Excess Return
SG8H.IDX	S&P GSCI Non-Energy Index
SG8I.IDX	S&P GSCI Non-Energy Index Total Return
SG8J.IDX	S&P GSCI Livestock Index Total Return
SG9A.IDX	S&P GSCI Non-Livestock Index Excess Return
SG9B.IDX	S&P GSCI Non-Livestock Index Total Return
SG9C.IDX	S&P GSCI Non-Natural Gas Index
SG9D.IDX	S&P GSCI Non-Natural Gas Index Excess Return
SG9E.IDX	S&P GSCI Non-Natural Gas Index Total Return
SG9F.IDX	S&P GSCI Non-Precious Index
SG9G.IDX	S&P GSCI Non-Precious Index Excess Return
SG9H.IDX	S&P GSCI Non-Precious Index Total Return
SG9I.IDX	S&P GSCI Petroleumex-Gas Oil Index
SG9J.IDX	S&P GSCI Non-Livestock Index
SGAA.IDX	S&P Global Agribusiness Composite Index USD
SGAB.IDX	S&P Global Agribusiness Composite Index EUR
SGAC.IDX	S&P Global Agribusiness Equity Index
SGAD.IDX	S&P Global Agribusiness Equity Index [EURO]
SGCC.IDX	S&P GSCI Capped Commodity 35/20 Index
SGCR.IDX	S&P GSCI All Metals Capped Index Excess Return
SGDO.IDX	S&P Global Dividend Opportunities Index
SGEI.IDX	Credit Suisse Emerging Market Infrastructure Ind
SGEP.IDX	Credit Suisse Emerging Market Infrastructure Pri
SGET.IDX	Goldman Sachs Liquefied Natural Gas Index [EURO]
SGEY.IDX	Credit Suisse Emerging Market Infrastructure Ind
SGIA.IDX	S&P North American Natural Resources Sector Inde
SGIB.IDX	S&P North American Technology Sector Index
SGIC.IDX	S&P North American Technology Hardware Index
SGID.IDX	S&P North American Technology Software Index
SGIE.IDX	S&P North American Technology Services Index
SGIF.IDX	S&P North American Technology Multimedia Network
SGIG.IDX	S&P North American Technology Internet Index
SGIH.IDX	S&P North AmericanT echnology Semiconductors Ind
SGIR.IDX	S&P GSCI All Metals Index Excess Return
SGJ.IDX	S&P GSCI Energy
SGK.IDX	S&P GSCI Agriculture
SGLE.IDX	Goldman Sachs Liquefied Natural Gas Index [EURO]
SGLN.IDX	SGI Global Security Index [EURO] [TR]
SGLS.IDX	SGI Global Security Index [EURO]
SGMA.IDX	S&P GSCI All Metals Index
SGME.IDX	SGI Global Momentum [NetTR] [EURO] [NetTR] [NEWV
SGMU.IDX	SGI Global Momentum [NetTR] [NEWVA]
SGON.IDX	S&P Global Dividend Opportunities Index [NetTR]
SGP.IDX	S&P GSCI Precious Metals
SGPA.IDX	S&P GSCI All Metals Capped Index
SGPG.IDX	S&P GSCI Agriculture Capped Index
SGPP.IDX	S&P GSCI Capped Commodity 35/20 Index Excess Ret
SGPR.IDX	S&P GSCI Agriculture Capped Index Total Return
SGPT.IDX	S&P GSCI Capped Commodity 35/20 Index Total Retu
SGQA.IDX	S&P GSCI Petroleumex-Gas Oil Index Total Return
SGQB.IDX	S&P GSCI Petroleum Index
SGQC.IDX	S&P GSCI Petroleum Index Excess Return
SGQD.IDX	S&P GSCI Petroleum Index Total Return
SGQE.IDX	S&P GSCI Precious Metals Index Excess Return
SGQF.IDX	S&P GSCI Precious Metals Index Total Return
SGQG.IDX	S&P GSCI Reduced Energy Index [CPW2]
SGQH.IDX	S&P GSCI Reduced Energy Index [CPW2] Excess Retu
SGQI.IDX	S&P GSCI Reduced Energy Index [CPW2] Total Retur
SGQJ.IDX	S&P GSCI Petroleumex GasOil Index Excess Return
SGRC.IDX	S&P GSCI All Metals Capped Commodity 35/20 EUR I
SGRE.IDX	S&P GSCI All Metals Capped Commodity 35/20 EUR I
SGRG.IDX	S&P GSCI Agriculture Capped Index Excess Return
SGRM.IDX	Cohen & Steers Global Realty Majors Portfolio [T
SGRT.IDX	S&P GSCI Agriculture Capped Component 35/20 EUR
SGSA.IDX	S&P GSCI Silver Index
SGSB.IDX	S&P GSCI Silver Index Excess Return
SGSC.IDX	S&P GSCI Silver Index Total Return
SGSD.IDX	S&P GSCI Soybeans Index
SGSE.IDX	S&P GSCI Excess Return
SGSF.IDX	S&P GSCI Soybeans Index Excess Return
SGSG.IDX	S&P GSCI Soybeans Index Total Return
SGSH.IDX	S&P GSCI Sugar Index
SGSJ.IDX	S&P GSCI Sugar Index Excess Return
SGSK.IDX	S&P GSCI Sugar Index Total Return
SGSM.IDX	S&P GSCI Ultra-Light Energy Index [CPW8] Excess
SGSN.IDX	S&P GSCI Ultra-Light Energy Index [CPW8] Total R
SGSO.IDX	S&P GSCI Unleaded Gasoline Index
SGSP.IDX	S&P GSCI Unleaded Gasoline Index Excess Return
SGSQ.IDX	S&P GSCI Unleaded Gasoline Index Total Return
SGSR.IDX	S&P GSCI Wheat Index
SGSS.IDX	S&P GSCI Wheat Index Excess Return
SGST.IDX	S&P GSCI Wheat Index Total Return
SGSU.IDX	S&P GSCI Zinc Index
SGSV.IDX	S&P GSCI Zinc Index Excess Return
SGSW.IDX	S&P GSCI Zinc Index Total Return
SGSX.IDX	S&P GSCI Ultra-LightEnergyIndex [CPW8]
SGT.IDX	S&P GSCI Total Return
SGTR.IDX	S&P GSCI All Metals Capped Index Total Return
SGV.IDX	CASINO GAMING
SGWC.IDX	Credit Suisse Global Warming Price Index
SGWE.IDX	Credit Suisse Global Warming Index EUR
SGWM.IDX	Credit Suisse Global Warming Index
SGWN.IDX	SGI Global Wealth Effect [NetTR]
SGWP.IDX	SGI Global Wealth Effect
SGWT.IDX	S&P GSCI Select Equal Weight Index Tr
SGX.IDX	S&P GSCI FPI Index
SGY.IDX	S&P GSCI Industrial Metals
SHEP.IDX	Credit Suisse Hs60 Europe Index Powered By Holt
SHEU.IDX	HS60 Europe Index
SHSB.IDX	HS60 Index
SHSD.IDX	HS60-EURO Index
SHTR.IDX	S&P 500 HealthCare Equipment & Services [TR]
SHUS.IDX	HS60 US Index
SIDO.IDX	S&P International Dividend Opportunities Index
SIII.IDX	Indus India Index
SIIN.IDX	S&P India Select Index
SIIP.IDX	S&P DFFI Index Excess Return
SIIS.IDX	S&P DFFI Index
SIIT.IDX	S&P DFFI Index Total Return
SIN.IDX	ISE Sindex Index
SINE.IDX	S&P India 10 Index [EURO]
SINU.IDX	S&P India 10 Index
SIPR.IDX	Brics Nifty 50 Emerging Market Tradable Index Pr
SIRI.IDX	S&P Indian Rupee Total Return
SIRP.IDX	Cohen & Steers International Realty Majors Portf
SIS.IDX	AMEX Semiconductor Index
SITR.IDX	S&P 500 Insurance [TR]
SIUT.IDX	S&P 500 2x Inverse Daily Index
SIV.IDX	Cboe/Cbot Soybean Volatility Index
SJPA.IDX	S&P Japan 500
SJPB.IDX	S&P Japan Mid Cap 100
SJPC.IDX	S&P Japan Small Cap 250 Index
SJPD.IDX	S&P TOPIX YEN
SJPE.IDX	S&P JES100
SJRI.IDX	S&P Japan Regional Index-Tokai
SJTR.IDX	S&P 500 Semiconductors & Semiconductor Equipment
SKTR.IDX	S&P 500 Materials [TR]
SLAC.IDX	S&P LAC40 [US$] [EURO] [NetTR]
SLCN.IDX	S&P US Carbon Efficient Index U.S. Carbci Index
SLCT.IDX	S&P U.S. Carbon Efficient Index [TR]
SLCU.IDX	S&P U.S. Carbon Efficient Index [NetTR]
SLEE.IDX	S&P GSCI Light Energy EUR Index
SLER.IDX	S&P GSCI Light Energy EUR Index ER
SLEW.IDX	S&P 600 Smallcap Equal Weighted Index
SLPE.IDX	Global Listed Private Equity Index
SLPX.IDX	Cushing 30 MLP Index USD Price Return
SLQR.IDX	S&P  500 Low Quality Rankings
SLRT.IDX	S&P GSCI Light Energy EUR Index TR
SLUN.IDX	S&P 500 2x Leverage Daily Index
SLUT.IDX	S&P 500 Gold Hedged Index
SLV.IDX	Silver Index
SML.IDX	S&P Small Caps 600 Index
SMPR.IDX	Goldman Sachs BRICs Nifty 50 Emerging Markets In
SMRW.IDX	Revenue Shares MidCap Fund
SMSS.IDX	Morgan Stanley Smart Money Equity Index [TR]
SMTI.IDX	Goldman Sachs BRICs Nifty 50 Emerging Markets In
SMTR.IDX	S&P GSCI All Metals Index Total Return
SMXT.IDX	DWS Mega Trends Index [NetTRw/fees]
SNAC.IDX	Alpha Shares China All Cap Index
SNCH.IDX	Next 11 Core 8 Index
SNCT.IDX	Next 11 Core 8 Index [TR]
SNEI.IDX	S&P Global Nuclear Energy Index [EURO]
SNER.IDX	S&P GSCI Non-Energy EUR IndexER
SNEU.IDX	S&P Global Nuclear Energy Index
SNNE.IDX	S&P Global Infrastructure Index [EURO] [NetTR]
SNNT.IDX	S&P Global Infrastructure Index [NetTR]
SNRE.IDX	S&P Global Natural Resources Index [EURO]
SNRT.IDX	S&P GSCI Non-Energy EUR Index TR
SNRU.IDX	S&P Global Natural Resources Index
SNTE.IDX	Next 11 Core 5 Index [TR]
SNUI.IDX	S&P GSCI Non-Energy EUR Index
SNXR.IDX	S&P C.S. Ca-San Diego Home Price Index
SOBC.IDX	SGI-Orbeo Carbon Credit Index [EUR-TotalReturn]
SOCC.IDX	SGI-Orbeo Carbon Credit Index [USD-TotalReturn]
SOTR.IDX	S&P 500 Media [TR]
SOX.IDX	PHLX Semiconductor
SP500.IDX	S&P 500
SPAA.IDX	SGI Pan Africa Index [NetTR] Panri Indexet
SPAB.IDX	SGI Pan Africa Index [EURO] [NetTR]
SPAC.IDX	SGI Pan Africa Index
SPAD.IDX	S&P GSCI Palladium Index
SPEE.IDX	S&P Listed Private Equity Index [EURO]
SPER.IDX	S&P GSCI Palladium Index Excess Return
SPEY.IDX	S&P Listed Private Equity Index
SPIN.IDX	S&P GSCI Platinum Index
SPIR.IDX	S&P GSCI Platinum Index Excess Return
SPLR.IDX	S&P GSCI Platinum Index Total Return
SPPR.IDX	S&P International Preferred Stock Index
SPRL.IDX	SGI Premium List [NetTR]
SPRT.IDX	S&P GSCI Palladium Index Total Return
SPSU.IDX	S&P COMPOSITE 1500 INDEX
SPUS.IDX	S&P  Global Ex-U.S. Property [US Dollar]
SPX.IDX	S&P 500 INDEX
SPXT.IDX	S&P 500 [TR]
SQTR.IDX	S&P 500 Software & Services [TR]
SRER.IDX	S&P Indian Rupee Price Return Index
SRFF.IDX	SGI Fed Funds Index
SRIC.IDX	S&P BRIC 40 Index [NetTR]
SRIE.IDX	S&P BRIC 40 Index [EURO] [NetTR]
SRMP.IDX	Cohen & Steers US Realty Majors Portfolio [TR]
SRPR.IDX	S&P Global REIT [USD]
SRTR.IDX	S&P 500 Real Estate [TR]
SRUP.IDX	S&P 500 High Quality Rankings Index
SRVA.IDX	Rogers Energy Producers Index [EURO]
SRVB.IDX	Rogers Metals Producers Index [EURO]
SRVC.IDX	Rogers Agricultural Producers Index [EURO]
SRVD.IDX	Rogers Energy Producers Index
SRVE.IDX	Rogers Metals Producers Index
SRVF.IDX	Rogers Agricultural Producers Index
SRVG.IDX	Rogers Producers Index
