QQQ
Date,Open,High,Low,Close,Volume
01-Feb-2010,43.13,43.13,43.13,43.13,1.00
29-Jan-2010,42.66,42.66,42.66,42.66,1.00
28-Jan-2010,43.42,43.42,43.42,43.42,1.00
27-Jan-2010,44.57,44.57,44.57,44.57,1.00
26-Jan-2010,44.22,44.22,44.22,44.22,1.00
25-Jan-2010,44.18,44.18,44.18,44.18,1.00
22-Jan-2010,44.03,44.03,44.03,44.03,1.00
21-Jan-2010,45.35,45.35,45.35,45.35,1.00
20-Jan-2010,45.78,45.78,45.78,45.78,1.00
19-Jan-2010,46.45,46.45,46.45,46.45,1.00
15-Jan-2010,45.71,45.71,45.71,45.71,1.00
14-Jan-2010,46.25,46.25,46.25,46.25,1.00
13-Jan-2010,46.21,46.21,46.21,46.21,1.00
12-Jan-2010,45.64,45.64,45.64,45.64,1.00
11-Jan-2010,46.22,46.22,46.22,46.22,1.00
08-Jan-2010,46.41,46.41,46.41,46.41,1.00
07-Jan-2010,46.03,46.03,46.03,46.03,1.00
06-Jan-2010,46.00,46.00,46.00,46.00,1.00
05-Jan-2010,46.28,46.28,46.28,46.28,1.00
04-Jan-2010,46.28,46.28,46.28,46.28,1.00
31-Dec-2009,45.61,45.61,45.61,45.61,1.00
30-Dec-2009,46.03,46.03,46.03,46.03,1.00
29-Dec-2009,45.89,45.89,45.89,45.89,1.00
28-Dec-2009,46.08,46.08,46.08,46.08,1.00
24-Dec-2009,45.84,45.84,45.84,45.84,1.00
23-Dec-2009,45.42,45.42,45.42,45.42,1.00
22-Dec-2009,45.10,45.10,45.10,45.10,1.00
21-Dec-2009,44.83,44.83,44.83,44.83,1.00
18-Dec-2009,44.33,44.33,44.33,44.33,1.00
17-Dec-2009,43.61,43.61,43.61,43.61,1.00
16-Dec-2009,44.15,44.15,44.15,44.15,1.00
15-Dec-2009,44.09,44.09,44.09,44.09,1.00
14-Dec-2009,44.34,44.34,44.34,44.34,1.00
