QQQ
Date,Open,High,Low,Close,Volume
26-Oct-2015,112.70,113.07,112.27,112.85,25918000
23-Oct-2015,112.66,113.24,112.07,112.78,51149100
22-Oct-2015,108.48,109.80,108.17,109.71,42778700
21-Oct-2015,108.73,108.84,107.48,107.52,30195200
20-Oct-2015,108.54,108.78,107.81,108.18,23331500
16-Oct-2015,107.90,108.18,107.38,108.12,27091100
15-Oct-2015,106.32,107.68,106.18,107.67,38393800
14-Oct-2015,106.10,106.63,105.49,105.93,30902600
13-Oct-2015,106.18,107.26,106.00,106.10,26999600
12-Oct-2015,106.73,106.99,106.35,106.79,16161900
09-Oct-2015,106.10,106.73,105.81,106.53,23907600
08-Oct-2015,105.23,106.23,104.21,106.05,50188800
07-Oct-2015,105.66,105.86,104.29,105.63,37389300
06-Oct-2015,105.25,105.60,104.18,105.00,33051500
05-Oct-2015,104.78,105.78,104.55,105.50,32853500
02-Oct-2015,100.80,104.01,100.48,104.01,59370800
01-Oct-2015,101.94,102.23,100.59,102.22,39339100
30-Sep-2015,100.89,101.87,100.50,101.76,41411400
29-Sep-2015,100.24,101.26,98.75,99.47,49315500
28-Sep-2015,102.48,102.55,99.69,99.99,44077400
25-Sep-2015,104.91,105.01,102.28,102.92,44700000
24-Sep-2015,103.17,104.19,102.27,103.80,38284300
23-Sep-2015,104.38,104.66,103.64,104.18,21775100
22-Sep-2015,104.06,104.42,103.13,104.10,47359600
21-Sep-2015,105.93,106.55,104.73,105.68,35772600
18-Sep-2015,105.23,106.60,105.17,105.35,48383900
17-Sep-2015,106.98,108.72,106.64,107.13,56139800
16-Sep-2015,106.51,107.19,106.14,107.09,31329100
15-Sep-2015,105.50,106.82,105.11,106.49,30020200
14-Sep-2015,105.96,105.98,104.85,105.25,19718800
11-Sep-2015,104.51,105.57,104.21,105.57,29106000
10-Sep-2015,103.74,105.68,103.62,104.99,47686700
09-Sep-2015,106.28,106.31,103.59,103.86,47146700
08-Sep-2015,104.12,105.17,103.69,105.04,37343500
07-Sep-2015,102.16,102.16,102.16,102.16,43218130
04-Sep-2015,101.97,102.85,101.59,102.16,49379600
03-Sep-2015,104.31,105.02,103.10,103.39,45131700
02-Sep-2015,102.88,103.92,101.70,103.90,43963500
01-Sep-2015,101.71,103.29,100.63,101.05,73155500
31-Aug-2015,105.03,105.61,104.05,104.31,39549300
28-Aug-2015,105.08,106.00,104.85,105.62,49919600
27-Aug-2015,104.52,105.71,103.28,105.64,69377600
26-Aug-2015,100.96,103.23,98.93,103.03,104103800
25-Aug-2015,102.07,102.74,98.01,98.09,75088200
24-Aug-2015,94.23,102.53,84.74,98.46,150829800
21-Aug-2015,105.57,106.47,102.40,102.40,97763400
20-Aug-2015,109.11,109.46,107.07,107.08,57747300
19-Aug-2015,110.52,111.11,109.49,110.13,42511300
18-Aug-2015,111.28,111.37,110.71,110.86,13984300
17-Aug-2015,110.24,111.46,109.96,111.43,21224900
14-Aug-2015,110.08,110.67,109.86,110.51,17924900
13-Aug-2015,110.63,111.16,110.10,110.34,22510500
12-Aug-2015,109.38,110.74,108.22,110.52,41888900
11-Aug-2015,110.98,111.41,109.53,110.14,36123200
10-Aug-2015,111.01,111.81,111.00,111.57,21500700
07-Aug-2015,110.18,110.57,109.40,110.31,30006800
06-Aug-2015,112.35,112.50,109.95,110.45,42125400
05-Aug-2015,112.01,113.00,111.88,112.25,28989800
04-Aug-2015,111.55,111.75,110.93,111.39,22132300
03-Aug-2015,111.97,112.28,110.86,111.60,25001700
31-Jul-2015,112.43,112.49,111.72,111.95,22081700
30-Jul-2015,111.29,112.27,110.62,112.08,25438000
29-Jul-2015,111.37,111.79,110.94,111.55,26714000
28-Jul-2015,110.67,111.35,109.79,111.13,33553400
27-Jul-2015,110.47,110.95,109.94,110.18,35994800
24-Jul-2015,112.80,113.00,110.93,111.10,30844700
23-Jul-2015,112.72,113.10,111.91,112.20,25698200
22-Jul-2015,112.17,113.17,112.17,112.62,35574900
21-Jul-2015,114.02,114.20,113.58,113.91,35468800
20-Jul-2015,113.83,114.39,113.48,113.98,26539000
17-Jul-2015,112.84,113.59,112.65,113.59,35926800
16-Jul-2015,111.29,111.96,111.07,111.94,29838900
15-Jul-2015,110.47,110.81,110.07,110.38,28631500
14-Jul-2015,109.69,110.56,109.63,110.26,21977100
13-Jul-2015,108.58,109.63,108.57,109.54,25780700
10-Jul-2015,107.44,108.05,107.05,107.65,26415800
09-Jul-2015,107.50,107.60,106.02,106.03,28381000
08-Jul-2015,107.20,107.33,105.89,106.09,39691400
07-Jul-2015,107.82,108.07,105.83,107.97,44230700
06-Jul-2015,107.27,108.32,107.04,107.70,24311000
03-Jul-2015,107.95,107.95,107.95,107.95,26751065
02-Jul-2015,108.23,108.32,107.62,107.95,20499400
01-Jul-2015,108.13,108.35,107.42,107.92,21292900
