Ticker,Sector,Insiders--buy trades,Insiders--sell trades,Insiders--net shares purchased,Insiders--shares purchased,Insiders--shares sold
DHR,10  - Technology,10,13,-407,5451,5857
DRI,09  - Services,2,3,0,182,182
DVA,08  - Health Care,12,2,40,87,47
DE,02  - Capital Goods,21,10,41,316,275
DLPH,04  - Consumer Cyclical,22,21,175,421,246
DAL,11  - Transportation,11,9,183,774,592
XRAY,08  - Health Care,14,14,72,811,739
DVN,06  - Energy,7,8,318,496,178
DLR,09  - Services,2,1,2,23,21
DFS,07  - Financial,12,13,-173,299,472
DISCA,09  - Services,11,7,706,1437,731
DISH,09  - Services,6,7,-2,231,233
DG,09  - Services,9,8,45,65,20
DLTR,09  - Services,17,11,52,225,173
D,12  - Utilities,15,9,6,143,137
DOV,01  - Basic Materials,26,14,5,156,152
DOW,01  - Basic Materials,11,11,206,1003,797
DPS,05  - Consumer Non-Cyclical,16,14,52,674,622
DTE,12  - Utilities,19,19,163,413,250
DUK,12  - Utilities,11,8,27,92,66
DXC,10  - Technology,12,10,830,1454,624
DD,01  - Basic Materials,17,6,22,107,84
ETFC,07  - Financial,8,5,23,211,188
EMN,01  - Basic Materials,16,17,5,103,98
ETN,10  - Technology,12,12,-3,198,201
EBAY,09  - Services,14,13,-1996,905,2901
ECL,05  - Consumer Non-Cyclical,28,19,62,156,94
EIX,12  - Utilities,13,11,20,117,97
EW,08  - Health Care,9,9,8,461,453
EA,10  - Technology,9,12,-300,298,598
LLY,08  - Health Care,28,16,-674,548,1222
EMR,10  - Technology,16,7,24,132,108
ETR,12  - Utilities,24,15,61,102,42
EVHC,08  - Health Care,21,16,435,1804,1369
EOG,06  - Energy,14,13,88,283,195
EQT,06  - Energy,10,8,103,199,96
EFX,09  - Services,15,11,-29,232,261
EQIX,10  - Technology,12,10,9,92,84
EQR,09  - Services,14,8,55,211,156
ESS,09  - Services,8,7,12,60,48
EL,05  - Consumer Non-Cyclical,3,8,711,1542,831
ES,12  - Utilities,20,9,-789,509,1298
EXC,12  - Utilities,23,12,97,1404,1307
EXPE,09  - Services,9,6,-10741,249,10989
EXPD,11  - Transportation,7,7,-83,89,172
ESRX,09  - Services,13,15,210,534,324
EXR,11  - Transportation,8,6,-181,108,289
XOM,06  - Energy,33,21,1139,1479,340
FFIV,10  - Technology,14,8,42,106,64
FB,10  - Technology,11,11,-6028,20299,26328
FAST,02  - Capital Goods,4,4,-11,56,67
