MET	46.23
MGM	31.86
MHK	216.36
MKC	103.20
MLM	204.00
MMC	81.15
MMM	199.36
MO	56.26
MON	124.83
MOS	27.43
MPC	76.94
MRK	57.75
MRO	19.72
MS	51.40
MSI	108.03
MTB	180.45
MTD	552.97
NBL	32.73
NCLH	51.51
NEE	164.09
NEM	39.65
NFX	27.34
NI	25.41
NKE	68.10
NLSN	30.19
NOC	313.85
NOV	38.50
NRG	33.30
NSC	143.92
NUE	62.94
NWL	27.65
O	52.27
OKE	63.45
OMC	74.58
ORCL	45.71
OXY	77.71
PCG	44.88
PEG	52.10
PFE	34.84
PG	72.43
PGR	59.81
PH	170.95
PHM	30.98
PKG	114.15
PKI	72.82
PLD	65.25
PM	81.87
PNC	145.60
PNR	44.30
PNW	80.20
PPG	106.40
PPL	28.95
PRGO	76.26
PRU	100.66
PSA	207.39
PSX	115.61
PVH	152.27
PWR	34.95
PX	154.57
PXD	194.19
RCL	107.36
RE	227.52
REG	58.76
RF	18.72
RHI	62.05
RHT	166.10
RJF	89.55
RL	106.80
RMD	97.72
ROK	173.49
ROP	269.20
RRC	13.62
RSG	68.56
RTN	202.54
SCG	36.50
SCHW	56.09
SEE	44.45
SHW	377.53
SIG	37.88
SJM	113.31
SLB	68.79
SLG	99.92
SNA	145.73
SO	46.03
SPG	159.34
SPGI	192.17
SRE	111.80
STI	66.60
STT	97.75
STZ	221.28
SWK	140.35
SYF	32.63
SYK	168.00
SYY	62.29
T	32.14
TAP	60.48
TDG	322.97
TEL	92.43
TGT	71.05
TIF	103.01
TJX	82.83
TMK	85.46
TMO	210.07
TRV	129.71
TSN	66.97
TSS	85.21
TWX	93.14
TXT	63.00
UAA	17.36
UAL	68.32
UDR	36.32
UHS	117.77
UNH	235.90
UNM	39.86
UNP	134.13
UPS	111.31
URI	153.23
USB	50.34
UTX	119.51
V	128.16
VAR	117.57
VFC	76.27
VLO	113.39
VMC	122.70
VNO	69.63
VTR	53.15
VZ	48.19
WAT	191.58
WEC	64.41
WFC	52.41
WHR	153.30
WM	84.05
WMB	26.19
WMT	87.53
WRK	59.41
WU	19.61
WY	36.51
WYN	106.30
XEC	97.31
XL	55.54
XOM	76.90
XRX	28.38
XYL	70.08
YUM	82.43
ZBH	116.22
ZTS	81.56
IDX.IDX	1897.45
SML.IDX	958.92
SPX.IDX	2663.42
