"ADM"	"05  - Consumer Non-Cyclical"	642.000	665.000	660.000	661.000	653.000	618.000	612.000	600.000	595.000	591.000	586.000	579.000	576.000	571.000	80676.000	89038.000	46729.000	89804.000	81201.000	67702.000	16565.000	16445.000	14384.000	15629.000	15832.000	16501.000	14988.000	14943.000	2036.000	1223.000	692.000	1342.000	2248.000	1849.000	252.000	718.000	230.000	284.000	341.000	424.000	339.000	276.000	-2340.000	2895.000	2478.000	5226.000	4962.000	2470.000	691.000	1383.000	23.000	-389.000	1522.000	319.000	409.000	905.000	8266.000	6535.000	6456.000	5347.000	5528.000	5779.000	5829.000	5779.000	5851.000	5561.000	6594.000	6504.000	5956.000	6056.000	"0515 - Food Processing"	"N - New York"	"500"	06/30/2017	"UPD"
"ADP"	"09  - Services"	493.500	487.300	482.700	478.900	472.600	457.000	462.400	457.600	454.400	453.400	452.300	447.900	446.500	444.497	9833.000	10595.400	9442.000	10226.400	10938.500	11667.800	2714.000	2807.000	3248.600	2898.300	2916.900	2987.300	3410.800	3064.900	1245.000	1375.200	1122.200	1242.600	1376.500	1493.400	337.500	341.400	532.500	282.000	368.700	510.900	587.900	265.800	1705.800	1910.200	1577.200	1821.400	1974.000	1897.300	109.100	383.600	741.700	662.900	329.800	511.300	827.600	457.200	34.200	16.800	14.700	11.500	9.200	2007.700	1995.200	1994.800	2007.700	2007.700	2007.700	2002.500	2002.500	2002.400	"0909 - Business Services"	"M - Nasdaq"	"500"	06/30/2017	"UPD"
"ADS"	"07  - Financial"	52.534	50.687	50.008	49.190	56.378	61.874	61.430	61.049	59.800	58.800	58.300	57.400	56.400	55.600	2791.400	3173.300	3641.400	4319.100	5302.900	6439.700	1589.100	1748.900	1676.100	1748.800	1885.600	1827.600	1879.000	1821.800	195.600	315.300	422.300	496.200	491.500	551.500	128.400	144.400	141.200	73.100	207.500	10.600	146.400	137.700	902.700	1011.300	1134.200	1003.500	1344.200	1705.800	467.400	674.600	280.100	474.800	574.100	759.400	487.500	546.900	3530.400	3729.700	5844.100	7275.000	10261.800	12703.200	11086.300	12707.000	13018.900	12788.400	13681.900	13814.300	13484.700	14794.000	"0703 - Consumer Financial Services"	"N - New York"	"500"	06/30/2017	"UPD"
"ADSK"	"10  - Technology"	227.600	227.700	226.400	224.000	227.100	226.000	225.300	224.500	224.400	223.200	222.300	222.308	219.900	219.500	1951.800	2215.600	2312.200	2273.900	2512.200	2504.100	599.800	648.300	511.900	550.700	489.600	478.800	485.700	501.800	212.000	285.300	247.400	228.800	81.800	-330.500	-43.800	-37.200	-167.700	-98.200	-142.800	-173.400	-129.600	-144.000	540.800	573.500	559.100	563.500	708.100	414.000	80.400	169.900	164.400	-18.000	7.700	15.600	45.200	-72.500	0.000	0.000	745.600	746.400	743.100	1487.700	1486.900	1487.700	1488.400	1489.200	1489.900	1092.000	1092.400	1584.900	"1036 - Software & Programming"	"M - Nasdaq"	"500"	07/31/2017	"UPD"
"AEE"	"12  - Utilities"	238.800	241.500	242.600	242.600	242.600	242.600	242.600	242.600	242.600	242.600	242.600	242.600	242.600	242.600	7638.000	6148.000	5781.000	5838.000	6053.000	6098.000	1833.000	1308.000	1434.000	1427.000	1859.000	1356.000	1514.000	1538.000	139.000	430.000	516.000	512.000	587.000	579.000	343.000	30.000	105.000	147.000	369.000	32.000	102.000	193.000	1823.000	1878.000	1690.000	1693.000	1565.000	2031.000	775.000	489.000	349.000	414.000	796.000	564.000	331.000	532.000	7313.000	6677.000	5802.000	5504.000	6085.000	6880.000	5981.000	6880.000	6881.000	6605.000	6607.000	6595.000	6597.000	6821.000	"1203 - Electric Utilities"	"N - New York"	"500"	06/30/2017	"UPD"
"AEP"	"12  - Utilities"	479.373	482.169	484.683	486.620	488.593	490.341	490.649	490.896	491.108	491.460	491.698	491.713	491.712	491.791	14427.000	15116.000	14945.000	14813.500	16378.600	16453.200	4432.000	3614.200	4044.900	3892.900	4652.200	3790.100	3933.300	3576.500	1211.000	1568.000	1259.000	1470.200	1586.300	1763.400	511.000	203.400	501.200	504.600	-765.800	373.400	592.200	375.000	2662.000	3788.000	3804.000	4105.700	4613.500	4818.500	1717.300	897.700	799.900	923.400	1695.200	1100.800	806.800	910.200	15502.000	15083.000	15586.000	16828.000	16012.000	17740.900	17600.000	17740.900	17749.300	17537.400	17319.900	17378.400	16722.200	16796.900	"1203 - Electric Utilities"	"N - New York"	"500"	06/30/2017	"UPD"
"AES"	"12  - Utilities"	769.000	778.000	755.000	743.000	720.000	687.000	679.000	672.000	661.000	659.500	659.000	660.000	659.000	660.000	15443.000	16098.000	17164.000	15891.000	16124.000	14155.000	3522.000	3219.000	3271.000	6500.000	3542.000	3544.000	3492.000	3470.000	496.000	506.000	-960.000	284.000	705.000	331.000	175.000	-72.000	135.000	32.000	176.000	-200.000	-24.000	53.000	3499.000	2805.000	3033.000	2711.000	1850.000	2130.000	910.000	618.000	644.000	1369.000	819.000	706.000	696.000	250.000	15792.000	19592.000	18216.000	18869.000	18725.000	17909.000	18398.000	17909.000	18337.000	19170.000	19740.000	19160.000	19197.000	18195.000	"1203 - Electric Utilities"	"N - New York"	"500"	06/30/2017	"UPD"
"AET"	"08  - Health Care"	415.700	372.500	340.100	355.400	355.500	349.300	349.200	349.600	350.700	351.200	351.400	351.900	343.800	332.500	34246.000	33782.200	36599.800	47294.600	58003.200	60336.500	14953.000	15048.500	15702.000	15953.000	15781.500	15727.800	15167.000	15524.000	1766.800	1985.700	1657.900	1913.600	2040.800	2390.200	560.100	320.800	737.000	791.000	603.900	139.400	-381.000	1203.000	1412.100	2511.100	1824.900	2278.700	3372.800	3866.100	1026.500	1110.500	1780.900	428.900	2411.200	-902.000	899.000	-207.000	3482.600	3977.700	6481.300	7865.300	7852.000	7785.000	7834.000	7785.000	7382.500	20019.100	20022.100	19027.000	8174.000	7175.000	"0806 - Healthcare Facilities"	"N - New York"	"500"	06/30/2017	"UPD"
"AFL"	"07  - Financial"	469.038	466.519	466.868	464.502	451.204	430.654	428.735	424.996	418.748	411.853	408.519	406.815	401.130	396.433	21191.000	24072.000	26341.000	24138.000	22759.000	21025.000	5177.000	5329.000	5465.000	5470.000	5738.000	5969.000	5319.000	5437.000	2328.000	1937.000	2866.000	3158.000	2951.000	2533.000	567.000	730.000	731.000	548.000	629.000	751.000	592.000	713.000	6989.000	10842.000	14952.000	10547.000	6550.000	6776.000	1667.000	2006.000	1331.000	1523.000	1266.000	1867.000	1757.000	1408.000	3038.000	3285.000	4352.000	4897.000	5282.000	4971.000	5009.000	4971.000	4984.000	5009.000	5765.000	5009.000	5250.000	5252.000	"0706 - Insurance (Accident & Health)"	"N - New York"	"500"	06/30/2017	"UPD"
"AGN"	"08  - Health Care"	122.400	124.500	125.800	142.300	219.700	367.800	393.600	394.500	394.800	395.600	392.700	356.400	335.100	335.200	3566.900	4584.400	5914.900	2602.500	4676.500	12688.100	3469.500	3606.900	3399.300	3684.800	3622.200	3864.300	3572.900	4007.400	184.400	260.900	97.300	-467.500	-2484.600	-3177.800	-946.000	-859.800	-162.500	-494.000	-451.500	-111.500	-2631.700	-787.100	571.000	632.000	665.800	1176.500	2243.000	4530.000	1048.200	1555.500	1253.100	1379.800	-1124.300	-83.300	723.300	1629.300	1016.100	848.500	6257.100	8517.400	14837.700	40133.900	40648.100	40133.900	38551.800	37075.100	31178.200	29970.800	26223.000	26443.300	"0803 - Biotechnology & Drugs"	"N - New York"	"500"	06/30/2017	"UPD"
