Date,GDP
1946-01-01,0.00
1946-04-01,0.00
1946-07-01,0.00
1946-10-01,0.00
1947-01-01,243164000000.00
1947-04-01,245968000000.00
1947-07-01,249585000000.00
1947-10-01,259745000000.00
1948-01-01,265742000000.00
1948-04-01,272567000000.00
1948-07-01,279196000000.00
1948-10-01,280366000000.00
1949-01-01,275034000000.00
1949-04-01,271351000000.00
1949-07-01,272889000000.00
1949-10-01,270627000000.00
1950-01-01,280828000000.00
1950-04-01,290383000000.00
1950-07-01,308153000000.00
1950-10-01,319945000000.00
1951-01-01,336000000000.00
1951-04-01,344090000000.00
1951-07-01,351385000000.00
1951-10-01,356178000000.00
1952-01-01,359820000000.00
1952-04-01,361030000000.00
1952-07-01,367701000000.00
1952-10-01,380812000000.00
1953-01-01,387980000000.00
1953-04-01,391749000000.00
1953-07-01,391171000000.00
1953-10-01,385970000000.00
1954-01-01,385345000000.00
1954-04-01,386121000000.00
1954-07-01,390996000000.00
1954-10-01,399734000000.00
1955-01-01,413073000000.00
1955-04-01,421532000000.00
1955-07-01,430221000000.00
1955-10-01,437092000000.00
1956-01-01,439746000000.00
1956-04-01,446010000000.00
1956-07-01,451191000000.00
1956-10-01,460463000000.00
1957-01-01,469779000000.00
1957-04-01,472025000000.00
1957-07-01,479490000000.00
1957-10-01,474864000000.00
1958-01-01,467540000000.00
1958-04-01,471978000000.00
1958-07-01,485841000000.00
1958-10-01,499555000000.00
1959-01-01,510330000000.00
1959-04-01,522653000000.00
1959-07-01,525034000000.00
1959-10-01,528600000000.00
1960-01-01,542648000000.00
1960-04-01,541080000000.00
1960-07-01,545604000000.00
1960-10-01,540197000000.00
1961-01-01,545018000000.00
1961-04-01,555545000000.00
1961-07-01,567664000000.00
1961-10-01,580612000000.00
1962-01-01,594013000000.00
1962-04-01,600366000000.00
1962-07-01,609027000000.00
1962-10-01,612280000000.00
1963-01-01,621672000000.00
1963-04-01,629752000000.00
1963-07-01,644444000000.00
1963-10-01,653938000000.00
1964-01-01,669822000000.00
1964-04-01,678674000000.00
1964-07-01,692031000000.00
1964-10-01,697319000000.00
1965-01-01,717790000000.00
1965-04-01,730191000000.00
1965-07-01,749323000000.00
1965-10-01,771857000000.00
1966-01-01,795734000000.00
1966-04-01,804981000000.00
1966-07-01,819638000000.00
1966-10-01,833302000000.00
1967-01-01,844170000000.00
1967-04-01,848983000000.00
1967-07-01,865233000000.00
1967-10-01,881439000000.00
1968-01-01,909387000000.00
1968-04-01,934344000000.00
1968-07-01,950825000000.00
1968-10-01,968030000000.00
1969-01-01,993337000000.00
1969-04-01,1009020000000.00
1969-07-01,1029956000000.00
1969-10-01,1038147000000.00
1970-01-01,1051200000000.00
1970-04-01,1067375000000.00
1970-07-01,1086059000000.00
1970-10-01,1088608000000.00
1971-01-01,1135156000000.00
1971-04-01,1156271000000.00
1971-07-01,1177675000000.00
1971-10-01,1190297000000.00
1972-01-01,1230609000000.00
1972-04-01,1266369000000.00
1972-07-01,1290566000000.00
1972-10-01,1328904000000.00
1973-01-01,1377490000000.00
1973-04-01,1413887000000.00
1973-07-01,1433838000000.00
1973-10-01,1476289000000.00
1974-01-01,1491209000000.00
1974-04-01,1530056000000.00
1974-07-01,1560026000000.00
1974-10-01,1599679000000.00
1975-01-01,1616116000000.00
1975-04-01,1651853000000.00
1975-07-01,1709820000000.00
1975-10-01,1761831000000.00
1976-01-01,1820487000000.00
1976-04-01,1852332000000.00
1976-07-01,1886558000000.00
1976-10-01,1934273000000.00
1977-01-01,1988648000000.00
1977-04-01,2055909000000.00
1977-07-01,2118473000000.00
1977-10-01,2164270000000.00
1978-01-01,2202760000000.00
1978-04-01,2331633000000.00
1978-07-01,2395053000000.00
1978-10-01,2476949000000.00
1979-01-01,2526610000000.00
1979-04-01,2591247000000.00
1979-07-01,2667565000000.00
1979-10-01,2723883000000.00
1980-01-01,2789842000000.00
1980-04-01,2797352000000.00
1980-07-01,2856483000000.00
1980-10-01,2985557000000.00
1981-01-01,3124206000000.00
1981-04-01,3162532000000.00
1981-07-01,3260609000000.00
1981-10-01,3280818000000.00
1982-01-01,3274302000000.00
1982-04-01,3331972000000.00
1982-07-01,3366322000000.00
1982-10-01,3402561000000.00
1983-01-01,3473413000000.00
1983-04-01,3578848000000.00
1983-07-01,3689179000000.00
1983-10-01,3794706000000.00
1984-01-01,3908054000000.00
1984-04-01,4009601000000.00
1984-07-01,4084250000000.00
1984-10-01,4148551000000.00
1985-01-01,4230168000000.00
1985-04-01,4294887000000.00
1985-07-01,4386773000000.00
1985-10-01,4444094000000.00
1986-01-01,4507894000000.00
1986-04-01,4545340000000.00
1986-07-01,4607669000000.00
1986-10-01,4657627000000.00
1987-01-01,4722156000000.00
1987-04-01,4806160000000.00
1987-07-01,4884555000000.00
1987-10-01,5007994000000.00
1988-01-01,5073372000000.00
1988-04-01,5190036000000.00
1988-07-01,5282835000000.00
1988-10-01,5399509000000.00
1989-01-01,5511253000000.00
1989-04-01,5612463000000.00
1989-07-01,5695365000000.00
1989-10-01,5747237000000.00
1990-01-01,5872701000000.00
1990-04-01,5960028000000.00
1990-07-01,6015116000000.00
1990-10-01,6004733000000.00
1991-01-01,6035178000000.00
1991-04-01,6126862000000.00
1991-07-01,6205937000000.00
1991-10-01,6264540000000.00
1992-01-01,6363102000000.00
1992-04-01,6470763000000.00
1992-07-01,6566641000000.00
1992-10-01,6680803000000.00
1993-01-01,6729459000000.00
1993-04-01,6808939000000.00
