"AVGO",2093.000,2336.000,2364.000,2520.000,4269.000,6824.000,13240.000,15608.000,442.000,564.000,582.000,551.000,438.000,1632.000,-532.000,-99999999.990,28.000,24.000,7.000,3.000,162.000,144.000,1176.000,-99999999.990,415.000,552.000,563.000,552.000,309.000,1391.000,-1627.000,-1760.000,559.000,522.000,325.000,326.000,1604.000,1822.000,3097.000,3536.000,189.000,194.000,194.000,285.000,519.000,524.000,1400.000,1336.000,745.000,676.000,602.000,883.000,5213.000,4951.000,39800.000,38767.000,2157.000,2446.000,2862.000,3415.000,10491.000,10515.000,49966.000,49617.000,652.000,440.000,443.000,529.000,7248.000,5801.000,31074.000,30584.000,510.000,726.000,693.000,722.000,1175.000,2318.000,3411.000,-99999999.990,238.000,245.000,245.000,247.000,251.000,264.000,366.000,399.000,0.000,0.350,0.560,0.800,1.130,1.550,1.940,0.000,6.320,8.190,9.870,11.680,12.920,17.860,51.620,47.700,-86.000,-122.000,-244.000,-652.000,-5885.000,-241.000,-9840.000,-99999999.990,1505.000,2006.000,2419.000,2886.000,3243.000,4714.000,18892.000,19033.000,01/29/2017,10/30/2016
"ADI",2761.500,2993.300,2701.100,2633.700,2864.800,3435.100,3421.400,3636.400,900.100,1072.000,824.000,753.100,752.500,830.800,1028.100,1099.300,16.500,2.200,8.700,29.800,37.300,0.000,13.700,63.100,711.200,860.900,651.200,673.500,629.300,696.900,861.700,914.300,1070.000,1405.100,528.800,392.100,569.200,884.400,921.100,4987.300,277.500,295.100,313.700,283.300,367.900,412.300,376.600,365.600,256.900,287.300,312.600,341.200,2313.800,2257.300,2228.500,2206.900,4328.800,5277.600,5620.300,6381.800,6859.700,7058.800,7970.300,10203.400,1129.100,1482.200,1455.000,1642.200,2101.800,1985.800,2804.700,4896.900,991.200,900.500,814.500,912.300,871.600,907.800,1280.900,1375.700,297.387,299.417,298.761,307.763,313.195,312.660,308.736,308.786,0.840,0.940,1.150,1.320,1.450,1.570,1.660,1.680,10.760,12.680,13.940,15.400,15.190,16.230,16.730,17.180,-485.800,-703.700,-1339.700,-949.900,-114.800,-17.100,-1218.300,755.800,3199.700,3795.400,4165.400,4739.600,4757.900,5073.000,5165.600,5306.400,01/28/2017,10/29/2016
"CSCO",40040.000,43218.000,46061.000,48607.000,47142.000,49161.000,49247.000,48570.000,9164.000,7674.000,10065.000,11196.000,9345.000,10770.000,12660.000,12057.000,28.000,1026.000,316.000,105.000,418.000,484.000,300.000,574.000,7767.000,6490.000,8041.000,9983.000,7853.000,8981.000,10739.000,9832.000,4581.000,7662.000,9799.000,7925.000,6726.000,6877.000,7631.000,10898.000,1327.000,1486.000,1663.000,1476.000,1591.000,1627.000,1217.000,1264.000,19948.000,19359.000,18957.000,25322.000,27519.000,26845.000,29126.000,28939.000,81130.000,87095.000,91759.000,101191.000,105070.000,113373.000,121652.000,126248.000,36863.000,39869.000,40473.000,42071.000,48416.000,53675.000,58066.000,62437.000,10173.000,10079.000,11491.000,12894.000,12332.000,12552.000,13570.000,13384.000,5732.000,5529.000,5370.000,5329.000,5234.000,5104.000,5053.000,5015.000,0.000,0.120,0.280,0.530,0.700,0.780,0.890,0.990,7.720,8.540,9.550,11.090,10.820,11.700,12.580,12.720,-11931.000,-2934.000,-3815.000,-11768.000,-6643.000,-10088.000,-8117.000,-10708.000,44267.000,47226.000,51286.000,59120.000,56654.000,59698.000,63586.000,63811.000,01/28/2017,07/30/2016
"ROST",7866.100,8608.300,9721.100,10230.400,11041.700,11940.000,12866.800,12866.800,906.600,1063.500,1271.800,1343.100,1488.400,1624.400,1802.600,1802.700,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,554.800,657.200,786.800,837.300,924.700,1020.700,1117.700,1117.700,833.900,649.800,646.800,423.200,696.600,761.600,1111.600,1111.600,1086.900,1130.100,1209.200,1257.200,1372.700,1419.100,1512.900,1512.900,2.900,2.900,2.900,2.900,2.900,-99999999.990,-99999999.990,0.000,3116.200,3301.200,3670.600,3896.800,4687.400,4869.100,5309.400,5309.400,1783.500,1808.200,1903.700,1889.500,2408.200,2397.100,2561.300,2561.300,673.100,820.100,979.600,1022.000,1372.900,1326.300,1558.900,1558.900,471.282,451.830,438.260,425.762,413.554,403.034,392.124,388.260,0.160,0.220,0.280,0.340,0.400,0.470,0.540,0.540,2.830,3.300,4.030,4.710,5.510,6.130,7.010,7.080,-196.800,-471.800,-425.700,-563.800,-639.000,-362.500,-292.800,-292.800,1332.700,1493.000,1766.900,2007.300,2279.200,2472.000,2748.000,2748.000,01/28/2017,01/28/2017
"DLTR",5882.400,6630.500,7394.500,7840.300,8602.200,15498.400,20719.200,20719.200,630.000,782.100,920.100,970.300,1040.200,1049.700,1704.800,1704.800,1.100,0.900,0.500,0.500,30.000,40.800,4.200,0.000,397.300,488.300,619.300,596.700,599.200,282.400,896.200,896.300,311.200,288.300,399.900,267.700,864.100,736.100,866.400,866.400,803.100,867.400,971.700,1035.300,1035.700,2885.500,2865.800,2865.800,173.100,173.100,173.300,171.800,166.100,8127.500,8128.600,8128.600,2380.500,2328.600,2752.000,2771.900,3492.700,15901.200,15701.600,15701.600,921.500,984.000,1084.700,1601.200,1707.700,11494.300,10312.100,10312.100,518.700,686.500,678.300,794.100,942.800,802.500,1673.300,1673.300,254.200,240.600,229.300,218.100,206.000,222.500,235.700,236.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.740,5.590,7.270,5.370,8.670,19.810,22.870,22.840,-374.100,-86.100,-261.900,-325.000,-315.000,-6978.400,-483.600,-483.600,1459.000,1344.600,1667.300,1170.700,1785.000,4406.900,5389.500,5389.500,01/28/2017,01/28/2017
"ULTA",1454.800,1776.200,2220.300,2670.600,3241.400,3924.100,4854.700,4854.700,118.900,196.200,280.000,327.600,410.400,506.300,654.800,654.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,71.000,120.300,172.500,202.800,257.100,320.000,409.800,409.800,111.200,253.700,320.500,419.500,389.100,345.800,385.000,385.000,218.500,244.600,361.100,457.900,581.200,761.800,944.000,944.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,730.500,957.200,1275.200,1602.700,1983.200,2230.900,2551.900,2551.900,328.000,372.500,488.300,599.600,735.700,788.000,1001.700,1001.700,176.500,220.900,239.000,327.700,396.600,375.900,634.700,634.700,58.959,61.259,63.250,63.992,64.335,63.949,62.519,62.201,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,6.830,9.540,12.440,15.680,19.390,22.560,24.800,24.920,-97.100,-128.600,-188.600,-226.000,-399.300,-279.000,-273.700,-273.700,402.500,584.700,786.900,1003.100,1247.500,1442.900,1550.200,1550.200,01/28/2017,01/28/2017
"SBUX",10707.400,11700.400,13276.800,14866.800,16447.800,19162.700,21315.900,21675.300,1419.400,1728.500,1997.400,-201.800,3081.100,3930.500,4171.900,4246.500,53.000,0.000,0.000,2784.100,-20.200,-329.500,0.000,-99999999.990,945.600,1245.700,1383.800,8.300,2068.100,2757.400,2817.700,2881.900,1164.000,1148.100,1188.600,2575.700,1708.400,1530.100,2128.800,2034.600,543.300,965.800,1241.500,1111.200,1090.900,1306.400,1378.500,1218.700,333.200,433.500,542.800,1137.700,1129.700,2616.200,2752.200,2069.600,6385.900,7360.400,8219.200,11516.700,10752.900,12416.300,14312.500,14017.300,2711.200,2975.500,3110.200,7036.500,5480.900,6598.300,8428.500,8220.700,1704.900,1612.400,1750.300,2908.300,607.800,3749.100,4575.100,4434.800,1488.800,1496.600,1508.800,1498.600,1506.200,1495.900,1471.600,1457.500,0.180,0.280,0.340,0.420,0.520,0.640,0.800,0.850,2.470,2.930,3.390,2.990,3.500,3.890,4.000,3.980,-789.500,-1019.500,-974.000,-1411.200,-817.700,-1520.300,-2222.900,-2264.300,3674.700,4384.900,5109.000,4480.200,5272.000,5818.000,5884.000,5796.600,01/01/2017,10/02/2016
"ILMN",902.700,1055.500,1148.500,1421.200,1861.400,2219.800,2398.400,2398.400,211.700,199.500,200.800,134.100,514.700,612.800,587.000,587.000,-8.500,50.900,32.600,120.000,-67.100,10.300,-8.000,-8.000,124.900,86.600,151.300,125.300,353.400,461.600,462.600,462.600,248.900,303.000,434.000,711.600,636.200,768.800,734.500,734.500,129.900,128.800,158.700,154.100,191.100,270.800,300.200,300.200,369.700,534.800,499.500,1054.200,1039.400,1299.900,1018.600,1018.600,1839.100,2195.800,2566.100,3019.000,3339.600,3687.700,4280.600,4280.600,641.400,1120.600,1247.500,1485.800,1876.800,1839.200,2083.400,2083.400,272.600,358.100,291.900,386.400,501.300,659.600,687.200,687.200,123.581,123.399,122.999,125.076,135.553,144.826,146.788,146.803,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.690,8.710,10.720,12.260,10.790,12.760,14.970,14.970,-285.100,-401.000,-150.000,-69.600,-406.600,-106.100,-514.500,-514.500,1197.700,1075.200,1318.600,1533.200,1462.800,1848.600,2197.200,2197.200,01/01/2017,01/01/2017
"AAL",22170.000,23979.000,24855.000,26743.000,42650.000,40990.000,40180.000,40181.000,308.000,-1155.000,-2060.000,-1256.000,4249.000,6204.000,5284.000,5284.000,0.000,874.000,2594.000,3214.000,800.000,1051.000,723.000,723.000,-471.000,-1979.000,-1876.000,-1834.000,2882.000,7610.000,2676.000,2676.000,168.000,283.000,480.000,1140.000,994.000,390.000,322.000,322.000,594.000,617.000,1160.000,2024.000,1004.000,863.000,1094.000,1094.000,932.000,894.000,1899.000,8708.000,6331.000,6340.000,6264.000,6264.000,25088.000,23848.000,23510.000,42278.000,43225.000,48415.000,51274.000,51274.000,29033.000,30959.000,31497.000,45009.000,41204.000,42780.000,47489.000,47489.000,1241.000,743.000,1285.000,675.000,3080.000,6249.000,6524.000,6524.000,333.000,124.985,125.231,163.046,717.456,668.393,552.308,514.574,0.000,0.000,0.000,0.000,0.200,0.400,0.400,0.400,-11.850,-56.890,-63.780,-16.750,2.820,8.430,6.850,7.360,-2030.000,-1292.000,-1571.000,-3814.000,-2911.000,-5594.000,-5698.000,-5698.000,-3945.000,-7111.000,-7987.000,-2731.000,2021.000,5635.000,3785.000,3785.000,12/31/2016,12/31/2016
"AMGN",15053.000,15582.000,17265.000,18676.000,20063.000,21662.000,22991.000,22991.000,5545.000,4312.000,5577.000,5867.000,6191.000,8470.000,9794.000,9794.000,279.000,1050.000,404.000,298.000,377.000,171.000,105.000,210.000,4627.000,3683.000,4345.000,5081.000,5158.000,6939.000,7722.000,7722.000,3287.000,6946.000,3257.000,3805.000,3731.000,4144.000,3241.000,3241.000,2022.000,2484.000,2744.000,3019.000,2647.000,2435.000,2745.000,2745.000,13564.000,14334.000,19016.000,28230.000,27481.000,26428.000,25030.000,25030.000,43486.000,48871.000,54298.000,66125.000,69009.000,71449.000,77626.000,77626.000,19542.000,29842.000,35238.000,44029.000,43231.000,43366.000,47751.000,47751.000,5787.000,5119.000,5882.000,6291.000,8555.000,9077.000,10354.000,10354.000,960.000,905.000,775.000,753.000,759.000,758.000,748.000,736.000,0.000,0.560,1.440,1.880,2.440,3.160,4.000,4.000,24.940,21.030,24.590,29.340,33.960,37.050,39.940,40.590,-4152.000,-786.000,-9990.000,-8469.000,-5752.000,-5547.000,-8658.000,-8658.000,23944.000,19029.000,19060.000,22096.000,25778.000,28083.000,29875.000,29875.000,12/31/2016,12/31/2016
