"ABBV"	"500"	"56  - Healthcare"	11932.000	3363.000	4492.000	1742.000	3945.000	4636.000	4636.000	4998.000	6009.000	6687.000	5097.000	3553.000	-3375.000	-2921.000	0.000	104.000	299.000	429.000	719.000	1047.000	316.000	273.000	284.000	293.000	299.000	309.000	320.000	339.000	2502.500	5178.000	2840.000	3297.000	4101.000	4366.000	1190.000	1135.000	1223.000	1222.000	1402.000	1244.000	1322.000	1268.000	7.550	2.130	2.830	1.090	2.430	2.860	2.870	3.130	3.770	4.190	3.190	2.230	-2.150	-1.930	872.000	1091.000	1150.000	1124.000	1719.000	1444.000	1444.000	1427.000	1582.000	1785.000	1605.000	1738.000	1580.000	1786.000	54016.600	93052.400	109112.000	101117.000	125030.000	188606.000	132935.900	136271.500	146802.400	171258.400	182414.200	178868.100	178837.200	175403.400	34.160	52.810	65.440	59.240	62.620	96.710	55.780	61.840	72.510	90.250	115.830	92.650	77.850	89.500	3.730	3.810	2.010	0.170	2.270	1.740	0.300	0.610	0.530	1.320	0.850	0.870	0.780	1.840	09/30/2018	01/18/2019
"ABC"	"500"	"54  - Consumer Non-Cyclicals"	2454.800	2319.700	1956.900	616.400	2129.400	2064.500	2116.600	2529.300	2553.500	2064.500	2874.600	3187.600	3097.800	2932.800	94.400	75.000	77.700	112.000	144.300	149.000	38.000	37.900	37.000	36.200	37.400	50.000	52.800	49.400	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	9.710	10.040	8.610	2.830	10.030	9.450	9.680	11.620	11.680	9.450	13.170	14.540	14.170	13.620	16633.200	6981.500	8593.900	9755.100	10723.900	11461.400	11414.800	11335.800	11669.500	11461.400	12020.700	12867.500	12074.300	11918.500	11249.800	16411.900	20686.500	24158.400	18313.300	21409.800	19785.500	21313.000	23145.800	19438.800	21646.000	21874.800	21191.900	22150.700	43.180	70.310	90.160	103.710	78.190	91.820	70.320	91.510	94.530	76.950	95.160	85.270	88.000	79.860	4.050	1.660	4.190	15.780	10.730	3.240	-2.920	2.680	-1.950	5.520	-0.670	-1.200	2.990	2.280	09/30/2018	01/18/2019
"ABCB"	"SmallCap 600"	"55  - Financials"	243.100	251.300	288.700	366.000	514.800	646.400	646.400	758.200	782.700	801.900	804.500	868.900	1371.900	1405.000	27.500	15.100	10.100	14.700	14.900	19.700	5.700	6.500	8.300	9.500	10.000	10.700	13.900	22.100	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	10.370	10.560	12.070	14.090	16.210	18.820	18.510	21.260	21.060	21.540	21.600	22.890	34.790	29.570	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	320.300	492.200	828.300	949.100	1375.200	2158.300	1971.900	1677.200	1812.300	1816.500	1816.900	2046.000	2116.300	2177.400	12.490	21.110	25.640	33.990	43.600	48.200	36.300	48.300	48.200	47.900	53.150	53.350	42.890	36.240	1.340	-0.820	0.610	-0.590	-1.380	-2.570	-0.390	0.240	-2.310	-0.840	0.760	1.140	-2.760	-0.970	09/30/2018	01/18/2019
"ABG"	"SmallCap 600"	"53  - Consumer Cyclicals"	326.600	402.800	490.600	444.900	314.500	279.700	279.700	298.200	318.100	347.300	394.200	424.300	450.500	481.000	10.100	12.000	12.500	12.400	16.100	19.300	4.900	5.300	6.100	5.800	5.600	6.600	8.000	8.400	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	10.270	12.950	15.980	14.880	11.960	12.430	12.950	14.200	15.290	16.860	18.950	20.600	22.190	24.050	519.500	648.500	767.700	886.000	917.200	894.900	894.900	969.100	930.400	843.500	826.000	912.800	967.400	962.800	1939.400	2734.500	3541.800	3555.500	3363.000	3226.000	3037.800	2993.600	2913.600	2859.900	2934.100	3052.900	3130.400	3064.500	32.030	53.740	75.920	67.440	61.700	64.000	50.950	65.150	56.550	61.400	65.850	68.550	65.100	72.630	-7.720	-3.430	-1.510	0.170	2.200	1.360	-0.410	4.660	0.950	6.000	0.840	1.560	-0.760	3.420	09/30/2018	01/18/2019
"ABM"	"SmallCap 600"	"52  - Industrials"	850.400	917.500	968.800	1007.500	974.000	1375.700	907.400	937.600	968.600	1375.700	1416.800	1436.600	1456.400	1454.600	10.000	12.900	10.700	10.200	10.400	19.200	3.200	3.000	2.800	10.100	14.300	13.800	12.900	13.100	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	15.750	16.710	17.270	17.770	17.300	23.840	16.200	16.740	17.270	21.910	21.500	21.770	22.030	21.910	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1248.500	1851.900	1890.400	1716.700	2514.100	3291.800	2525.200	2640.800	2720.200	3751.100	3618.000	3092.200	3041.700	2941.700	19.950	28.590	28.650	28.470	40.840	37.720	39.080	40.790	41.520	41.970	35.160	29.180	30.750	35.980	1.660	1.240	0.850	1.440	0.050	-1.560	-0.560	0.580	-0.830	-0.730	0.170	1.160	0.720	1.330	10/31/2018	01/18/2019
"ABMD"	"500"	"56  - Healthcare"	126.300	137.100	168.400	291.600	368.800	452.100	417.400	452.100	567.000	604.900	632.500	689.500	723.400	793.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	27.200	25.600	30.700	36.000	49.800	66.400	16.300	16.300	16.900	19.400	17.700	21.300	21.300	22.700	3.290	3.510	4.280	7.180	8.740	10.460	9.610	10.370	12.920	13.700	14.290	15.560	16.240	17.640	11.100	14.900	13.900	16.800	26.700	34.900	32.100	34.900	36.900	40.600	46.900	50.200	55.800	63.700	509.700	1036.400	1476.200	3645.900	4707.300	8080.500	4849.300	5433.100	6262.400	7413.600	8241.800	12855.700	18160.200	20144.800	13.440	26.740	38.060	90.280	112.680	187.410	104.990	117.970	143.300	192.920	268.180	409.050	341.200	333.740	0.050	0.570	0.500	0.890	1.360	1.450	0.460	0.240	0.580	0.770	0.660	0.970	0.680	1.050	09/30/2018	01/18/2019
"ABT"	"500"	"56  - Healthcare"	24439.800	26721.000	25171.000	21526.000	21211.000	20538.000	20538.000	31362.000	31602.000	32032.000	30897.000	31399.000	30577.000	30705.000	0.000	320.000	145.000	150.000	163.000	431.000	153.000	226.000	214.000	218.000	246.000	227.000	210.000	203.000	1512.000	5783.200	1371.000	1292.000	1371.000	1417.000	338.000	541.000	512.000	493.000	612.000	581.000	573.000	583.000	15.700	16.970	16.160	14.200	14.180	13.910	13.890	18.160	18.160	18.370	17.670	17.910	17.390	17.450	3284.200	3793.000	2693.000	2643.000	2599.000	2434.000	2434.000	3995.000	3603.000	3483.000	3601.000	3826.000	3714.000	3781.000	57484.500	71602.600	72818.200	71518.600	61137.400	87403.400	59917.400	92164.900	99148.900	106245.900	118480.400	123300.400	125012.400	145465.200	31.340	38.330	45.020	44.910	38.410	57.070	39.240	45.080	48.610	54.230	60.330	60.990	68.940	71.420	2.900	2.720	0.820	0.820	0.270	0.370	0.310	-0.090	0.360	0.730	0.480	0.190	0.260	0.750	09/30/2018	01/18/2019
"ACA"	"SmallCap 600"	"52  - Industrials"	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	1341.800	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	1372.400	1394.900	1403.100	0.000	0.000	0.000	0.000	0.400	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	27.520	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	263.700	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	204.200	232.700	234.700	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	24.000	29.810	-99999999.990	-99999999.990	-99999999.990	-99999999.990	4.190	2.930	-99999999.990	0.950	0.310	0.550	-0.180	1.680	-0.070	0.140	09/30/2018	01/18/2019
"ACC"	"MidCap 400"	"55  - Financials"	1375.200	2648.400	2624.900	2609.600	2770.200	3445.000	3445.000	3487.800	3554.000	3500.100	3485.000	3456.500	3614.100	3497.200	54.600	58.900	83.600	96.300	93.300	85.200	18.200	15.700	15.600	19.800	24.600	25.100	25.600	26.300	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	19.860	31.260	25.060	24.850	24.740	26.660	26.060	26.210	26.400	25.660	25.540	25.320	26.440	25.520	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4690.400	5014.400	7092.100	7349.800	8576.200	7466.100	8743.200	8575.600	8770.900	8898.900	8727.700	8501.900	8836.600	8812.400	46.130	32.210	41.360	41.340	49.770	41.030	52.110	51.100	47.300	41.580	36.480	42.880	39.510	43.410	-6.280	-16.590	-5.050	-3.230	-5.080	-3.900	0.060	0.080	0.030	0.380	0.100	0.350	-0.010	0.250	09/30/2018	01/18/2019
"ACHC"	"MidCap 400"	"56  - Healthcare"	96.400	432.600	480.700	881.000	1683.000	2167.700	2167.700	2235.900	2376.900	2487.600	2572.900	2701.600	2653.300	2680.200	9.200	29.800	37.300	48.200	106.700	181.300	46.000	42.800	43.500	44.500	45.200	45.200	45.800	46.700	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	5.140	11.240	9.610	16.000	24.720	25.290	25.010	25.770	27.330	28.590	29.550	31.010	30.390	30.690	-99999999.990	-99999999.990	-99999999.990	-99999999.990	4.700	4.600	4.600	4.700	4.900	4.700	4.800	4.800	4.700	5.000	654.400	2245.000	3673.200	4441.500	4491.300	6044.900	6117.500	7038.700	7507.200	7367.800	6035.600	6622.200	6742.000	6269.500	23.350	47.330	61.210	62.460	33.100	32.630	35.960	44.720	49.380	31.360	38.100	40.910	41.500	28.990	-6.060	-1.210	-0.230	-0.380	-0.910	0.150	1.130	0.630	1.270	0.840	1.380	0.780	1.610	0.780	09/30/2018	01/18/2019
