Date,TOTBUSSMNSA
2007-02-01,992297000000.00
2007-03-01,1147403000000.00
2007-04-01,1097282000000.00
2007-05-01,1180260000000.00
2007-06-01,1168094000000.00
2007-07-01,1104920000000.00
2007-08-01,1189734000000.00
2007-09-01,1118575000000.00
2007-10-01,1188692000000.00
2007-11-01,1162536000000.00
2007-12-01,1183406000000.00
2008-01-01,1102069000000.00
2008-02-01,1101336000000.00
2008-03-01,1190154000000.00
2008-04-01,1200214000000.00
2008-05-01,1248440000000.00
2008-06-01,1261888000000.00
2008-07-01,1230917000000.00
2008-08-01,1217705000000.00
2008-09-01,1177945000000.00
2008-10-01,1151293000000.00
2008-11-01,995875000000.00
2008-12-01,1050830000000.00
2009-01-01,904169000000.00
2009-02-01,888602000000.00
2009-03-01,981431000000.00
2009-04-01,958933000000.00
2009-05-01,973259000000.00
2009-06-01,1022271000000.00
2009-07-01,991381000000.00
2009-08-01,1012041000000.00
2009-09-01,1009141000000.00
2009-10-01,1029979000000.00
2009-11-01,1001333000000.00
2009-12-01,1093088000000.00
2010-01-01,951062000000.00
2010-02-01,949431000000.00
2010-03-01,1123147000000.00
2010-04-01,1091719000000.00
2010-05-01,1088264000000.00
2010-06-01,1123062000000.00
2010-07-01,1077804000000.00
2010-08-01,1118983000000.00
2010-09-01,1109883000000.00
2010-10-01,1116388000000.00
2010-11-01,1117840000000.00
2010-12-01,1199101000000.00
2011-01-01,1064238000000.00
2011-02-01,1058756000000.00
2011-03-01,1262255000000.00
2011-04-01,1200658000000.00
2011-05-01,1228496000000.00
2011-06-01,1255922000000.00
2011-07-01,1180494000000.00
2011-08-01,1270590000000.00
2011-09-01,1231223000000.00
2011-10-01,1226096000000.00
2011-11-01,1217572000000.00
2011-12-01,1283622000000.00
2012-01-01,1151724000000.00
2012-02-01,1188357000000.00
2012-03-01,1324537000000.00
2012-04-01,1259670000000.00
2012-05-01,1322352000000.00
2012-06-01,1277521000000.00
2012-07-01,1226635000000.00
2012-08-01,1316191000000.00
2012-09-01,1245759000000.00
2012-10-01,1309499000000.00
2012-11-01,1277636000000.00
2012-12-01,1307099000000.00
2013-01-01,1210651000000.00
2013-02-01,1187803000000.00
2013-03-01,1321702000000.00
2013-04-01,1295978000000.00
2013-05-01,1361129000000.00
2013-06-01,1306182000000.00
2013-07-01,1299216000000.00
2013-08-01,1345785000000.00
2013-09-01,1291513000000.00
2013-10-01,1355714000000.00
2013-11-01,1297391000000.00
2013-12-01,1365681000000.00
2014-01-01,1225643000000.00
2014-02-01,1201663000000.00
2014-03-01,1362901000000.00
2014-04-01,1356350000000.00
2014-05-01,1395535000000.00
2014-06-01,1376828000000.00
2014-07-01,1361471000000.00
2014-08-01,1371296000000.00
2014-09-01,1362914000000.00
2014-10-01,1390381000000.00
2014-11-01,1289457000000.00
2014-12-01,1396740000000.00
2015-01-01,1188094000000.00
2015-02-01,1163003000000.00
2015-03-01,1337016000000.00
2015-04-01,1308358000000.00
2015-05-01,1319937000000.00
2015-06-01,1361276000000.00
2015-07-01,1311701000000.00
2015-08-01,1308306000000.00
2015-09-01,1310909000000.00
2015-10-01,1319541000000.00
2015-11-01,1256449000000.00
2015-12-01,1352859000000.00
2016-01-01,1132223000000.00
2016-02-01,1178269000000.00
2016-03-01,1328368000000.00
2016-04-01,1259062000000.00
2016-05-01,1303839000000.00
2016-06-01,1345516000000.00
2016-07-01,1245032000000.00
2016-08-01,1339878000000.00
2016-09-01,1311469000000.00
2016-10-01,1300790000000.00
2016-11-01,1299680000000.00
2016-12-01,1395387000000.00
2017-01-01,1213297000000.00
2017-02-01,1200889000000.00
2017-03-01,1397744000000.00
2017-04-01,1297438000000.00
2017-05-01,1391369000000.00
2017-06-01,1397604000000.00
2017-07-01,1297960000000.00
2017-08-01,1411259000000.00
2017-09-01,1368499000000.00
2017-10-01,1403088000000.00
2017-11-01,1404195000000.00
2017-12-01,1453198000000.00
2018-01-01,1302435000000.00
2018-02-01,1270316000000.00
2018-03-01,1468894000000.00
2018-04-01,1395436000000.00
2018-05-01,1512723000000.00
2018-06-01,1484738000000.00
2018-07-01,1421036000000.00
2018-08-01,1516306000000.00
2018-09-01,1427564000000.00
2018-10-01,1511556000000.00
2018-11-01,1461150000000.00
2018-12-01,1479868000000.00
2019-01-01,1341123000000.00
2019-02-01,1299943000000.00
