Date,TOTBUSSMNSA
1992-01-01,478951000000.00
1992-02-01,496844000000.00
1992-03-01,542833000000.00
1992-04-01,533768000000.00
1992-05-01,537400000000.00
1992-06-01,565572000000.00
1992-07-01,526186000000.00
1992-08-01,539854000000.00
1992-09-01,560404000000.00
1992-10-01,566566000000.00
1992-11-01,545761000000.00
1992-12-01,588252000000.00
1993-01-01,501102000000.00
1993-02-01,519670000000.00
1993-03-01,577660000000.00
1993-04-01,562473000000.00
1993-05-01,568082000000.00
1993-06-01,592054000000.00
1993-07-01,541465000000.00
1993-08-01,571966000000.00
1993-09-01,587293000000.00
1993-10-01,587643000000.00
1993-11-01,582479000000.00
1993-12-01,614453000000.00
1994-01-01,523199000000.00
1994-02-01,548442000000.00
1994-03-01,622218000000.00
1994-04-01,589743000000.00
1994-05-01,606190000000.00
1994-06-01,634299000000.00
1994-07-01,570383000000.00
1994-08-01,637290000000.00
1994-09-01,638551000000.00
1994-10-01,637472000000.00
1994-11-01,636597000000.00
1994-12-01,673862000000.00
1995-01-01,583576000000.00
1995-02-01,602657000000.00
1995-03-01,671889000000.00
1995-04-01,629789000000.00
1995-05-01,665344000000.00
1995-06-01,688374000000.00
1995-07-01,610456000000.00
1995-08-01,678051000000.00
1995-09-01,677370000000.00
1995-10-01,678823000000.00
1995-11-01,671241000000.00
1995-12-01,698703000000.00
1996-01-01,608890000000.00
1996-02-01,640408000000.00
1996-03-01,687749000000.00
1996-04-01,676459000000.00
1996-05-01,705129000000.00
1996-06-01,701473000000.00
1996-07-01,661061000000.00
1996-08-01,704489000000.00
1996-09-01,703818000000.00
1996-10-01,724199000000.00
1996-11-01,700035000000.00
1996-12-01,729370000000.00
1997-01-01,648926000000.00
1997-02-01,670542000000.00
1997-03-01,733003000000.00
1997-04-01,714436000000.00
1997-05-01,728181000000.00
1997-06-01,746888000000.00
1997-07-01,699834000000.00
1997-08-01,728842000000.00
1997-09-01,755266000000.00
1997-10-01,760523000000.00
1997-11-01,718354000000.00
1997-12-01,776516000000.00
1998-01-01,665199000000.00
1998-02-01,691649000000.00
1998-03-01,766470000000.00
1998-04-01,739466000000.00
1998-05-01,743025000000.00
1998-06-01,776742000000.00
1998-07-01,710372000000.00
1998-08-01,738979000000.00
1998-09-01,765522000000.00
1998-10-01,769652000000.00
1998-11-01,740557000000.00
1998-12-01,801062000000.00
1999-01-01,674466000000.00
1999-02-01,713828000000.00
1999-03-01,808436000000.00
1999-04-01,767844000000.00
1999-05-01,782025000000.00
1999-06-01,823830000000.00
1999-07-01,752260000000.00
1999-08-01,807053000000.00
1999-09-01,819724000000.00
1999-10-01,808320000000.00
1999-11-01,808880000000.00
1999-12-01,867470000000.00
2000-01-01,736418000000.00
2000-02-01,788463000000.00
2000-03-01,877235000000.00
2000-04-01,805781000000.00
2000-05-01,857443000000.00
2000-06-01,885803000000.00
2000-07-01,785590000000.00
2000-08-01,859519000000.00
2000-09-01,857579000000.00
2000-10-01,850389000000.00
2000-11-01,832885000000.00
2000-12-01,869309000000.00
2001-01-01,770101000000.00
2001-02-01,774650000000.00
2001-03-01,861015000000.00
2001-04-01,802263000000.00
2001-05-01,859272000000.00
2001-06-01,847650000000.00
2001-07-01,778233000000.00
2001-08-01,849942000000.00
2001-09-01,794715000000.00
2001-10-01,840896000000.00
2001-11-01,806627000000.00
2001-12-01,832555000000.00
2002-01-01,744727000000.00
2002-02-01,745345000000.00
2002-03-01,829099000000.00
2002-04-01,820175000000.00
2002-05-01,854262000000.00
2002-06-01,837932000000.00
2002-07-01,809140000000.00
2002-08-01,860703000000.00
2002-09-01,829824000000.00
2002-10-01,859516000000.00
2002-11-01,823197000000.00
2002-12-01,864883000000.00
2003-01-01,782576000000.00
2003-02-01,774935000000.00
2003-03-01,868823000000.00
2003-04-01,836394000000.00
2003-05-01,860695000000.00
2003-06-01,870860000000.00
2003-07-01,843766000000.00
2003-08-01,868323000000.00
2003-09-01,878500000000.00
2003-10-01,900758000000.00
2003-11-01,841965000000.00
2003-12-01,928806000000.00
2004-01-01,806952000000.00
2004-02-01,829190000000.00
2004-03-01,960775000000.00
2004-04-01,912194000000.00
2004-05-01,921875000000.00
2004-06-01,956686000000.00
2004-07-01,900073000000.00
2004-08-01,951366000000.00
2004-09-01,950275000000.00
2004-10-01,951949000000.00
2004-11-01,948465000000.00
2004-12-01,1022229000000.00
2005-01-01,877196000000.00
2005-02-01,893159000000.00
2005-03-01,1031375000000.00
2005-04-01,984751000000.00
2005-05-01,1008702000000.00
2005-06-01,1046772000000.00
2005-07-01,969379000000.00
2005-08-01,1060651000000.00
2005-09-01,1044233000000.00
2005-10-01,1037682000000.00
2005-11-01,1024483000000.00
2005-12-01,1091473000000.00
2006-01-01,965506000000.00
2006-02-01,959851000000.00
2006-03-01,1115019000000.00
2006-04-01,1031250000000.00
2006-05-01,1118661000000.00
2006-06-01,1130766000000.00
2006-07-01,1038883000000.00
2006-08-01,1138855000000.00
2006-09-01,1069221000000.00
2006-10-01,1080005000000.00
2006-11-01,1060801000000.00
2006-12-01,1119564000000.00
2007-01-01,1004913000000.00
