"AEL"	58.507	59.482	61.259	65.544	74.431	78.937	77.237	79.676	81.764	82.129	82.517	86.262	88.236	88.647	1285.600	1139.800	1588.600	2643.200	2181.500	1518.900	441.100	127.000	541.900	417.600	549.800	630.100	622.800	927.300	42.900	86.200	57.800	253.300	126.000	219.800	82.800	97.300	33.800	-44.800	14.700	-7.400	120.800	53.900	420.500	277.800	784.300	862.700	707.800	504.800	405.700	-194.400	433.700	141.600	280.800	522.100	469.800	497.900	599.300	566.200	555.700	796.000	667.900	634.700	668.500	646.400	634.700	635.000	635.400	735.200	735.600	736.000	"0709 - Insurance (Life)"	"N - New York"	"SmallCap 600"
"AF"	91.777	93.254	95.455	97.122	98.384	99.613	99.621	99.701	99.828	100.369	100.381	100.384	100.422	100.586	855.300	695.200	600.500	518.400	492.400	473.400	239.400	117.400	116.600	115.000	113.700	114.300	111.800	109.700	72.000	65.500	52.600	58.700	86.200	78.600	45.900	16.500	16.100	16.200	16.000	16.300	13.600	12.100	265.400	227.700	187.400	232.700	134.100	107.200	48.500	44.400	14.300	27.400	17.700	40.000	19.900	31.000	378.200	378.600	376.500	248.200	4187.700	249.200	249.000	249.100	249.200	249.400	249.500	249.600	3634.800	249.900	"0727 - Regional Banks"	"N - New York"	"SmallCap 600"
"AFG"	109.200	101.300	94.200	89.300	89.000	87.600	87.600	87.500	87.600	86.900	86.800	86.900	87.200	87.200	4303.000	4643.000	4957.000	5115.000	5769.000	6270.000	1576.000	1722.000	1682.000	1526.000	1620.000	1721.000	1746.000	1582.000	750.000	342.000	488.000	471.000	452.000	352.000	141.000	63.000	129.000	101.000	54.000	109.000	385.000	153.000	864.000	667.000	817.000	760.000	1231.000	1353.000	179.000	331.000	1803.000	335.000	91.000	247.000	477.000	-76.000	952.000	934.000	953.000	913.000	1061.000	998.000	1024.000	880.000	998.000	998.000	998.000	1300.000	1283.000	1283.000	"0715 - Insurance (Property & Casualty)"	"N - New York"	"MidCap 400"
"AFH"	6.119	6.125	6.144	8.008	10.937	11.976	12.009	12.009	12.033	12.046	12.046	12.046	12.046	12.046	58.400	43.400	42.800	74.000	101.600	156.900	39.700	43.100	43.200	42.700	43.200	45.300	46.300	49.800	-21.800	-3.300	2.400	7.400	17.600	14.200	3.900	3.900	4.300	4.700	4.800	6.400	-13.600	4.900	-52.500	-47.200	-20.700	-5.900	13.700	8.500	1.900	9.800	-2.200	2.200	-0.100	-5.400	3.500	1.600	0.000	0.000	0.000	0.000	0.000	17.200	18.000	17.500	17.200	17.600	17.700	19.200	19.200	19.200	"0715 - Insurance (Property & Casualty)"	"M - Nasdaq"	"None"
"AFL"	469.038	466.519	466.868	464.502	451.204	430.654	431.672	428.735	424.996	418.748	411.853	408.519	406.815	401.130	21191.000	24072.000	26341.000	24138.000	22759.000	21025.000	5287.000	5177.000	5329.000	5465.000	5470.000	5738.000	5969.000	5319.000	2328.000	1937.000	2866.000	3158.000	2951.000	2533.000	573.000	567.000	730.000	731.000	548.000	629.000	751.000	592.000	6989.000	10842.000	14952.000	10547.000	6550.000	6776.000	1643.000	1667.000	2006.000	1331.000	1523.000	1266.000	1867.000	1757.000	3038.000	3285.000	4352.000	4897.000	5282.000	4971.000	5425.000	5009.000	4971.000	4984.000	5009.000	5765.000	5360.000	5250.000	"0706 - Insurance (Accident & Health)"	"N - New York"	"500"
"AFSI"	144.170	145.370	146.538	148.326	149.866	165.042	164.610	165.182	168.054	175.585	171.160	170.928	170.697	170.864	1002.500	1203.800	1668.200	2700.800	4028.300	4632.900	2225.300	1237.300	1170.300	1260.500	1402.800	1420.500	1383.000	1432.000	142.400	170.300	177.300	277.800	401.800	418.800	224.800	182.200	11.700	84.000	134.800	103.600	24.500	22.600	26.400	296.000	531.500	972.200	1125.900	1011.300	348.700	663.100	990.200	1390.600	-771.800	221.200	76.800	249.100	130.400	262.200	302.000	560.200	757.900	993.100	927.600	1010.300	993.100	993.000	1229.600	1235.300	1234.900	1306.700	"0715 - Insurance (Property & Casualty)"	"M - Nasdaq"	"None"
"AGM"	10.229	10.335	10.479	10.816	10.920	10.949	11.010	11.028	10.820	10.465	10.456	10.473	10.516	10.551	238.700	274.700	264.700	246.700	241.100	264.800	66.400	66.900	67.600	73.900	77.200	79.500	81.200	91.000	22.100	13.800	43.900	71.800	38.300	47.400	22.200	8.400	15.000	10.300	12.000	16.400	25.500	18.600	-538.800	26.800	33.300	314.000	155.100	184.400	24.300	52.100	18.900	105.300	-68.200	81.700	89.700	102.600	4258.100	4806.500	5202.400	5262.900	5895.400	5680.600	6529.200	5830.300	5680.600	6081.100	5650.900	5864.900	6365.700	7513.500	"0703 - Consumer Financial Services"	"N - New York"	"None"
"AI"	7.734	7.720	10.205	15.990	20.043	23.002	22.979	23.021	23.035	22.994	23.003	23.038	23.171	23.652	42.900	33.400	69.100	40.600	85.700	5.300	20.700	-99999999.990	35.700	-99999999.990	19.000	46.400	-99999999.990	28.600	26.600	15.200	183.900	52.800	7.800	-69.400	6.600	-52.600	18.800	-31.600	12.900	18.800	-41.400	5.300	13.300	27.300	25.700	61.400	69.500	110.900	69.900	71.000	59.400	21.200	22.400	20.700	24.300	15.900	15.000	15.000	15.000	40.000	40.000	73.400	75.300	75.300	73.400	73.500	73.500	73.600	73.700	73.700	"0718 - Investment Services"	"N - New York"	"None"
"AIG"	136.586	1799.386	1687.197	1474.172	1427.960	1299.825	1329.157	1279.073	1266.533	1156.549	1113.588	1071.296	1023.388	980.777	75353.000	66153.000	72043.000	69061.000	64623.000	58918.000	15851.000	13064.000	13931.000	11981.000	14818.000	12926.000	13129.000	12692.000	15475.000	17343.000	3437.000	9001.000	7579.000	2196.000	1784.000	-214.000	-1841.000	-136.000	1923.000	459.000	-3005.000	1185.000	16292.000	365.000	3613.000	5841.000	5095.000	2877.000	105.000	1741.000	643.000	-968.000	1539.000	1182.000	630.000	-10307.000	85476.000	75253.000	48500.000	41693.000	31217.000	29249.000	30360.000	30719.000	29249.000	31952.000	33329.000	32277.000	30912.000	30747.000	"0715 - Insurance (Property & Casualty)"	"N - New York"	"500"
"AINC"	1.983	1.983	1.983	1.983	1.981	1.991	1.985	1.991	2.006	2.008	2.011	2.014	2.015	2.015	0.000	0.000	0.000	1.000	17.300	59.000	14.500	14.500	16.900	13.400	18.200	16.500	19.500	13.000	-25.500	-32.800	-38.200	-47.700	-46.400	-1.200	3.900	0.100	2.700	-1.700	-1.100	-0.300	0.700	-2.400	-99999999.990	-20.800	-19.700	-22.400	-25.100	22.500	-0.800	4.300	25.600	147.700	-70.400	-2.900	6.400	10.600	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	"0718 - Investment Services"	"A - American"	"None"
