Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,444.67,446.48,431.43,438.13,438.13,         0
2000-01-04,438.13,438.13,421.47,422.54,422.54,         0
2000-01-05,422.54,427.75,415.98,426.37,426.37,         0
2000-01-06,426.37,428.49,422.13,424.45,424.45,         0
2000-01-07,424.45,436.81,423.21,436.74,436.74,         0
2000-01-10,436.74,450.25,436.74,448.08,448.08,         0
2000-01-11,448.08,448.08,436.91,436.91,436.91,         0
2000-01-12,436.91,437.82,431.86,432.67,432.67,         0
2000-01-13,432.67,443.68,432.67,443.52,443.52,         0
2000-01-14,443.52,451.69,443.52,448.44,448.44,         0
2000-01-18,448.47,450.46,446.16,449.94,449.94,         0
2000-01-19,449.94,453.22,448.05,451.98,451.98,         0
2000-01-20,451.98,454.23,448.34,452.16,452.16,         0
2000-01-21,452.16,454.58,449.96,452.87,452.87,         0
2000-01-24,452.87,458.32,441.43,441.45,441.45,         0
2000-01-25,441.45,444.19,434.89,442.50,442.50,         0
2000-01-26,442.50,447.12,441.76,441.81,441.81,         0
2000-01-27,441.81,447.67,435.43,439.34,439.34,         0
2000-01-28,439.34,440.95,427.57,430.19,430.19,         0
2000-01-31,430.19,431.94,422.48,431.79,431.79,         0
2000-02-01,431.79,437.63,429.46,437.63,437.63,         0
2000-02-02,437.63,443.38,437.63,441.01,441.01,         0
2000-02-03,441.01,447.52,439.36,447.05,447.05,         0
2000-02-04,447.05,449.89,444.12,445.16,445.16,         0
2000-02-07,445.16,447.05,443.62,447.04,447.04,         0
2000-02-08,447.04,452.67,447.04,452.65,452.65,         0
2000-02-09,452.65,453.16,444.27,444.34,444.34,         0
2000-02-10,444.34,450.43,444.34,450.43,450.43,         0
2000-02-11,450.43,451.64,441.70,443.39,443.39,         0
2000-02-14,443.39,446.46,440.15,443.48,443.48,         0
2000-02-15,443.48,446.20,437.54,444.72,444.72,         0
2000-02-16,444.72,448.93,444.72,445.40,445.40,         0
2000-02-17,445.40,452.59,445.40,450.95,450.95,         0
2000-02-18,450.95,451.83,437.79,439.08,439.08,         0
2000-02-22,439.08,440.88,431.32,437.65,437.65,         0
2000-02-23,437.65,447.00,437.65,445.85,445.85,         0
2000-02-24,445.85,451.55,442.14,450.34,450.34,         0
2000-02-25,450.34,454.00,446.51,446.96,446.96,         0
2000-02-28,446.96,450.42,438.44,448.56,448.56,         0
2000-02-29,448.56,461.79,448.56,461.48,461.48,         0
2000-03-01,461.48,469.91,461.48,468.71,468.71,         0
2000-03-02,468.71,471.65,464.29,465.75,465.75,         0
2000-03-03,465.75,479.26,465.75,479.18,479.18,         0
2000-03-06,479.18,484.36,476.74,478.96,478.96,         0
2000-03-07,478.96,484.63,473.65,476.60,476.60,         0
2000-03-08,476.60,480.29,464.89,473.08,473.08,         0
2000-03-09,473.08,482.32,471.80,482.32,482.32,         0
2000-03-10,482.32,490.53,482.32,483.97,483.97,         0
2000-03-13,483.97,483.97,468.68,470.63,470.63,         0
2000-03-14,470.63,479.22,458.03,458.54,458.54,         0
2000-03-15,458.54,461.26,452.92,458.12,458.12,         0
2000-03-16,458.12,486.30,458.12,486.30,486.30,         0
2000-03-17,486.30,487.42,479.58,486.99,486.99,         0
2000-03-20,486.99,489.55,474.45,474.76,474.76,         0
2000-03-21,474.76,482.64,465.73,482.61,482.61,         0
2000-03-22,482.61,495.72,482.61,494.33,494.33,         0
2000-03-23,494.33,499.57,491.70,496.78,496.78,         0
2000-03-24,496.78,505.63,493.53,498.15,498.15,         0
2000-03-27,498.15,502.42,496.12,496.55,496.55,         0
2000-03-28,496.55,498.58,489.59,489.69,489.69,         0
2000-03-29,489.69,491.25,478.56,480.36,480.36,         0
2000-03-30,480.36,491.29,474.67,478.75,478.75,         0
2000-03-31,478.75,500.00,478.75,499.69,499.69,         0
2000-04-03,499.69,499.69,478.88,480.45,480.45,         0
2000-04-04,480.45,484.24,442.03,471.89,471.89,         0
2000-04-05,471.89,483.96,465.21,475.81,475.81,         0
2000-04-06,475.81,486.45,475.81,485.07,485.07,         0
2000-04-07,485.07,491.81,485.07,491.79,491.79,         0
2000-04-10,491.79,492.59,475.52,475.52,475.52,         0
2000-04-11,475.52,481.53,466.12,475.04,475.04,         0
2000-04-12,475.04,478.52,466.16,466.26,466.26,         0
2000-04-13,466.26,475.06,463.31,463.73,463.73,         0
2000-04-14,463.73,463.73,428.31,430.94,430.94,         0
2000-04-17,430.94,446.72,425.65,446.66,446.66,         0
2000-04-18,446.66,462.72,444.99,462.69,462.69,         0
2000-04-19,462.69,466.68,458.82,461.06,461.06,         0
2000-04-20,461.06,462.77,456.39,460.85,460.85,         0
2000-04-24,460.85,460.85,448.95,454.84,454.84,         0
2000-04-25,454.84,473.31,454.84,473.25,473.25,         0
2000-04-26,473.25,477.26,469.58,469.73,469.73,         0
2000-04-27,469.73,475.83,462.32,475.76,475.76,         0
2000-04-28,475.76,481.95,475.65,481.85,481.85,         0
2000-05-01,481.85,490.70,481.85,488.44,488.44,         0
2000-05-02,488.44,488.44,475.72,475.83,475.83,         0
2000-05-03,475.83,475.83,460.07,465.76,465.76,         0
2000-05-04,465.76,479.92,465.76,479.92,479.92,         0
2000-05-05,479.92,485.85,478.24,485.51,485.51,         0
2000-05-08,485.51,486.53,481.28,481.81,481.81,         0
2000-05-09,481.81,483.74,473.91,478.28,478.28,         0
2000-05-10,478.28,478.28,462.72,464.52,464.52,         0
2000-05-11,464.52,475.24,464.52,475.24,475.24,         0
2000-05-12,475.24,482.93,475.24,477.77,477.77,         0
2000-05-15,477.77,482.86,473.04,482.79,482.79,         0
2000-05-16,482.79,490.58,482.78,489.22,489.22,         0
2000-05-17,489.22,489.23,481.22,485.12,485.12,         0
2000-05-18,485.12,487.38,479.39,479.40,479.40,         0
2000-05-19,479.40,479.40,468.32,469.62,469.62,         0
2000-05-22,469.62,470.05,454.73,463.14,463.14,         0
2000-05-23,463.14,467.58,455.36,455.36,455.36,         0
2000-05-24,455.36,461.96,447.40,461.49,461.49,         0
2000-05-25,461.49,468.50,457.96,458.01,458.01,         0
2000-05-26,458.01,462.08,455.98,458.04,458.04,         0
2000-05-30,458.04,474.53,458.04,474.53,474.53,         0
2000-05-31,474.53,480.08,473.38,475.17,475.17,         0
2000-06-01,475.17,489.63,475.17,489.62,489.62,         0
2000-06-02,489.62,504.66,489.62,502.22,502.22,         0
2000-06-05,502.22,505.18,494.78,496.55,496.55,         0
2000-06-06,496.55,501.15,493.79,494.09,494.09,         0
2000-06-07,494.09,495.82,489.08,495.79,495.79,         0
2000-06-08,495.79,497.75,490.48,491.22,491.22,         0
2000-06-09,491.22,497.91,491.22,495.27,495.27,         0
2000-06-12,495.27,496.63,486.27,487.09,487.09,         0
2000-06-13,487.09,492.18,484.31,492.18,492.18,         0
2000-06-14,492.18,496.06,489.55,489.68,489.68,         0
