"AEE",497.000,387.000,392.000,398.000,341.000,355.000,88.000,89.000,87.000,91.000,95.000,95.000,97.000,95.000,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,32.370,32.790,27.270,26.970,27.670,28.630,27.630,27.880,28.910,28.630,28.310,28.530,29.650,29.280
"AEP",999.000,835.000,895.000,817.300,765.100,742.000,185.100,188.000,180.000,185.300,196.100,199.700,182.900,200.600,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,28.420,30.410,31.440,33.050,34.430,36.490,35.540,36.070,36.450,36.910,37.410,35.230,35.380,35.970
"AES",1449.000,3069.000,3108.000,1523.000,2920.000,2777.000,343.000,287.000,365.000,721.000,342.000,732.000,354.000,345.000,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,8.420,7.640,6.050,5.830,5.930,4.580,5.760,5.560,5.250,4.690,4.850,4.190,4.370,4.230
"AET",254.600,246.900,268.800,333.700,329.300,363.600,80.200,78.300,96.400,109.900,101.800,123.700,189.200,189.300,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,23.790,27.170,30.600,39.460,40.740,46.130,43.070,44.140,45.440,46.090,47.890,50.430,52.030,50.810
"AFL",149.000,196.000,261.000,293.000,317.000,289.000,74.000,67.000,65.000,65.000,66.000,65.000,72.000,0.000,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,23.570,27.750,34.220,31.470,40.660,41.120,39.420,40.250,41.670,47.810,54.750,55.770,49.210,50.710
"AGN",84.100,69.000,111.600,239.800,411.800,1193.300,171.900,339.900,340.200,341.300,332.800,345.800,324.300,292.700,286.600,306.600,401.200,191.300,1030.000,2870.100,317.700,547.300,1560.500,444.600,409.100,905.400,664.800,1340.300,26.810,28.620,30.480,66.990,128.950,194.840,181.160,171.010,184.310,181.650,183.410,181.280,215.930,199.950
"AIG",6742.000,2444.000,2319.000,2142.000,1718.000,1281.000,340.000,316.000,321.000,304.000,306.000,320.000,329.000,305.000,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,97.640,56.430,58.090,68.150,74.860,68.980,79.050,78.440,77.400,70.790,76.540,80.770,82.760,74.560
"AIV",276.500,272.300,229.400,237.000,221.000,188.000,49.600,48.300,48.300,47.600,48.900,49.400,50.500,47.900,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,3.340,-3.400,5.790,6.190,7.150,9.430,9.450,9.270,9.400,9.270,10.310,9.980,10.690,10.000
"AIZ",60.600,60.400,60.300,77.700,58.400,55.100,13.800,13.800,13.800,13.800,14.500,15.200,14.000,13.900,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,43.210,50.440,61.530,63.060,71.780,66.370,73.500,70.420,69.250,67.810,70.130,74.030,74.760,71.300
"AJG",34.600,40.800,43.000,50.100,89.000,103.000,26.000,25.600,25.800,25.800,27.200,28.500,28.300,29.900,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,10.560,11.140,13.710,16.180,21.120,21.130,21.330,20.750,20.590,20.320,20.290,20.760,20.180,20.470
"AKAM",1.700,0.000,0.000,0.000,13.900,16.700,0.200,0.200,0.300,17.300,4.700,4.600,4.700,4.700,54.800,104.700,149.500,93.900,125.300,148.600,35.800,36.700,38.400,37.700,40.800,37.700,42.300,46.800,12.280,11.730,13.190,14.760,16.520,17.490,16.700,17.040,17.280,17.550,17.650,17.950,18.170,18.600
"ALB",25.500,37.600,32.800,31.600,41.400,81.700,22.300,20.600,19.300,19.500,15.100,15.800,15.900,18.300,58.400,77.100,78.900,82.200,88.300,89.200,23.500,21.900,21.900,21.900,19.900,20.500,21.000,19.100,15.490,17.580,20.560,19.410,17.280,29.270,27.970,28.340,28.030,29.000,31.520,28.100,29.340,33.740
"ALK",102.100,74.800,46.000,35.000,28.000,8.000,3.000,1.000,1.000,5.000,2.000,5.000,18.000,21.000,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,7.710,8.180,10.050,14.500,15.700,18.780,17.170,18.580,19.170,19.710,21.310,23.260,23.770,24.410
"ALL",367.000,367.000,373.000,367.000,322.000,292.000,73.000,73.000,73.000,73.000,73.000,72.000,73.000,77.000,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,-99999999.990,35.200,35.140,42.050,44.570,42.930,45.570,49.140,48.040,47.250,47.490,49.180,50.340,51.650,51.160
