"ADM"	"05  - Consumer Non-Cyclical"	482.000	441.000	213.000	413.000	337.000	308.000	85.000	69.000	73.000	140.000	65.000	78.000	80.000	81.000	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	29.300	27.020	28.670	30.490	29.980	28.960	29.720	29.190	29.830	30.080	29.870	29.930	29.660	29.720	30.080	28.600	27.390	43.400	52.000	36.680	48.880	44.990	36.680	39.940	43.760	45.650	45.750	41.480	03/31/2017
"ADP"	"09  - Services"	8.600	8.600	7.700	9.100	6.100	6.500	1.600	4.900	16.800	16.300	18.100	19.900	20.500	16.800	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	10.950	12.180	12.550	12.820	13.930	10.170	10.340	10.010	9.190	9.910	9.880	9.400	8.520	9.190	40.600	47.381	49.943	70.882	83.370	84.720	84.540	77.320	84.720	88.440	89.810	102.780	104.490	101.350	03/31/2017
"ADS"	"07  - Financial"	318.300	298.600	291.500	305.500	260.500	330.200	80.700	82.100	89.400	98.800	103.700	108.300	117.700	125.200	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	0.440	3.470	10.570	17.400	42.510	32.490	31.640	31.710	32.920	29.120	29.420	30.600	28.890	24.180	71.030	103.840	144.760	262.930	286.050	276.570	297.310	257.190	276.570	203.310	204.580	228.500	249.630	264.140	03/31/2017
"ADSK"	"10  - Technology"	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	496.200	1133.000	1200.000	611.100	725.200	790.000	193.100	197.900	204.500	193.500	193.000	192.600	187.000	187.700	7.070	8.270	9.020	10.100	9.770	7.170	8.380	7.690	7.210	6.400	5.970	4.770	3.300	2.310	38.200	30.330	35.350	50.319	60.060	60.930	56.830	46.750	60.930	59.820	67.400	74.010	90.070	108.740	04/30/2017
"AEE"	"12  - Utilities"	497.000	387.000	392.000	398.000	341.000	355.000	89.000	87.000	91.000	95.000	95.000	97.000	95.000	99.000	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	32.370	32.790	27.270	26.970	27.670	28.630	27.880	28.910	28.630	28.310	28.530	29.650	29.280	29.120	28.190	33.130	30.720	36.160	46.130	43.230	40.940	40.290	43.230	48.000	49.420	52.460	54.690	54.430	03/31/2017
"AEP"	"12  - Utilities"	999.000	835.000	895.000	817.300	765.100	742.000	185.100	188.000	180.000	185.300	196.100	199.700	182.900	200.600	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	28.420	30.410	31.440	33.050	34.430	36.490	35.540	36.070	36.450	36.910	37.410	35.230	35.380	35.970	35.980	41.310	42.680	46.740	60.720	58.270	56.870	54.290	58.270	63.500	64.570	62.960	67.830	68.170	03/31/2017
"AES"	"12  - Utilities"	1449.000	3069.000	3108.000	1523.000	2920.000	2777.000	287.000	365.000	721.000	342.000	732.000	354.000	345.000	348.000	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	8.420	7.640	6.050	5.830	5.930	4.580	5.560	5.250	4.690	4.840	4.190	4.370	4.230	4.540	12.180	11.840	10.700	14.510	13.770	9.570	13.250	12.000	9.570	11.160	12.070	11.620	11.310	11.030	03/31/2017
"AET"	"08  - Health Care"	254.600	246.900	268.800	333.700	329.300	363.600	78.300	96.400	109.900	102.000	123.700	189.200	189.300	173.000	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	23.790	27.170	30.600	39.460	40.740	46.130	44.140	45.440	46.090	47.940	50.430	52.030	50.810	41.480	30.510	42.190	46.310	68.590	88.830	108.120	106.870	114.520	108.120	112.270	117.120	124.010	135.070	155.270	03/31/2017
"AFL"	"07  - Financial"	149.000	196.000	261.000	293.000	317.000	289.000	74.000	67.000	65.000	65.000	66.000	65.000	72.000	62.000	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	23.570	27.750	34.220	31.470	40.660	41.120	39.420	40.250	41.670	47.810	54.750	55.770	50.350	50.710	56.430	43.260	53.120	66.800	61.090	59.900	63.040	58.600	59.900	68.970	74.180	69.600	74.880	77.870	03/31/2017
"AGN"	"08  - Health Care"	84.100	69.000	111.600	239.800	411.800	1193.300	339.900	340.200	341.300	332.800	345.800	324.300	292.700	289.700	286.600	306.600	401.200	191.300	1030.000	2870.100	547.300	1560.500	444.600	409.100	905.400	664.800	1340.300	1099.900	26.810	28.620	30.480	66.990	128.950	194.840	171.010	184.310	181.650	183.690	181.280	215.930	199.950	209.660	51.650	60.340	86.000	168.000	257.410	312.500	282.860	303.740	312.500	216.560	234.540	210.010	243.860	245.850	03/31/2017
