Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,197.79,198.96,191.74,194.31,194.31,         0
2000-01-04,194.31,194.31,187.32,187.39,187.39,         0
2000-01-05,187.39,188.19,184.37,188.18,188.18,         0
2000-01-06,188.18,188.29,186.48,187.02,187.02,         0
2000-01-07,187.02,191.87,187.02,191.87,191.87,         0
2000-01-10,191.87,195.62,191.87,195.62,195.62,         0
2000-01-11,195.62,195.72,192.89,192.96,192.96,         0
2000-01-12,192.96,193.54,191.13,192.00,192.00,         0
2000-01-13,192.00,197.73,192.00,197.70,197.70,         0
2000-01-14,197.70,200.70,197.70,200.50,200.50,         0
2000-01-18,200.50,201.78,199.61,201.66,201.66,         0
2000-01-19,201.66,203.39,201.11,203.39,203.39,         0
2000-01-20,203.39,205.83,203.39,205.12,205.12,         0
2000-01-21,205.12,207.17,204.03,207.16,207.16,         0
2000-01-24,207.16,209.30,203.29,203.29,203.29,         0
2000-01-25,203.29,203.99,199.13,201.96,201.96,         0
2000-01-26,201.96,203.02,200.93,201.18,201.18,         0
2000-01-27,201.18,202.95,198.41,199.47,199.47,         0
2000-01-28,199.47,199.47,193.94,194.68,194.68,         0
2000-01-31,194.68,194.72,189.68,191.58,191.58,         0
2000-02-01,191.58,194.94,190.51,194.94,194.94,         0
2000-02-02,194.94,196.86,194.61,196.35,196.35,         0
2000-02-03,196.35,199.97,196.35,199.96,199.96,         0
2000-02-04,199.96,201.78,199.96,201.15,201.15,         0
2000-02-07,201.15,202.38,201.15,202.16,202.16,         0
2000-02-08,202.16,204.28,202.16,203.76,203.76,         0
2000-02-09,203.76,204.68,202.47,202.56,202.56,         0
2000-02-10,202.56,204.23,202.55,204.23,204.23,         0
2000-02-11,204.23,205.06,201.60,202.25,202.25,         0
2000-02-14,202.25,203.45,201.07,203.37,203.37,         0
2000-02-15,203.37,203.73,201.51,203.73,203.73,         0
2000-02-16,203.73,206.28,203.73,206.08,206.08,         0
2000-02-17,206.08,214.33,206.08,209.87,209.87,         0
2000-02-18,209.87,210.32,204.34,204.70,204.70,         0
2000-02-22,204.70,205.63,200.84,203.75,203.75,         0
2000-02-23,203.75,207.62,203.75,207.48,207.48,         0
2000-02-24,207.48,209.40,206.32,208.40,208.40,         0
2000-02-25,208.40,210.89,208.40,209.42,209.42,         0
2000-02-28,209.42,211.98,206.84,210.43,210.43,         0
2000-02-29,210.43,217.23,210.43,217.09,217.09,         0
2000-03-01,217.09,220.45,217.09,219.57,219.57,         0
2000-03-02,219.57,221.06,216.94,217.93,217.93,         0
2000-03-03,217.93,223.58,217.93,223.58,223.58,         0
2000-03-06,223.58,224.31,222.37,223.07,223.07,         0
2000-03-07,223.07,224.26,219.91,219.91,219.91,         0
2000-03-08,219.91,221.53,216.13,220.19,220.19,         0
2000-03-09,220.19,223.18,218.90,223.18,223.18,         0
2000-03-10,223.18,225.39,221.52,221.52,221.52,         0
2000-03-13,221.52,221.52,215.31,217.54,217.54,         0
2000-03-14,217.54,221.01,212.80,212.91,212.91,         0
2000-03-15,212.91,213.95,207.73,209.66,209.66,         0
2000-03-16,209.66,217.72,207.67,217.72,217.72,         0
2000-03-17,217.72,218.86,215.56,218.12,218.12,         0
2000-03-20,218.12,219.27,211.67,211.77,211.77,         0
2000-03-21,211.77,213.29,206.12,213.28,213.28,         0
2000-03-22,213.28,217.85,213.28,217.78,217.78,         0
2000-03-23,217.78,220.22,217.78,218.70,218.70,         0
2000-03-24,218.70,222.68,218.25,219.14,219.14,         0
2000-03-27,219.14,220.17,217.86,218.08,218.08,         0
2000-03-28,218.08,218.14,214.36,214.36,214.36,         0
2000-03-29,214.36,215.39,208.73,210.13,210.13,         0
2000-03-30,210.13,210.36,203.88,206.33,206.33,         0
2000-03-31,206.33,211.61,205.68,208.95,208.95,         0
2000-04-03,208.95,209.29,202.96,203.75,203.75,         0
2000-04-04,203.75,204.67,188.07,200.04,200.04,         0
2000-04-05,200.04,205.62,196.52,203.51,203.51,         0
2000-04-06,203.51,209.40,203.51,209.06,209.06,         0
2000-04-07,209.06,211.98,209.06,211.98,211.98,         0
2000-04-10,211.98,212.71,204.78,204.99,204.99,         0
2000-04-11,204.99,204.99,199.99,202.80,202.80,         0
2000-04-12,202.80,203.63,198.60,198.60,198.60,         0
2000-04-13,198.60,200.72,196.60,196.72,196.72,         0
2000-04-14,196.72,196.72,183.84,185.34,185.34,         0
2000-04-17,185.34,187.64,181.44,187.62,187.62,         0
2000-04-18,187.62,195.92,187.62,195.90,195.90,         0
2000-04-19,195.90,198.38,195.34,196.61,196.61,         0
2000-04-20,196.61,197.58,194.94,196.03,196.03,         0
2000-04-24,196.03,196.03,189.54,191.60,191.60,         0
2000-04-25,191.60,199.35,191.60,199.34,199.34,         0
2000-04-26,199.34,201.47,198.01,198.28,198.28,         0
2000-04-27,198.28,201.69,194.48,201.68,201.68,         0
2000-04-28,201.68,205.28,201.68,205.28,205.28,         0
2000-05-01,205.28,209.33,205.28,208.68,208.68,         0
2000-05-02,208.68,208.68,203.58,203.77,203.77,         0
2000-05-03,203.77,203.77,197.19,199.74,199.74,         0
2000-05-04,199.74,202.51,199.73,202.51,202.51,         0
2000-05-05,202.51,207.61,202.12,207.61,207.61,         0
2000-05-08,207.61,207.61,203.40,203.71,203.71,         0
2000-05-09,203.71,205.10,199.49,201.46,201.46,         0
2000-05-10,201.46,201.46,193.79,195.40,195.40,         0
2000-05-11,195.40,201.72,195.40,201.72,201.72,         0
2000-05-12,201.72,204.26,201.72,202.15,202.15,         0
2000-05-15,202.15,204.88,199.88,204.88,204.88,         0
2000-05-16,204.88,207.74,204.88,207.28,207.28,         0
2000-05-17,207.28,207.28,204.14,204.91,204.91,         0
2000-05-18,204.91,205.75,202.48,202.48,202.48,         0
2000-05-19,202.48,202.48,197.27,198.48,198.48,         0
2000-05-22,198.48,198.91,191.56,195.89,195.89,         0
2000-05-23,195.89,197.49,193.07,193.07,193.07,         0
2000-05-24,193.07,194.33,187.75,194.33,194.33,         0
2000-05-25,194.33,196.46,191.67,191.67,191.67,         0
2000-05-26,191.67,192.26,189.97,191.87,191.87,         0
2000-05-30,191.87,198.20,191.87,198.20,198.20,         0
2000-05-31,198.20,200.76,196.97,199.05,199.05,         0
2000-06-01,199.05,203.44,199.05,203.44,203.44,         0
2000-06-02,203.44,209.81,203.44,209.81,209.81,         0
2000-06-05,209.81,211.38,208.71,209.38,209.38,         0
2000-06-06,209.38,211.21,208.09,208.19,208.19,         0
2000-06-07,208.19,209.41,206.87,209.41,209.41,         0
2000-06-08,209.41,209.93,207.76,207.85,207.85,         0
2000-06-09,207.85,210.07,207.85,210.02,210.02,         0
2000-06-12,210.02,210.46,206.29,206.55,206.55,         0
2000-06-13,206.55,208.25,204.02,208.25,208.25,         0
2000-06-14,208.25,209.74,207.26,207.32,207.32,         0
2000-06-15,207.32,208.20,205.40,208.19,208.19,         0
2000-06-16,208.19,209.36,207.16,208.57,208.57,         0
2000-06-19,208.57,211.02,207.41,211.02,211.02,         0
2000-06-20,211.02,211.22,209.11,210.58,210.58,         0
2000-06-21,210.58,210.61,209.51,210.29,210.29,         0
2000-06-22,210.29,211.12,206.54,206.54,206.54,         0
2000-06-23,206.54,207.02,203.81,204.62,204.62,         0
2000-06-26,204.62,208.13,204.62,208.13,208.13,         0
2000-06-27,208.13,209.45,206.50,206.51,206.51,         0
2000-06-28,206.51,213.58,206.48,213.58,213.58,         0
2000-06-29,213.58,213.58,210.36,210.84,210.84,         0
2000-06-30,210.84,211.39,209.84,210.70,210.70,         0
2000-07-03,210.69,213.26,210.67,213.25,213.25,         0
2000-07-05,213.25,213.25,210.20,210.31,210.31,         0
2000-07-06,210.31,212.64,208.45,212.64,212.64,         0
2000-07-07,212.64,215.77,212.59,215.71,215.71,         0
2000-07-10,215.71,218.02,215.64,217.25,217.25,         0
2000-07-11,217.25,218.16,216.19,217.07,217.07,         0
2000-07-12,217.07,220.09,217.07,220.09,220.09,         0
2000-07-13,220.09,220.63,219.03,219.79,219.79,         0
2000-07-14,219.79,220.41,218.68,219.67,219.67,         0
2000-07-17,219.67,221.43,219.32,221.30,221.30,         0
2000-07-18,221.30,221.30,218.13,218.38,218.38,         0
2000-07-19,218.38,218.39,214.91,215.00,215.00,         0
2000-07-20,215.00,217.37,215.00,217.06,217.06,         0
2000-07-21,217.06,217.09,212.11,212.11,212.11,         0
2000-07-24,212.11,213.08,209.52,210.01,210.01,         0
2000-07-25,210.01,211.47,208.95,210.15,210.15,         0
2000-07-26,210.15,210.15,206.17,209.80,209.80,         0
2000-07-27,209.80,209.80,205.54,205.56,205.56,         0
2000-07-28,205.56,205.81,200.39,200.74,200.74,         0
2000-07-31,200.74,205.43,199.54,205.43,205.43,         0
2000-08-01,205.43,205.97,204.35,205.03,205.03,         0
2000-08-02,205.03,207.28,204.82,206.45,206.45,         0
2000-08-03,206.45,206.45,201.77,205.54,205.54,         0
2000-08-04,205.54,207.62,205.54,207.41,207.41,         0
2000-08-07,207.41,209.73,207.41,209.63,209.63,         0
2000-08-08,209.63,210.31,209.00,209.00,209.00,         0
2000-08-09,209.00,210.57,208.78,209.19,209.19,         0
2000-08-10,209.19,209.19,207.29,207.31,207.31,         0
2000-08-11,207.31,210.86,206.36,210.72,210.72,         0
2000-08-14,210.72,212.91,210.60,212.88,212.88,         0
2000-08-15,212.88,212.95,210.99,210.99,210.99,         0
2000-08-16,210.99,212.53,210.99,212.42,212.42,         0
2000-08-17,212.42,214.50,211.81,214.49,214.49,         0
2000-08-18,214.49,215.28,213.98,214.09,214.09,         0
2000-08-21,214.09,215.72,213.80,214.30,214.30,         0
2000-08-22,214.30,215.44,214.30,214.73,214.73,         0
2000-08-23,214.73,215.26,213.42,215.13,215.13,         0
2000-08-24,215.13,217.81,215.13,217.80,217.80,         0
2000-08-25,217.80,219.04,217.78,218.52,218.52,         0
2000-08-28,218.52,219.72,218.10,218.24,218.24,         0
2000-08-29,218.24,220.44,218.23,220.38,220.38,         0
2000-08-30,220.38,221.37,220.20,221.37,221.37,         0
2000-08-31,221.37,223.92,221.37,223.49,223.49,         0
2000-09-01,223.49,224.69,222.67,224.69,224.69,         0
2000-09-05,224.69,225.04,221.93,222.23,222.23,         0
2000-09-06,222.23,222.41,220.93,221.71,221.71,         0
2000-09-07,221.71,225.12,221.70,225.12,225.12,         0
2000-09-08,225.12,225.12,222.30,222.42,222.42,         0
2000-09-11,222.42,223.57,221.58,221.83,221.83,         0
2000-09-12,221.83,223.62,221.75,221.80,221.80,         0
2000-09-13,221.80,222.34,220.62,222.10,222.10,         0
2000-09-14,222.10,224.87,222.10,224.41,224.41,         0
2000-09-15,224.41,224.41,222.17,222.92,222.92,         0
2000-09-18,222.92,222.92,216.59,216.77,216.77,         0
2000-09-19,216.77,217.84,215.47,217.82,217.82,         0
2000-09-20,217.82,218.35,216.02,217.54,217.54,         0
2000-09-21,217.54,217.54,214.09,214.57,214.57,         0
2000-09-22,214.57,216.32,210.39,216.12,216.12,         0
2000-09-25,216.12,217.62,214.50,214.50,214.50,         0
2000-09-26,214.50,215.27,212.74,212.98,212.98,         0
2000-09-27,212.98,215.01,212.17,212.17,212.17,         0
2000-09-28,212.17,219.15,212.04,219.03,219.03,         0
2000-09-29,219.03,219.03,217.10,217.29,217.29,         0
2000-10-02,217.29,218.01,214.19,214.46,214.46,         0
2000-10-03,214.46,216.22,211.88,212.00,212.00,         0
2000-10-04,212.00,213.31,209.86,213.23,213.23,         0
2000-10-05,213.23,213.82,211.07,211.18,211.18,         0
