M	33.05
MA	209.76
MAA	99.99
MAC	52.64
MAS	33.90
MCD	169.83
MCK	136.84
MCO	161.65
MDT	96.19
MET	47.44
MGM	27.34
MHK	160.67
MKC	135.82
MLM	180.89
MMC	83.28
MMM	210.42
MO	63.10
MOS	33.10
MPC	83.76
MRK	72.34
MRO	22.93
MS	46.16
MSCI	166.96
MSI	124.45
MTB	169.33
MTD	590.91
NBL	32.52
NCLH	53.97
NEE	173.73
NEM	30.11
NFX	28.12
NI	24.99
NKE	80.42
NLSN	26.89
NOC	314.20
NOV	45.45
NRG	37.42
NSC	181.69
NUE	63.70
NWL	18.72
O	58.57
OKE	68.72
OMC	71.70
ORCL	48.87
OXY	82.23
PCG	48.55
PEG	54.07
PFE	45.47
PG	82.20
PGR	71.83
PH	178.36
PHM	23.86
PKG	93.14
PKI	90.75
PLD	67.06
PM	84.63
PNC	138.70
PNR	41.71
PNW	83.32
PPG	98.56
PPL	30.42
PRGO	71.49
PRU	105.95
PSA	200.94
PSX	117.68
PVH	134.62
PWR	32.41
PX	161.18
PXD	187.92
RCL	123.09
RE	229.51
REG	64.05
RF	18.59
RHI	68.08
RHT	122.78
RJF	94.82
RL	127.74
RMD	106.30
ROK	183.38
ROP	289.30
RSG	72.85
RTN	204.59
SCG	39.91
SCHW	52.17
SEE	37.50
SHW	424.73
SJM	101.97
SLB	63.11
SLG	94.76
SNA	178.00
SO	44.12
SPG	175.10
SPGI	187.82
SRE	116.40
STI	66.70
STT	86.36
STZ	226.27
SWK	134.68
SYF	31.15
SYK	176.08
SYY	71.80
T	33.50
TAP	61.73
TDG	351.21
TEL	82.38
TGT	85.66
TIF	122.95
TJX	111.40
TMK	88.85
TMO	239.97
TPR	47.78
TRV	131.59
TSN	62.83
TSS	95.31
TWTR	29.27
TXT	70.33
UAA	19.40
UDR	40.31
UHS	127.57
UNH	270.11
UNM	39.81
UNP	162.39
UPS	117.92
URI	152.74
USB	53.95
UTX	135.88
V	142.31
VAR	107.91
VFC	92.58
VLO	115.66
VMC	109.15
VNO	71.40
VTR	54.36
VZ	54.99
WAT	181.50
WEC	69.06
WELL	63.98
WFC	53.53
WHR	106.30
WM	91.27
WMB	27.63
WMT	97.08
WRK	45.25
WU	18.17
WY	30.53
XEC	100.44
XOM	86.51
XRX	26.21
XYL	74.42
YUM	91.18
ZBH	126.91
ZTS	92.55
IDX.IDX	1956.84
SML.IDX	1015.94
SPX.IDX	2880.34
