"AA"	-99999999.990	-99999999.990	-99999999.990	182.468	182.468	182.468	-99999999.990	-99999999.990	182.468	182.000	182.468	182.468	184.597	184.000	-99999999.990	-99999999.990	-99999999.990	12573.000	13147.000	11199.000	6069.000	2679.000	2451.000	2129.000	4452.000	2329.000	2537.000	2655.000	-99999999.990	-99999999.990	-99999999.990	-2909.000	-256.000	-863.000	87.000	-124.000	-826.000	-210.000	-255.000	-6.000	-139.000	225.000	-99999999.990	-99999999.990	-99999999.990	452.000	842.000	875.000	511.000	311.000	53.000	-359.000	-451.000	-99.000	239.000	74.000	0.000	0.000	0.000	0.000	313.000	207.000	0.000	0.000	207.000	216.000	233.000	1457.000	1424.000	1431.000	"0124 - Metal Mining"	"N - New York"	"None"	03/31/2017	"UPD"
"ACET"	24.979	25.906	26.587	27.050	28.001	28.731	28.794	28.983	29.115	29.158	29.185	29.518	30.029	34.769	346.600	412.400	444.400	499.700	510.200	547.000	146.600	133.500	131.700	157.900	135.400	128.000	125.600	190.100	6.600	9.000	17.000	22.300	29.000	33.500	13.600	9.300	8.300	10.400	6.800	4.400	-0.600	5.600	-15.500	14.000	15.000	25.500	25.100	8.300	1.800	3.000	13.300	0.800	14.800	10.700	9.600	11.300	0.600	48.800	39.100	20.400	97.200	100.000	100.000	109.900	115.900	117.200	118.600	120.000	368.500	353.300	"0103 - Chemical Manufacturing"	"M - Nasdaq"	"SmallCap 600"	03/31/2017	"UPD"
"AFI"	-99999999.990	-99999999.990	-99999999.990	27.739	27.739	27.739	27.739	27.739	27.739	27.739	27.899	27.908	27.958	28.017	-99999999.990	1245.500	1209.800	1262.800	1220.400	1188.700	326.600	322.600	280.100	284.400	323.700	313.400	271.700	265.200	-99999999.990	-99999999.990	-99999999.990	26.900	9.500	-10.300	8.800	7.800	-23.000	-2.500	5.700	8.300	-2.200	-7.800	-99999999.990	-99999999.990	-99999999.990	57.300	13.200	52.600	49.900	27.900	62.300	-58.500	82.800	30.900	-1.200	-33.400	0.000	10.000	10.000	10.000	10.000	10.000	10.000	10.000	10.000	0.000	100.000	10.000	21.200	73.200	"0112 - Fabricated Plastic & Rubber"	"N - New York"	"None"	03/31/2017	"UPD"
"AKS"	109.600	109.800	113.000	135.800	148.100	177.200	177.200	177.200	177.500	177.500	216.400	237.500	288.200	314.100	5968.300	6468.000	5933.700	5570.400	6505.700	6692.900	1689.400	1709.900	1542.700	1518.800	1492.200	1452.900	1418.600	1533.400	-128.900	-155.600	-1027.300	-46.800	-96.900	-509.000	-64.000	6.700	-145.400	-13.600	17.300	50.900	-62.400	62.500	-132.400	-180.500	-270.800	-110.200	-322.800	200.300	86.600	116.200	0.200	136.700	136.300	14.900	16.700	36.300	650.600	650.000	1411.200	1506.200	2422.000	2354.100	2442.500	2386.300	2354.100	2336.400	2078.100	2000.200	1816.600	1684.500	"0121 - Iron & Steel"	"N - New York"	"SmallCap 600"	03/31/2017	"UPD"
"ALB"	91.393	90.522	89.189	83.839	78.696	111.182	112.189	112.202	112.208	112.260	112.339	112.429	112.487	111.986	2362.800	2869.000	2519.200	2394.300	2445.500	2826.400	718.300	693.200	722.600	657.200	669.300	654.000	696.700	722.100	315.800	392.100	307.300	409.100	202.800	302.400	42.000	54.400	160.900	210.900	83.500	105.000	42.100	51.200	331.300	487.400	488.800	432.900	492.600	360.700	220.600	50.500	43.800	172.700	79.800	199.900	281.000	82.600	851.900	749.300	686.600	1054.300	2223.000	3142.200	3562.300	3559.000	3142.200	3105.400	3019.500	3048.400	2121.700	1398.400	"0106 - Chemicals - Plastics and Rubbers"	"N - New York"	"500"	03/31/2017	"UPD"
"AP"	10.254	10.319	10.338	10.358	10.405	10.435	10.434	10.440	10.441	11.006	12.250	12.271	12.272	12.271	326.900	344.800	292.900	281.100	272.900	238.500	60.000	58.100	55.300	63.600	93.300	82.900	92.100	103.500	15.500	21.300	8.400	12.400	-1.200	1.400	-0.500	-1.500	3.300	-2.900	-6.500	-27.400	-43.100	-4.800	43.000	22.300	25.400	37.800	20.000	20.500	3.300	3.100	12.000	-5.000	-9.500	1.300	7.500	-5.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	28.200	25.300	25.600	25.400	25.700	"0127 - Misc. Fabricated Products"	"N - New York"	"None"	03/31/2017	"UPD"
"APD"	212.200	213.000	211.200	209.700	212.700	214.900	215.200	215.200	215.800	216.100	216.600	217.300	217.700	217.900	8616.100	9673.700	9611.700	10180.400	10439.000	9894.900	2470.200	2449.400	1866.300	1777.400	2434.400	2463.000	1882.500	1980.100	941.600	1134.300	999.200	1004.200	994.600	1284.700	320.500	346.000	272.500	271.100	355.700	402.000	251.600	304.400	1522.400	1753.200	1798.700	1567.400	2187.100	2437.800	1381.400	1559.800	1147.600	986.900	-359.600	852.600	514.700	-174.300	3659.800	3927.500	4584.200	5056.300	4824.500	3949.100	4690.500	3949.100	3870.500	3573.200	3925.600	3909.700	3289.000	3300.400	"0103 - Chemical Manufacturing"	"N - New York"	"500"	03/31/2017	"UPD"
"AQMS"	-99999999.990	-99999999.990	-99999999.990	-99999999.990	4.800	8.404	8.627	10.759	14.131	14.586	14.735	15.575	16.614	18.793	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-2.400	-12.300	-7.900	-2.100	-2.400	-2.200	-2.900	-3.500	-4.900	-4.900	-99999999.990	-99999999.990	-99999999.990	-99999999.990	-0.600	-1.500	-1.700	-1.000	-0.300	-1.600	-1.700	-2.500	-5.300	-4.200	0.000	0.000	0.000	0.000	0.000	9.200	0.000	0.000	9.200	9.300	9.300	9.300	9.500	9.700	"0124 - Metal Mining"	"M - Nasdaq"	"None"	03/31/2017	"UPD"
"ARNC"	339.273	353.663	355.667	356.667	387.000	420.000	407.333	427.000	420.000	438.000	438.333	438.000	438.000	440.000	21013.000	24951.000	23700.000	23032.000	12542.000	12413.000	5897.000	5573.000	12413.000	3055.000	5295.000	5213.000	12394.000	3192.000	259.000	611.000	189.000	-2287.000	-82.000	-226.000	123.000	26.000	-226.000	97.000	118.000	148.000	-1131.000	305.000	2261.000	2193.000	1497.000	1578.000	1674.000	1582.000	472.000	420.000	1582.000	-430.000	332.000	306.000	870.000	-300.000	8842.000	8640.000	8311.000	7607.000	8769.000	8786.000	8713.000	9091.000	8786.000	8257.000	8278.000	9501.000	8044.000	8046.000	"0124 - Metal Mining"	"N - New York"	"500"	03/31/2017	"UPD"
"ASH"	78.000	78.000	78.000	78.000	77.000	68.000	68.000	67.000	65.000	62.000	62.000	63.000	62.000	62.000	5741.000	6502.000	6472.000	6091.000	6121.000	5387.000	1367.000	1280.000	1163.000	1247.000	1290.000	1248.000	1193.000	1320.000	88.000	56.000	14.000	553.000	72.000	191.000	115.000	-59.000	91.000	87.000	97.000	-273.000	-1.000	89.000	506.000	245.000	354.000	733.000	643.000	334.000	-271.000	232.000	56.000	175.000	174.000	258.000	0.000	41.000	1108.000	3648.000	3131.000	2947.000	2911.000	3348.000	3362.000	3348.000	3337.000	3328.000	3316.000	3055.000	2825.000	2812.000	"0106 - Chemicals - Plastics and Rubbers"	"N - New York"	"MidCap 400"	03/31/2017	"UPD"
