Date,UMNMTI
1992-01-01,135639000000.00
1992-02-01,136496000000.00
1992-03-01,135643000000.00
1992-04-01,136532000000.00
1992-05-01,137362000000.00
1992-06-01,136053000000.00
1992-07-01,137977000000.00
1992-08-01,139963000000.00
1992-09-01,139621000000.00
1992-10-01,141069000000.00
1992-11-01,139913000000.00
1992-12-01,138157000000.00
1993-01-01,141026000000.00
1993-02-01,141193000000.00
1993-03-01,140655000000.00
1993-04-01,141556000000.00
1993-05-01,141668000000.00
1993-06-01,140475000000.00
1993-07-01,140866000000.00
1993-08-01,142010000000.00
1993-09-01,140931000000.00
1993-10-01,141624000000.00
1993-11-01,140525000000.00
1993-12-01,138505000000.00
1994-01-01,140441000000.00
1994-02-01,141653000000.00
1994-03-01,141395000000.00
1994-04-01,142350000000.00
1994-05-01,142849000000.00
1994-06-01,141525000000.00
1994-07-01,144052000000.00
1994-08-01,144852000000.00
1994-09-01,143975000000.00
1994-10-01,145649000000.00
1994-11-01,145641000000.00
1994-12-01,144255000000.00
1995-01-01,148389000000.00
1995-02-01,150833000000.00
1995-03-01,151349000000.00
1995-04-01,153371000000.00
1995-05-01,154683000000.00
1995-06-01,154426000000.00
1995-07-01,155719000000.00
1995-08-01,156401000000.00
1995-09-01,157087000000.00
1995-10-01,157495000000.00
1995-11-01,156389000000.00
1995-12-01,154821000000.00
1996-01-01,157369000000.00
1996-02-01,158511000000.00
1996-03-01,157809000000.00
1996-04-01,158151000000.00
1996-05-01,157011000000.00
1996-06-01,155648000000.00
1996-07-01,155981000000.00
1996-08-01,156579000000.00
1996-09-01,157212000000.00
1996-10-01,158260000000.00
1996-11-01,157409000000.00
1996-12-01,155510000000.00
1997-01-01,157734000000.00
1997-02-01,158684000000.00
1997-03-01,158099000000.00
1997-04-01,159129000000.00
1997-05-01,159295000000.00
1997-06-01,157922000000.00
1997-07-01,158027000000.00
1997-08-01,159398000000.00
1997-09-01,160347000000.00
1997-10-01,162673000000.00
1997-11-01,162257000000.00
1997-12-01,160121000000.00
1998-01-01,162143000000.00
1998-02-01,163572000000.00
1998-03-01,162107000000.00
1998-04-01,162246000000.00
1998-05-01,161833000000.00
1998-06-01,159856000000.00
1998-07-01,160752000000.00
1998-08-01,160312000000.00
1998-09-01,159833000000.00
1998-10-01,161117000000.00
1998-11-01,160550000000.00
1998-12-01,156147000000.00
1999-01-01,158595000000.00
1999-02-01,159211000000.00
1999-03-01,158071000000.00
1999-04-01,159500000000.00
1999-05-01,160464000000.00
1999-06-01,158866000000.00
1999-07-01,160126000000.00
1999-08-01,161285000000.00
1999-09-01,162696000000.00
1999-10-01,165620000000.00
1999-11-01,165999000000.00
1999-12-01,164441000000.00
2000-01-01,167871000000.00
2000-02-01,170140000000.00
2000-03-01,169266000000.00
2000-04-01,171141000000.00
2000-05-01,171840000000.00
2000-06-01,171574000000.00
2000-07-01,174088000000.00
2000-08-01,174248000000.00
2000-09-01,175041000000.00
2000-10-01,176969000000.00
2000-11-01,175719000000.00
2000-12-01,171852000000.00
2001-01-01,175644000000.00
2001-02-01,174159000000.00
2001-03-01,172230000000.00
2001-04-01,172208000000.00
2001-05-01,170846000000.00
2001-06-01,167120000000.00
2001-07-01,166964000000.00
2001-08-01,165711000000.00
2001-09-01,165025000000.00
2001-10-01,164892000000.00
2001-11-01,161881000000.00
2001-12-01,157216000000.00
2002-01-01,158757000000.00
2002-02-01,156972000000.00
2002-03-01,155982000000.00
2002-04-01,157244000000.00
2002-05-01,157262000000.00
2002-06-01,156275000000.00
2002-07-01,158592000000.00
2002-08-01,160004000000.00
2002-09-01,161945000000.00
2002-10-01,163902000000.00
2002-11-01,162482000000.00
2002-12-01,159130000000.00
2003-01-01,161581000000.00
2003-02-01,164901000000.00
2003-03-01,163594000000.00
2003-04-01,164644000000.00
2003-05-01,164257000000.00
2003-06-01,162943000000.00
2003-07-01,163684000000.00
2003-08-01,164141000000.00
2003-09-01,163890000000.00
2003-10-01,164905000000.00
2003-11-01,163305000000.00
2003-12-01,157685000000.00
2004-01-01,160651000000.00
2004-02-01,164010000000.00
2004-03-01,164477000000.00
2004-04-01,166055000000.00
2004-05-01,168280000000.00
2004-06-01,168135000000.00
2004-07-01,171168000000.00
2004-08-01,172496000000.00
2004-09-01,172582000000.00
2004-10-01,175839000000.00
2004-11-01,175643000000.00
2004-12-01,171338000000.00
2005-01-01,176950000000.00
2005-02-01,179919000000.00
2005-03-01,181206000000.00
2005-04-01,182879000000.00
2005-05-01,182032000000.00
2005-06-01,182036000000.00
2005-07-01,185044000000.00
2005-08-01,185011000000.00
2005-09-01,185961000000.00
2005-10-01,189769000000.00
2005-11-01,186864000000.00
2005-12-01,184976000000.00
2006-01-01,191938000000.00
2006-02-01,193796000000.00
2006-03-01,195363000000.00
2006-04-01,198453000000.00
2006-05-01,200786000000.00
2006-06-01,201609000000.00
2006-07-01,204501000000.00
2006-08-01,205930000000.00
2006-09-01,206260000000.00
2006-10-01,207088000000.00
2006-11-01,205013000000.00
2006-12-01,199441000000.00
2007-01-01,202418000000.00
2007-02-01,205129000000.00
2007-03-01,206282000000.00
2007-04-01,209885000000.00
2007-05-01,214083000000.00
2007-06-01,215157000000.00
2007-07-01,217665000000.00
2007-08-01,218238000000.00
2007-09-01,222298000000.00
2007-10-01,224223000000.00
2007-11-01,224156000000.00
2007-12-01,220823000000.00
2008-01-01,230482000000.00
2008-02-01,234003000000.00
2008-03-01,236717000000.00
2008-04-01,236278000000.00
2008-05-01,238427000000.00
2008-06-01,242462000000.00
2008-07-01,244335000000.00
2008-08-01,245164000000.00
2008-09-01,238722000000.00
2008-10-01,233618000000.00
2008-11-01,225617000000.00
2008-12-01,207315000000.00
2009-01-01,208176000000.00
2009-02-01,206153000000.00
2009-03-01,206375000000.00
2009-04-01,204220000000.00
2009-05-01,205465000000.00
2009-06-01,204683000000.00
2009-07-01,205727000000.00
2009-08-01,207267000000.00
2009-09-01,205101000000.00
2009-10-01,209375000000.00
2009-11-01,208448000000.00
2009-12-01,203683000000.00
2010-01-01,207596000000.00
2010-02-01,212338000000.00
2010-03-01,214259000000.00
2010-04-01,215427000000.00
2010-05-01,213805000000.00
2010-06-01,211864000000.00
2010-07-01,215876000000.00
2010-08-01,216718000000.00
2010-09-01,218924000000.00
2010-10-01,224652000000.00
2010-11-01,224919000000.00
2010-12-01,224856000000.00
2011-01-01,233003000000.00
2011-02-01,237448000000.00
2011-03-01,240316000000.00
2011-04-01,247334000000.00
2011-05-01,249110000000.00
2011-06-01,246650000000.00
2011-07-01,249894000000.00
2011-08-01,249135000000.00
2011-09-01,247897000000.00
2011-10-01,254594000000.00
2011-11-01,251704000000.00
2011-12-01,245831000000.00
2012-01-01,252144000000.00
2012-02-01,255731000000.00
2012-03-01,256288000000.00
2012-04-01,256127000000.00
2012-05-01,253759000000.00
2012-06-01,249698000000.00
2012-07-01,252333000000.00
2012-08-01,253300000000.00
2012-09-01,257674000000.00
2012-10-01,258071000000.00
2012-11-01,254272000000.00
2012-12-01,249923000000.00
2013-01-01,256820000000.00
2013-02-01,259842000000.00
2013-03-01,262333000000.00
2013-04-01,262268000000.00
2013-05-01,260840000000.00
2013-06-01,257387000000.00
2013-07-01,260509000000.00
2013-08-01,262787000000.00
2013-09-01,261907000000.00
2013-10-01,263268000000.00
2013-11-01,257997000000.00
2013-12-01,251393000000.00
2014-01-01,257577000000.00
2014-02-01,262659000000.00
2014-03-01,263103000000.00
2014-04-01,264898000000.00
2014-05-01,266578000000.00
2014-06-01,261991000000.00
2014-07-01,263097000000.00
2014-08-01,262956000000.00
2014-09-01,262279000000.00
2014-10-01,262606000000.00
2014-11-01,258470000000.00
2014-12-01,245577000000.00
2015-01-01,247057000000.00
2015-02-01,248313000000.00
2015-03-01,248227000000.00
2015-04-01,249797000000.00
2015-05-01,251481000000.00
2015-06-01,249844000000.00
2015-07-01,250769000000.00
2015-08-01,249829000000.00
2015-09-01,248327000000.00
2015-10-01,251551000000.00
2015-11-01,247778000000.00
2015-12-01,238149000000.00
2016-01-01,240993000000.00
2016-02-01,241910000000.00
2016-03-01,242266000000.00
2016-04-01,244633000000.00
2016-05-01,246885000000.00
2016-06-01,245745000000.00
2016-07-01,246833000000.00
2016-08-01,248065000000.00
2016-09-01,246850000000.00
2016-10-01,250857000000.00
2016-11-01,249696000000.00
2016-12-01,245611000000.00
2017-01-01,251759000000.00
2017-02-01,253408000000.00
2017-03-01,252179000000.00
2017-04-01,254195000000.00
2017-05-01,253439000000.00
2017-06-01,249825000000.00
2017-07-01,253316000000.00
2017-08-01,254423000000.00
2017-09-01,255934000000.00
2017-10-01,260236000000.00
2017-11-01,259852000000.00
2017-12-01,256457000000.00
2018-01-01,262849000000.00
2018-02-01,264415000000.00
2018-03-01,263873000000.00
2018-04-01,266229000000.00
