Date,UNDEVS
2008-08-01,67839000000.00
2008-09-01,76663000000.00
2008-10-01,66598000000.00
2008-11-01,61056000000.00
2008-12-01,73843000000.00
2009-01-01,53981000000.00
2009-02-01,55243000000.00
2009-03-01,65785000000.00
2009-04-01,55241000000.00
2009-05-01,55093000000.00
2009-06-01,63488000000.00
2009-07-01,53671000000.00
2009-08-01,54375000000.00
2009-09-01,62697000000.00
2009-10-01,56481000000.00
2009-11-01,55067000000.00
2009-12-01,66347000000.00
2010-01-01,49773000000.00
2010-02-01,53179000000.00
2010-03-01,66827000000.00
2010-04-01,57984000000.00
2010-05-01,58126000000.00
2010-06-01,66991000000.00
2010-07-01,57451000000.00
2010-08-01,60424000000.00
2010-09-01,66302000000.00
2010-10-01,60060000000.00
2010-11-01,59556000000.00
2010-12-01,71145000000.00
2011-01-01,54256000000.00
2011-02-01,56996000000.00
2011-03-01,72766000000.00
2011-04-01,62174000000.00
2011-05-01,64438000000.00
2011-06-01,73378000000.00
2011-07-01,61549000000.00
2011-08-01,69914000000.00
2011-09-01,74687000000.00
2011-10-01,68047000000.00
2011-11-01,66452000000.00
2011-12-01,78591000000.00
2012-01-01,62109000000.00
2012-02-01,68883000000.00
2012-03-01,82981000000.00
2012-04-01,70915000000.00
2012-05-01,74570000000.00
2012-06-01,81804000000.00
2012-07-01,68423000000.00
2012-08-01,72349000000.00
2012-09-01,76735000000.00
2012-10-01,72803000000.00
2012-11-01,72009000000.00
2012-12-01,81413000000.00
2013-01-01,63876000000.00
2013-02-01,67789000000.00
2013-03-01,83156000000.00
2013-04-01,70366000000.00
2013-05-01,77181000000.00
2013-06-01,81879000000.00
2013-07-01,68944000000.00
2013-08-01,72965000000.00
2013-09-01,78344000000.00
2013-10-01,72614000000.00
2013-11-01,70823000000.00
2013-12-01,83747000000.00
2014-01-01,63527000000.00
2014-02-01,68458000000.00
2014-03-01,83987000000.00
2014-04-01,71721000000.00
2014-05-01,73567000000.00
2014-06-01,83902000000.00
2014-07-01,70805000000.00
2014-08-01,76047000000.00
2014-09-01,84522000000.00
2014-10-01,75625000000.00
2014-11-01,68877000000.00
2014-12-01,84630000000.00
2015-01-01,63564000000.00
2015-02-01,67485000000.00
2015-03-01,82922000000.00
2015-04-01,71901000000.00
2015-05-01,71448000000.00
2015-06-01,82240000000.00
2015-07-01,68812000000.00
2015-08-01,72696000000.00
2015-09-01,79734000000.00
2015-10-01,71004000000.00
2015-11-01,69350000000.00
2015-12-01,76474000000.00
2016-01-01,59283000000.00
