Date,WSCNDW01USQ470N
1960-01-01,89066.67
1960-04-01,125333.33
1960-07-01,113833.33
1960-10-01,89133.33
1961-01-01,82900.00
1961-04-01,125066.67
1961-07-01,126366.67
1961-10-01,103333.33
1962-01-01,91500.00
1962-04-01,146600.00
1962-07-01,132833.33
1962-10-01,116666.67
1963-01-01,97800.00
1963-04-01,163700.00
1963-07-01,146333.33
1963-10-01,126533.33
1964-01-01,109433.33
1964-04-01,152366.67
1964-07-01,132900.00
1964-10-01,114933.33
1965-01-01,94166.67
1965-04-01,151233.33
1965-07-01,130666.67
1965-10-01,114900.00
1966-01-01,91233.33
1966-04-01,130500.00
1966-07-01,96700.00
1966-10-01,69866.67
1967-01-01,70666.67
1967-04-01,123700.00
1967-07-01,124866.67
1967-10-01,111300.00
1968-01-01,97233.33
1968-04-01,146933.33
1968-07-01,136866.67
1968-10-01,121433.33
1969-01-01,107833.33
1969-04-01,153933.33
1969-07-01,126466.67
1969-10-01,100700.00
1970-01-01,85133.33
1970-04-01,129533.33
1970-07-01,133466.67
1970-10-01,129733.33
1971-01-01,126900.00
1971-04-01,197800.00
1971-07-01,190866.67
1971-10-01,168500.00
1972-01-01,168400.00
1972-04-01,220166.67
1972-07-01,212700.00
1972-10-01,184233.33
1973-01-01,161533.33
1973-04-01,213866.67
1973-07-01,182733.33
1973-10-01,123600.00
1974-01-01,106233.33
1974-04-01,152033.33
1974-07-01,112000.00
1974-10-01,75633.33
1975-01-01,63666.67
1975-04-01,108100.00
1975-07-01,116166.67
1975-10-01,98866.67
1976-01-01,93600.00
1976-04-01,146433.33
1976-07-01,144766.67
1976-10-01,127633.33
1977-01-01,122466.67
1977-04-01,193700.00
1977-07-01,187166.67
1977-10-01,159033.33
1978-01-01,120666.67
1978-04-01,208166.67
1978-07-01,187866.67
1978-10-01,156733.33
1979-01-01,108533.33
1979-04-01,180633.33
1979-07-01,166066.67
1979-10-01,126433.33
1980-01-01,79366.67
1980-04-01,101433.33
1980-07-01,129433.33
