Date,U34JTI
2008-08-01,2532000000.00
2008-09-01,2494000000.00
2008-10-01,2512000000.00
2008-11-01,2411000000.00
2008-12-01,2337000000.00
2009-01-01,2373000000.00
2009-02-01,2426000000.00
2009-03-01,2427000000.00
2009-04-01,2452000000.00
2009-05-01,2479000000.00
2009-06-01,2419000000.00
2009-07-01,2505000000.00
2009-08-01,2530000000.00
2009-09-01,2537000000.00
2009-10-01,2659000000.00
2009-11-01,2641000000.00
2009-12-01,2709000000.00
2010-01-01,2778000000.00
2010-02-01,2961000000.00
2010-03-01,2923000000.00
2010-04-01,2984000000.00
2010-05-01,2952000000.00
2010-06-01,2867000000.00
2010-07-01,2951000000.00
2010-08-01,2925000000.00
2010-09-01,2785000000.00
2010-10-01,2868000000.00
2010-11-01,2777000000.00
2010-12-01,2647000000.00
2011-01-01,2801000000.00
2011-02-01,2876000000.00
2011-03-01,2937000000.00
2011-04-01,2933000000.00
2011-05-01,3016000000.00
2011-06-01,2814000000.00
2011-07-01,2862000000.00
2011-08-01,2764000000.00
2011-09-01,2643000000.00
2011-10-01,2774000000.00
2011-11-01,2817000000.00
2011-12-01,2591000000.00
2012-01-01,2676000000.00
2012-02-01,2673000000.00
2012-03-01,2724000000.00
2012-04-01,2783000000.00
2012-05-01,2853000000.00
2012-06-01,2749000000.00
2012-07-01,2691000000.00
2012-08-01,2585000000.00
2012-09-01,2492000000.00
2012-10-01,2541000000.00
2012-11-01,2580000000.00
2012-12-01,2464000000.00
2013-01-01,2671000000.00
2013-02-01,2763000000.00
2013-03-01,2632000000.00
2013-04-01,2700000000.00
2013-05-01,2857000000.00
2013-06-01,2767000000.00
2013-07-01,2837000000.00
2013-08-01,2456000000.00
2013-09-01,2507000000.00
2013-10-01,2519000000.00
2013-11-01,2576000000.00
2013-12-01,2607000000.00
2014-01-01,2580000000.00
2014-02-01,2647000000.00
2014-03-01,2532000000.00
2014-04-01,2576000000.00
2014-05-01,2648000000.00
2014-06-01,2527000000.00
2014-07-01,2588000000.00
2014-08-01,2516000000.00
2014-09-01,2446000000.00
2014-10-01,2536000000.00
2014-11-01,2519000000.00
2014-12-01,2480000000.00
2015-01-01,2397000000.00
2015-02-01,2429000000.00
2015-03-01,2603000000.00
2015-04-01,2686000000.00
2015-05-01,2785000000.00
2015-06-01,2648000000.00
2015-07-01,2769000000.00
2015-08-01,2753000000.00
2015-09-01,2565000000.00
2015-10-01,2581000000.00
2015-11-01,2599000000.00
2015-12-01,2570000000.00
2016-01-01,2629000000.00
2016-02-01,2645000000.00
2016-03-01,2658000000.00
2016-04-01,2676000000.00
2016-05-01,2724000000.00
2016-06-01,2654000000.00
2016-07-01,2674000000.00
2016-08-01,2635000000.00
2016-09-01,2583000000.00
2016-10-01,2575000000.00
2016-11-01,2565000000.00
2016-12-01,2516000000.00
2017-01-01,2552000000.00
2017-02-01,2581000000.00
2017-03-01,2574000000.00
2017-04-01,2592000000.00
2017-05-01,2645000000.00
2017-06-01,2572000000.00
2017-07-01,2615000000.00
2017-08-01,2613000000.00
2017-09-01,2494000000.00
2017-10-01,2581000000.00
2017-11-01,2548000000.00
2017-12-01,2499000000.00
2018-01-01,2579000000.00
2018-02-01,2639000000.00
2018-03-01,2625000000.00
2018-04-01,2666000000.00
