Date,CAPUTLN2121S
1967-01-01,98.27
1967-02-01,93.55
1967-03-01,89.16
1967-04-01,95.31
1967-05-01,91.29
1967-06-01,91.44
1967-07-01,95.77
1967-08-01,90.78
1967-09-01,91.08
1967-10-01,92.19
1967-11-01,92.01
1967-12-01,91.60
1968-01-01,88.17
1968-02-01,90.31
1968-03-01,95.00
1968-04-01,90.43
1968-05-01,88.32
1968-06-01,89.28
1968-07-01,98.20
1968-08-01,91.29
1968-09-01,93.40
1968-10-01,68.30
1968-11-01,89.82
1968-12-01,89.81
1969-01-01,91.23
1969-02-01,88.27
1969-03-01,86.73
1969-04-01,87.04
1969-05-01,90.47
1969-06-01,89.51
1969-07-01,81.97
1969-08-01,91.42
1969-09-01,90.70
1969-10-01,94.78
1969-11-01,95.08
1969-12-01,95.88
1970-01-01,91.26
1970-02-01,95.51
1970-03-01,93.73
1970-04-01,90.60
1970-05-01,91.14
1970-06-01,93.70
1970-07-01,87.87
1970-08-01,98.74
1970-09-01,98.56
1970-10-01,101.33
1970-11-01,100.24
1970-12-01,97.92
1971-01-01,99.74
1971-02-01,92.01
1971-03-01,94.76
1971-04-01,94.51
1971-05-01,98.28
1971-06-01,89.45
1971-07-01,87.03
1971-08-01,97.38
1971-09-01,95.24
1971-10-01,23.65
1971-11-01,48.78
1971-12-01,99.74
1972-01-01,95.41
1972-02-01,90.29
1972-03-01,91.94
1972-04-01,92.50
1972-05-01,87.91
1972-06-01,88.30
1972-07-01,85.06
1972-08-01,87.28
1972-09-01,85.95
1972-10-01,87.45
1972-11-01,89.26
1972-12-01,86.99
1973-01-01,87.36
1973-02-01,86.34
1973-03-01,85.21
1973-04-01,83.54
1973-05-01,83.77
1973-06-01,82.00
1973-07-01,88.16
1973-08-01,91.44
1973-09-01,85.66
1973-10-01,86.05
1973-11-01,85.63
1973-12-01,92.06
1974-01-01,95.40
1974-02-01,92.45
1974-03-01,87.70
1974-04-01,90.77
1974-05-01,91.36
1974-06-01,85.35
1974-07-01,93.86
1974-08-01,85.52
1974-09-01,87.09
1974-10-01,92.37
1974-11-01,56.58
1974-12-01,71.15
1975-01-01,98.14
1975-02-01,93.99
1975-03-01,87.78
1975-04-01,84.40
1975-05-01,86.05
1975-06-01,90.97
1975-07-01,82.95
1975-08-01,85.01
1975-09-01,82.85
1975-10-01,85.73
1975-11-01,90.25
1975-12-01,89.61
1976-01-01,94.49
1976-02-01,95.80
1976-03-01,90.40
1976-04-01,91.70
1976-05-01,89.72
1976-06-01,87.20
1976-07-01,79.23
1976-08-01,84.15
1976-09-01,86.16
1976-10-01,85.44
1976-11-01,87.97
1976-12-01,93.24
1977-01-01,82.30
1977-02-01,87.44
1977-03-01,96.91
1977-04-01,93.39
1977-05-01,91.95
1977-06-01,87.19
1977-07-01,90.05
1977-08-01,83.69
1977-09-01,96.01
1977-10-01,95.03
1977-11-01,98.68
1977-12-01,46.56
1978-01-01,37.48
1978-02-01,39.05
1978-03-01,54.45
1978-04-01,94.16
1978-05-01,96.47
1978-06-01,89.77
1978-07-01,95.27
1978-08-01,89.32
1978-09-01,79.27
1978-10-01,92.94
1978-11-01,96.84
1978-12-01,93.78
1979-01-01,89.63
1979-02-01,90.19
1979-03-01,90.96
1979-04-01,92.63
1979-05-01,90.04
1979-06-01,91.87
1979-07-01,83.92
1979-08-01,89.55
1979-09-01,85.32
1979-10-01,91.06
1979-11-01,86.76
1979-12-01,86.67
1980-01-01,97.83
1980-02-01,94.84
1980-03-01,94.21
1980-04-01,92.71
1980-05-01,91.38
1980-06-01,92.46
1980-07-01,88.01
1980-08-01,85.25
1980-09-01,83.25
1980-10-01,81.48
1980-11-01,90.63
1980-12-01,93.71
1981-01-01,90.25
1981-02-01,101.59
1981-03-01,97.17
1981-04-01,43.04
1981-05-01,45.73
1981-06-01,74.38
1981-07-01,104.20
1981-08-01,94.31
1981-09-01,97.82
1981-10-01,96.55
1981-11-01,97.02
1981-12-01,96.48
1982-01-01,90.69
1982-02-01,97.27
1982-03-01,96.97
1982-04-01,92.29
1982-05-01,90.58
1982-06-01,87.70
1982-07-01,83.62
1982-08-01,81.91
1982-09-01,78.56
1982-10-01,80.63
1982-11-01,76.31
1982-12-01,78.00
1983-01-01,80.68
1983-02-01,77.73
1983-03-01,75.02
1983-04-01,75.99
1983-05-01,75.51
1983-06-01,73.58
1983-07-01,77.72
1983-08-01,77.33
1983-09-01,80.02
1983-10-01,81.86
1983-11-01,82.56
1983-12-01,81.18
1984-01-01,85.68
1984-02-01,89.99
1984-03-01,91.35
1984-04-01,92.70
1984-05-01,95.00
1984-06-01,93.69
1984-07-01,102.54
1984-08-01,97.21
1984-09-01,97.70
1984-10-01,72.99
1984-11-01,75.26
1984-12-01,82.92
1985-01-01,79.74
1985-02-01,83.26
1985-03-01,88.61
1985-04-01,90.31
1985-05-01,89.33
1985-06-01,90.51
1985-07-01,87.27
1985-08-01,85.00
1985-09-01,87.16
1985-10-01,86.05
1985-11-01,84.16
1985-12-01,87.74
1986-01-01,89.97
1986-02-01,88.53
1986-03-01,87.92
1986-04-01,85.67
1986-05-01,84.50
1986-06-01,86.73
1986-07-01,84.36
1986-08-01,84.07
1986-09-01,82.45
1986-10-01,83.48
1986-11-01,85.06
1986-12-01,84.50
1987-01-01,84.73
1987-02-01,86.09
1987-03-01,82.24
1987-04-01,81.53
1987-05-01,84.85
1987-06-01,86.71
1987-07-01,85.53
1987-08-01,88.12
1987-09-01,89.74
1987-10-01,90.76
1987-11-01,91.83
1987-12-01,90.99
1988-01-01,88.26
1988-02-01,86.62
1988-03-01,85.87
1988-04-01,87.03
1988-05-01,86.19
1988-06-01,85.50
1988-07-01,88.75
1988-08-01,90.06
1988-09-01,89.85
1988-10-01,88.03
1988-11-01,90.59
1988-12-01,92.10
1989-01-01,91.31
1989-02-01,88.29
1989-03-01,91.99
1989-04-01,90.65
1989-05-01,90.98
1989-06-01,86.30
1989-07-01,81.75
1989-08-01,90.43
1989-09-01,91.10
1989-10-01,92.47
1989-11-01,91.70
1989-12-01,85.76
1990-01-01,93.02
1990-02-01,92.28
