Date,UMVPTI
1992-01-01,17874000000.00
1992-02-01,18066000000.00
1992-03-01,17655000000.00
1992-04-01,17369000000.00
1992-05-01,17048000000.00
1992-06-01,16798000000.00
1992-07-01,16820000000.00
1992-08-01,17687000000.00
1992-09-01,17729000000.00
1992-10-01,17500000000.00
1992-11-01,17656000000.00
1992-12-01,16751000000.00
1993-01-01,16927000000.00
1993-02-01,17342000000.00
1993-03-01,17088000000.00
1993-04-01,17113000000.00
1993-05-01,16752000000.00
1993-06-01,16469000000.00
1993-07-01,16624000000.00
1993-08-01,17983000000.00
1993-09-01,17803000000.00
1993-10-01,17945000000.00
1993-11-01,18477000000.00
1993-12-01,17853000000.00
1994-01-01,18274000000.00
1994-02-01,18710000000.00
1994-03-01,18259000000.00
1994-04-01,18213000000.00
1994-05-01,18545000000.00
1994-06-01,18423000000.00
1994-07-01,19177000000.00
1994-08-01,19517000000.00
1994-09-01,19628000000.00
1994-10-01,19601000000.00
1994-11-01,20115000000.00
1994-12-01,19791000000.00
1995-01-01,20278000000.00
1995-02-01,20507000000.00
1995-03-01,20467000000.00
1995-04-01,20394000000.00
1995-05-01,20506000000.00
1995-06-01,20044000000.00
1995-07-01,20768000000.00
1995-08-01,21121000000.00
1995-09-01,20720000000.00
1995-10-01,20749000000.00
1995-11-01,20984000000.00
1995-12-01,20359000000.00
1996-01-01,21025000000.00
1996-02-01,20979000000.00
1996-03-01,21276000000.00
1996-04-01,20895000000.00
1996-05-01,20615000000.00
1996-06-01,19991000000.00
1996-07-01,21178000000.00
1996-08-01,21489000000.00
1996-09-01,21350000000.00
1996-10-01,21489000000.00
1996-11-01,21267000000.00
1996-12-01,20744000000.00
1997-01-01,21149000000.00
1997-02-01,21457000000.00
1997-03-01,21424000000.00
1997-04-01,21560000000.00
1997-05-01,21843000000.00
1997-06-01,20763000000.00
1997-07-01,21633000000.00
1997-08-01,21604000000.00
1997-09-01,21719000000.00
1997-10-01,21139000000.00
1997-11-01,20959000000.00
1997-12-01,20298000000.00
1998-01-01,20865000000.00
1998-02-01,21126000000.00
1998-03-01,21524000000.00
1998-04-01,20940000000.00
1998-05-01,20902000000.00
1998-06-01,20792000000.00
1998-07-01,21079000000.00
1998-08-01,20751000000.00
1998-09-01,20720000000.00
1998-10-01,20651000000.00
1998-11-01,21288000000.00
1998-12-01,20764000000.00
1999-01-01,20886000000.00
1999-02-01,20876000000.00
1999-03-01,21766000000.00
1999-04-01,21066000000.00
1999-05-01,21255000000.00
1999-06-01,21218000000.00
1999-07-01,22110000000.00
1999-08-01,22166000000.00
1999-09-01,21726000000.00
1999-10-01,21966000000.00
1999-11-01,22609000000.00
1999-12-01,22102000000.00
2000-01-01,22551000000.00
2000-02-01,22917000000.00
2000-03-01,22615000000.00
2000-04-01,22765000000.00
2000-05-01,22976000000.00
2000-06-01,22643000000.00
2000-07-01,23490000000.00
2000-08-01,23541000000.00
2000-09-01,23397000000.00
2000-10-01,23361000000.00
2000-11-01,23243000000.00
2000-12-01,22283000000.00
2001-01-01,22592000000.00
2001-02-01,22752000000.00
2001-03-01,22149000000.00
2001-04-01,22560000000.00
2001-05-01,22225000000.00
2001-06-01,21642000000.00
2001-07-01,22170000000.00
2001-08-01,21804000000.00
2001-09-01,21456000000.00
2001-10-01,21306000000.00
2001-11-01,20682000000.00
2001-12-01,19868000000.00
2002-01-01,19867000000.00
2002-02-01,19778000000.00
2002-03-01,19859000000.00
2002-04-01,20467000000.00
2002-05-01,20615000000.00
2002-06-01,20501000000.00
2002-07-01,21466000000.00
2002-08-01,21126000000.00
2002-09-01,21514000000.00
2002-10-01,21529000000.00
2002-11-01,21239000000.00
2002-12-01,20890000000.00
2003-01-01,21460000000.00
2003-02-01,22053000000.00
2003-03-01,21477000000.00
2003-04-01,21788000000.00
2003-05-01,21651000000.00
2003-06-01,21165000000.00
2003-07-01,21780000000.00
2003-08-01,21835000000.00
2003-09-01,21482000000.00
2003-10-01,21385000000.00
2003-11-01,21389000000.00
2003-12-01,20795000000.00
2004-01-01,22087000000.00
2004-02-01,22352000000.00
2004-03-01,22316000000.00
2004-04-01,22543000000.00
2004-05-01,22526000000.00
2004-06-01,22610000000.00
2004-07-01,23113000000.00
2004-08-01,23181000000.00
2004-09-01,23420000000.00
2004-10-01,23176000000.00
2004-11-01,23339000000.00
2004-12-01,22012000000.00
2005-01-01,23455000000.00
2005-02-01,23982000000.00
2005-03-01,24303000000.00
2005-04-01,24676000000.00
2005-05-01,24587000000.00
2005-06-01,24241000000.00
2005-07-01,24431000000.00
2005-08-01,24432000000.00
2005-09-01,23890000000.00
2005-10-01,24443000000.00
2005-11-01,24538000000.00
2005-12-01,23102000000.00
2006-01-01,24154000000.00
2006-02-01,24509000000.00
2006-03-01,24546000000.00
2006-04-01,25193000000.00
2006-05-01,25343000000.00
2006-06-01,25086000000.00
2006-07-01,26118000000.00
2006-08-01,26260000000.00
2006-09-01,26150000000.00
2006-10-01,26569000000.00
2006-11-01,26983000000.00
2006-12-01,25649000000.00
2007-01-01,27103000000.00
2007-02-01,27455000000.00
2007-03-01,26964000000.00
2007-04-01,27156000000.00
2007-05-01,27126000000.00
2007-06-01,26173000000.00
2007-07-01,26835000000.00
2007-08-01,26521000000.00
2007-09-01,26404000000.00
2007-10-01,26360000000.00
2007-11-01,26127000000.00
2007-12-01,25138000000.00
2008-01-01,25933000000.00
2008-02-01,25848000000.00
2008-03-01,25708000000.00
2008-04-01,25714000000.00
2008-05-01,25460000000.00
2008-06-01,24925000000.00
2008-07-01,25121000000.00
2008-08-01,24835000000.00
2008-09-01,24171000000.00
2008-10-01,24139000000.00
2008-11-01,23611000000.00
2008-12-01,21786000000.00
2009-01-01,22306000000.00
2009-02-01,22124000000.00
2009-03-01,21299000000.00
2009-04-01,21172000000.00
2009-05-01,20866000000.00
2009-06-01,18923000000.00
2009-07-01,19307000000.00
2009-08-01,19229000000.00
2009-09-01,18993000000.00
2009-10-01,19090000000.00
2009-11-01,19485000000.00
2009-12-01,19195000000.00
2010-01-01,20321000000.00
2010-02-01,22041000000.00
2010-03-01,21730000000.00
2010-04-01,22260000000.00
2010-05-01,22434000000.00
2010-06-01,21747000000.00
2010-07-01,22344000000.00
2010-08-01,22548000000.00
2010-09-01,22171000000.00
2010-10-01,22326000000.00
2010-11-01,22917000000.00
2010-12-01,21782000000.00
2011-01-01,23045000000.00
2011-02-01,23656000000.00
2011-03-01,23308000000.00
2011-04-01,23957000000.00
2011-05-01,24430000000.00
2011-06-01,23828000000.00
2011-07-01,24896000000.00
2011-08-01,25153000000.00
2011-09-01,25227000000.00
2011-10-01,25624000000.00
2011-11-01,25734000000.00
2011-12-01,24756000000.00
2012-01-01,25989000000.00
2012-02-01,26048000000.00
2012-03-01,26092000000.00
2012-04-01,26167000000.00
2012-05-01,26667000000.00
2012-06-01,26228000000.00
2012-07-01,27522000000.00
2012-08-01,27920000000.00
2012-09-01,27825000000.00
2012-10-01,28745000000.00
2012-11-01,28914000000.00
2012-12-01,27961000000.00
2013-01-01,28958000000.00
2013-02-01,28915000000.00
2013-03-01,27954000000.00
2013-04-01,28690000000.00
2013-05-01,28945000000.00
2013-06-01,28280000000.00
2013-07-01,29622000000.00
2013-08-01,30243000000.00
2013-09-01,30623000000.00
2013-10-01,31401000000.00
2013-11-01,31071000000.00
2013-12-01,29786000000.00
2014-01-01,32143000000.00
2014-02-01,32525000000.00
2014-03-01,32071000000.00
2014-04-01,32745000000.00
2014-05-01,32205000000.00
2014-06-01,31499000000.00
2014-07-01,32807000000.00
2014-08-01,32896000000.00
2014-09-01,33527000000.00
2014-10-01,33912000000.00
2014-11-01,33864000000.00
2014-12-01,32570000000.00
2015-01-01,34781000000.00
2015-02-01,35667000000.00
2015-03-01,35797000000.00
2015-04-01,35588000000.00
2015-05-01,35311000000.00
2015-06-01,34452000000.00
2015-07-01,34963000000.00
2015-08-01,34877000000.00
2015-09-01,34173000000.00
2015-10-01,34682000000.00
2015-11-01,34461000000.00
2015-12-01,33619000000.00
2016-01-01,35213000000.00
2016-02-01,35390000000.00
2016-03-01,34937000000.00
2016-04-01,34133000000.00
2016-05-01,33682000000.00
2016-06-01,33897000000.00
2016-07-01,34922000000.00
2016-08-01,34792000000.00
2016-09-01,34090000000.00
2016-10-01,34490000000.00
2016-11-01,34638000000.00
2016-12-01,32915000000.00
2017-01-01,33703000000.00
2017-02-01,33421000000.00
2017-03-01,32904000000.00
2017-04-01,33175000000.00
2017-05-01,33388000000.00
2017-06-01,32364000000.00
2017-07-01,34297000000.00
2017-08-01,34102000000.00
2017-09-01,35192000000.00
2017-10-01,35128000000.00
2017-11-01,34926000000.00
2017-12-01,34224000000.00
2018-01-01,35870000000.00
2018-02-01,35978000000.00
2018-03-01,35633000000.00
2018-04-01,35607000000.00
2018-05-01,36022000000.00
