Date,BUSFIXINVESTCONTRIBNOW
2014-04-01,0.90
2014-07-01,0.93
2014-10-01,0.47
2015-01-01,-0.15
2015-04-01,0.20
2015-07-01,0.95
2015-10-01,0.33
2016-01-01,-0.26
2016-04-01,-0.06
2016-07-01,0.36
2016-10-01,0.44
2017-01-01,0.66
2017-04-01,0.49
2017-07-01,0.37
2017-10-01,0.86
2018-01-01,0.63
2018-04-01,0.74
