Date,TCU
1967-01-01,89.39
1967-02-01,87.98
1967-03-01,87.08
1967-04-01,87.51
1967-05-01,86.36
1967-06-01,85.96
1967-07-01,85.38
1967-08-01,86.63
1967-09-01,86.11
1967-10-01,86.43
1967-11-01,87.29
1967-12-01,87.84
1968-01-01,87.38
1968-02-01,87.35
1968-03-01,87.27
1968-04-01,87.05
1968-05-01,87.68
1968-06-01,87.66
1968-07-01,87.18
1968-08-01,87.09
1968-09-01,87.08
1968-10-01,86.91
1968-11-01,87.70
1968-12-01,87.64
1969-01-01,87.84
1969-02-01,88.08
1969-03-01,88.45
1969-04-01,87.81
1969-05-01,87.17
1969-06-01,87.70
1969-07-01,87.85
1969-08-01,87.74
1969-09-01,87.42
1969-10-01,87.13
1969-11-01,86.01
1969-12-01,85.48
1970-01-01,83.62
1970-02-01,83.30
1970-03-01,82.93
1970-04-01,82.46
1970-05-01,82.11
1970-06-01,81.59
1970-07-01,81.53
1970-08-01,81.14
1970-09-01,80.33
1970-10-01,78.48
1970-11-01,77.76
1970-12-01,79.31
1971-01-01,79.69
1971-02-01,79.34
1971-03-01,79.05
1971-04-01,79.29
1971-05-01,79.49
1971-06-01,79.62
1971-07-01,79.19
1971-08-01,78.53
1971-09-01,79.60
1971-10-01,80.00
1971-11-01,80.14
1971-12-01,80.86
1972-01-01,82.59
1972-02-01,83.19
1972-03-01,83.58
1972-04-01,84.26
1972-05-01,84.01
1972-06-01,84.04
1972-07-01,83.79
1972-08-01,84.68
1972-09-01,85.09
1972-10-01,85.97
1972-11-01,86.72
1972-12-01,87.45
1973-01-01,87.74
1973-02-01,88.75
1973-03-01,88.50
1973-04-01,88.09
1973-05-01,88.35
1973-06-01,88.11
1973-07-01,88.17
1973-08-01,87.73
1973-09-01,88.22
1973-10-01,88.54
1973-11-01,88.73
1973-12-01,88.26
1974-01-01,87.39
1974-02-01,86.88
1974-03-01,86.67
1974-04-01,86.15
1974-05-01,86.64
1974-06-01,86.34
1974-07-01,86.20
1974-08-01,85.19
1974-09-01,85.06
1974-10-01,84.58
1974-11-01,81.65
1974-12-01,78.64
1975-01-01,77.43
1975-02-01,75.51
1975-03-01,74.58
1975-04-01,74.52
1975-05-01,74.22
1975-06-01,74.58
1975-07-01,75.16
1975-08-01,75.81
1975-09-01,76.60
1975-10-01,76.80
1975-11-01,76.81
1975-12-01,77.60
1976-01-01,78.58
1976-02-01,79.18
1976-03-01,79.08
1976-04-01,79.34
1976-05-01,79.55
1976-06-01,79.38
1976-07-01,79.68
1976-08-01,80.06
1976-09-01,80.11
1976-10-01,79.95
1976-11-01,80.95
1976-12-01,81.60
1977-01-01,80.96
1977-02-01,81.99
1977-03-01,82.80
1977-04-01,83.37
1977-05-01,83.85
1977-06-01,84.24
1977-07-01,84.13
1977-08-01,83.93
1977-09-01,84.10
1977-10-01,84.02
1977-11-01,83.87
1977-12-01,83.77
1978-01-01,82.37
1978-02-01,82.55
1978-03-01,83.88
1978-04-01,85.38
1978-05-01,85.44
1978-06-01,85.79
1978-07-01,85.51
1978-08-01,85.60
1978-09-01,85.58
1978-10-01,86.03
1978-11-01,86.45
1978-12-01,86.69
1979-01-01,85.91
1979-02-01,86.16
1979-03-01,86.21
1979-04-01,85.03
1979-05-01,85.50
1979-06-01,85.30
1979-07-01,84.99
1979-08-01,84.23
1979-09-01,84.14
1979-10-01,84.43
1979-11-01,84.18
1979-12-01,84.12
1980-01-01,84.34
1980-02-01,84.18
1980-03-01,83.74
1980-04-01,81.87
1980-05-01,79.72
1980-06-01,78.57
1980-07-01,77.80
1980-08-01,77.92
1980-09-01,79.01
1980-10-01,79.83
1980-11-01,81.03
1980-12-01,81.29
1981-01-01,80.64
1981-02-01,80.06
1981-03-01,80.29
1981-04-01,79.73
1981-05-01,80.00
1981-06-01,80.17
1981-07-01,80.49
1981-08-01,80.28
1981-09-01,79.61
1981-10-01,78.88
1981-11-01,77.79
1981-12-01,76.76
1982-01-01,75.07
1982-02-01,76.39
1982-03-01,75.66
1982-04-01,74.84
1982-05-01,74.23
1982-06-01,73.86
1982-07-01,73.52
1982-08-01,72.78
1982-09-01,72.48
1982-10-01,71.76
1982-11-01,71.42
1982-12-01,70.84
1983-01-01,72.17
1983-02-01,71.69
1983-03-01,72.24
1983-04-01,73.10
1983-05-01,73.57
1983-06-01,73.98
1983-07-01,75.08
1983-08-01,75.88
1983-09-01,76.99
1983-10-01,77.57
1983-11-01,77.78
1983-12-01,78.11
1984-01-01,79.58
1984-02-01,79.82
1984-03-01,80.10
1984-04-01,80.49
1984-05-01,80.71
1984-06-01,80.84
1984-07-01,80.93
1984-08-01,80.83
1984-09-01,80.50
1984-10-01,80.18
1984-11-01,80.31
1984-12-01,80.20
1985-01-01,79.87
1985-02-01,79.95
1985-03-01,79.87
1985-04-01,79.45
1985-05-01,79.38
1985-06-01,79.24
1985-07-01,78.55
1985-08-01,78.71
1985-09-01,78.89
1985-10-01,78.43
1985-11-01,78.57
1985-12-01,79.28
1986-01-01,79.55
1986-02-01,78.93
1986-03-01,78.31
1986-04-01,78.27
1986-05-01,78.37
1986-06-01,78.03
1986-07-01,78.39
1986-08-01,78.21
1986-09-01,78.28
1986-10-01,78.55
1986-11-01,78.80
1986-12-01,79.34
1987-01-01,78.97
1987-02-01,79.85
1987-03-01,79.81
1987-04-01,80.15
1987-05-01,80.50
1987-06-01,80.72
1987-07-01,81.12
1987-08-01,81.64
1987-09-01,81.72
1987-10-01,82.78
1987-11-01,83.11
1987-12-01,83.41
1988-01-01,83.38
1988-02-01,83.68
1988-03-01,83.81
1988-04-01,84.25
1988-05-01,84.11
1988-06-01,84.30
1988-07-01,84.30
1988-08-01,84.63
1988-09-01,84.36
1988-10-01,84.71
1988-11-01,84.77
1988-12-01,85.09
1989-01-01,85.24
1989-02-01,84.73
1989-03-01,84.79
1989-04-01,84.71
1989-05-01,83.96
1989-06-01,83.82
1989-07-01,82.89
1989-08-01,83.46
1989-09-01,82.97
1989-10-01,82.71
1989-11-01,82.79
1989-12-01,83.10
1990-01-01,82.35
1990-02-01,82.99
1990-03-01,83.20
1990-04-01,82.90
1990-05-01,82.91
1990-06-01,83.02
1990-07-01,82.78
1990-08-01,82.89
1990-09-01,82.87
1990-10-01,82.12
1990-11-01,81.05
1990-12-01,80.42
1991-01-01,79.96
1991-02-01,79.32
1991-03-01,78.81
1991-04-01,78.89
1991-05-01,79.59
1991-06-01,80.22
1991-07-01,80.20
1991-08-01,80.17
1991-09-01,80.77
1991-10-01,80.52
1991-11-01,80.30
1991-12-01,79.85
1992-01-01,79.25
1992-02-01,79.66
1992-03-01,80.16
1992-04-01,80.59
