Date,TCU
1992-05-01,80.68
1992-06-01,80.51
1992-07-01,81.06
1992-08-01,80.49
1992-09-01,80.51
1992-10-01,80.95
1992-11-01,81.15
1992-12-01,81.08
1993-01-01,81.29
1993-02-01,81.52
1993-03-01,81.29
1993-04-01,81.46
1993-05-01,81.07
1993-06-01,81.09
1993-07-01,81.23
1993-08-01,81.03
1993-09-01,81.29
1993-10-01,81.77
1993-11-01,81.96
1993-12-01,82.24
1994-01-01,82.37
1994-02-01,82.20
1994-03-01,82.83
1994-04-01,83.08
1994-05-01,83.27
1994-06-01,83.56
1994-07-01,83.43
1994-08-01,83.66
1994-09-01,83.71
1994-10-01,84.15
1994-11-01,84.40
1994-12-01,84.99
1995-01-01,84.86
1995-02-01,84.45
1995-03-01,84.27
1995-04-01,83.93
1995-05-01,83.92
1995-06-01,83.90
1995-07-01,83.26
1995-08-01,83.99
1995-09-01,83.99
1995-10-01,83.55
1995-11-01,83.40
1995-12-01,83.36
1996-01-01,82.45
1996-02-01,83.36
1996-03-01,82.90
1996-04-01,83.27
1996-05-01,83.49
1996-06-01,83.80
1996-07-01,83.30
1996-08-01,83.39
1996-09-01,83.57
1996-10-01,83.13
1996-11-01,83.45
1996-12-01,83.58
1997-01-01,83.29
1997-02-01,83.87
1997-03-01,84.02
1997-04-01,83.61
1997-05-01,83.64
1997-06-01,83.59
1997-07-01,83.74
1997-08-01,84.12
1997-09-01,84.35
1997-10-01,84.55
1997-11-01,84.75
1997-12-01,84.45
1998-01-01,84.34
1998-02-01,83.88
1998-03-01,83.40
1998-04-01,83.17
1998-05-01,83.18
1998-06-01,82.16
1998-07-01,81.41
1998-08-01,82.64
1998-09-01,82.05
1998-10-01,82.30
1998-11-01,81.86
1998-12-01,81.77
1999-01-01,81.79
1999-02-01,81.86
1999-03-01,81.65
1999-04-01,81.56
1999-05-01,81.80
1999-06-01,81.35
1999-07-01,81.57
1999-08-01,81.62
1999-09-01,80.98
1999-10-01,81.76
1999-11-01,81.86
1999-12-01,82.20
2000-01-01,81.93
2000-02-01,81.87
2000-03-01,81.90
2000-04-01,82.23
2000-05-01,82.08
2000-06-01,81.89
2000-07-01,81.51
2000-08-01,81.01
2000-09-01,81.06
2000-10-01,80.56
2000-11-01,80.32
2000-12-01,79.85
2001-01-01,79.10
2001-02-01,78.37
2001-03-01,77.93
2001-04-01,77.48
2001-05-01,76.79
2001-06-01,76.13
2001-07-01,75.51
2001-08-01,75.22
2001-09-01,74.76
2001-10-01,74.27
2001-11-01,73.75
2001-12-01,73.64
2002-01-01,73.97
2002-02-01,73.85
2002-03-01,74.34
2002-04-01,74.56
2002-05-01,74.81
2002-06-01,75.47
2002-07-01,75.25
2002-08-01,75.23
2002-09-01,75.33
2002-10-01,75.11
2002-11-01,75.51
2002-12-01,75.17
2003-01-01,75.63
2003-02-01,75.90
2003-03-01,75.76
2003-04-01,75.26
2003-05-01,75.30
2003-06-01,75.46
2003-07-01,75.80
2003-08-01,75.71
2003-09-01,76.17
2003-10-01,76.30
2003-11-01,76.90
2003-12-01,76.85
2004-01-01,77.06
2004-02-01,77.53
2004-03-01,77.16
2004-04-01,77.52
2004-05-01,78.14
2004-06-01,77.50
2004-07-01,78.10
2004-08-01,78.15
2004-09-01,78.21
2004-10-01,78.92
2004-11-01,79.06
2004-12-01,79.59
2005-01-01,79.90
2005-02-01,80.37
2005-03-01,80.18
2005-04-01,80.21
2005-05-01,80.22
2005-06-01,80.43
2005-07-01,80.08
2005-08-01,80.19
2005-09-01,78.59
2005-10-01,79.47
2005-11-01,80.17
2005-12-01,80.55
2006-01-01,80.54
2006-02-01,80.44
2006-03-01,80.49
2006-04-01,80.70
2006-05-01,80.50
2006-06-01,80.68
2006-07-01,80.51
2006-08-01,80.67
2006-09-01,80.34
2006-10-01,80.12
2006-11-01,79.85
2006-12-01,80.51
2007-01-01,79.91
2007-02-01,80.54
2007-03-01,80.53
2007-04-01,80.94
2007-05-01,80.82
2007-06-01,80.70
2007-07-01,80.56
2007-08-01,80.66
2007-09-01,80.93
2007-10-01,80.57
2007-11-01,81.03
2007-12-01,81.10
2008-01-01,80.92
2008-02-01,80.70
2008-03-01,80.56
2008-04-01,80.01
2008-05-01,79.60
2008-06-01,79.44
2008-07-01,79.01
2008-08-01,77.77
2008-09-01,74.35
2008-10-01,75.00
2008-11-01,73.98
2008-12-01,71.74
2009-01-01,69.96
2009-02-01,69.43
2009-03-01,68.28
2009-04-01,67.69
2009-05-01,66.98
2009-06-01,66.71
2009-07-01,67.47
2009-08-01,68.28
2009-09-01,68.86
2009-10-01,69.18
2009-11-01,69.57
2009-12-01,69.91
2010-01-01,70.87
2010-02-01,71.27
2010-03-01,71.89
2010-04-01,72.33
2010-05-01,73.53
2010-06-01,73.78
2010-07-01,74.24
2010-08-01,74.61
2010-09-01,74.88
2010-10-01,74.77
2010-11-01,74.87
2010-12-01,75.63
2011-01-01,75.59
2011-02-01,75.27
2011-03-01,76.01
2011-04-01,75.73
2011-05-01,75.84
2011-06-01,75.98
2011-07-01,76.30
2011-08-01,76.64
2011-09-01,76.49
2011-10-01,76.91
2011-11-01,76.74
2011-12-01,77.03
2012-01-01,77.36
2012-02-01,77.44
2012-03-01,76.93
2012-04-01,77.39
2012-05-01,77.40
2012-06-01,77.25
2012-07-01,77.33
2012-08-01,76.90
2012-09-01,76.78
2012-10-01,76.84
2012-11-01,77.11
2012-12-01,77.25
2013-01-01,77.11
2013-02-01,77.44
2013-03-01,77.64
2013-04-01,77.47
2013-05-01,77.43
2013-06-01,77.51
2013-07-01,77.06
2013-08-01,77.55
2013-09-01,77.87
2013-10-01,77.71
2013-11-01,77.88
2013-12-01,78.05
2014-01-01,77.63
2014-02-01,78.23
2014-03-01,78.90
2014-04-01,78.92
2014-05-01,79.07
2014-06-01,79.23
2014-07-01,79.23
2014-08-01,79.06
2014-09-01,79.18
2014-10-01,79.09
2014-11-01,79.62
2014-12-01,79.40
2015-01-01,78.84
2015-02-01,78.43
2015-03-01,78.12
2015-04-01,77.67
2015-05-01,77.25
2015-06-01,76.93
2015-07-01,77.31
2015-08-01,77.20
2015-09-01,76.88
2015-10-01,76.58
2015-11-01,76.09
2015-12-01,75.72
2016-01-01,76.25
2016-02-01,75.71
2016-03-01,75.08
2016-04-01,75.19
2016-05-01,75.04
2016-06-01,75.26
2016-07-01,75.36
2016-08-01,75.26
2016-09-01,75.12
2016-10-01,75.18
2016-11-01,74.98
2016-12-01,75.65
2017-01-01,75.45
2017-02-01,75.14
2017-03-01,75.54
2017-04-01,76.24
2017-05-01,76.22
2017-06-01,76.23
2017-07-01,76.09
2017-08-01,75.73
2017-09-01,75.66
2017-10-01,76.76
2017-11-01,77.07
2017-12-01,77.32
2018-01-01,76.98
2018-02-01,77.19
2018-03-01,77.48
2018-04-01,78.06
2018-05-01,77.86
