Date,CEXPUAMFRBDAL
2004-06-01,32.90
2004-07-01,24.60
2004-08-01,33.80
2004-09-01,26.40
2004-10-01,18.20
2004-11-01,17.40
2004-12-01,16.20
2005-01-01,4.90
2005-02-01,18.20
2005-03-01,22.70
2005-04-01,15.20
2005-05-01,16.60
2005-06-01,20.30
2005-07-01,16.40
2005-08-01,15.80
2005-09-01,10.70
2005-10-01,10.40
2005-11-01,14.30
2005-12-01,7.90
2006-01-01,23.50
2006-02-01,23.30
2006-03-01,15.50
2006-04-01,19.40
2006-05-01,13.20
2006-06-01,11.20
2006-07-01,15.60
2006-08-01,20.90
2006-09-01,25.40
2006-10-01,11.70
2006-11-01,11.80
2006-12-01,3.50
2007-01-01,6.10
2007-02-01,14.30
2007-03-01,17.50
2007-04-01,17.70
2007-05-01,15.50
2007-06-01,18.60
2007-07-01,8.80
2007-08-01,11.70
2007-09-01,18.40
2007-10-01,11.50
2007-11-01,11.50
2007-12-01,4.40
2008-01-01,-4.40
2008-02-01,4.50
2008-03-01,2.70
2008-04-01,4.50
2008-05-01,6.60
2008-06-01,-3.70
2008-07-01,-7.70
2008-08-01,-0.90
2008-09-01,-13.70
2008-10-01,-16.00
2008-11-01,-16.10
2008-12-01,-24.80
2009-01-01,-32.70
2009-02-01,-42.70
2009-03-01,-35.30
2009-04-01,-18.00
2009-05-01,-17.10
2009-06-01,-18.40
2009-07-01,-24.50
2009-08-01,-15.30
2009-09-01,-12.80
2009-10-01,-12.10
2009-11-01,-15.50
2009-12-01,-15.40
2010-01-01,-7.90
2010-02-01,-8.80
2010-03-01,-7.80
2010-04-01,1.10
2010-05-01,4.70
2010-06-01,1.90
2010-07-01,1.00
2010-08-01,1.00
2010-09-01,-12.10
2010-10-01,-1.90
2010-11-01,2.10
2010-12-01,4.20
2011-01-01,1.00
2011-02-01,6.30
2011-03-01,6.00
2011-04-01,7.50
2011-05-01,8.70
2011-06-01,2.40
2011-07-01,-2.30
2011-08-01,8.40
2011-09-01,1.10
2011-10-01,7.80
2011-11-01,3.30
2011-12-01,4.50
2012-01-01,3.30
2012-02-01,12.90
2012-03-01,5.60
2012-04-01,9.00
2012-05-01,10.50
2012-06-01,11.00
2012-07-01,-2.30
2012-08-01,5.60
2012-09-01,11.40
2012-10-01,8.90
2012-11-01,5.00
2012-12-01,10.00
2013-01-01,15.90
2013-02-01,13.10
2013-03-01,13.20
2013-04-01,6.40
2013-05-01,4.30
2013-06-01,11.90
2013-07-01,1.20
2013-08-01,13.40
2013-09-01,8.90
2013-10-01,11.10
2013-11-01,9.50
2013-12-01,10.50
2014-01-01,14.30
2014-02-01,6.40
2014-03-01,13.10
2014-04-01,14.00
2014-05-01,15.20
2014-06-01,11.80
2014-07-01,8.80
2014-08-01,6.30
2014-09-01,5.80
2014-10-01,8.30
2014-11-01,10.40
2014-12-01,1.00
2015-01-01,-3.90
2015-02-01,-4.70
2015-04-01,4.70
2015-05-01,5.40
2015-06-01,2.70
2015-07-01,-0.90
2015-08-01,6.20
2015-09-01,-5.40
2015-10-01,-0.90
2015-11-01,1.60
2015-12-01,-0.90
2016-02-01,-1.70
2016-03-01,-0.80
2016-04-01,2.90
2016-05-01,-4.60
2016-06-01,-0.80
2016-07-01,1.80
2016-08-01,-4.60
2016-09-01,4.70
2016-10-01,8.10
2016-11-01,0.90
2016-12-01,3.70
2017-01-01,14.10
2017-02-01,15.10
2017-03-01,13.40
2017-04-01,7.60
2017-05-01,13.40
2017-06-01,14.20
2017-07-01,9.00
2017-08-01,16.40
2017-09-01,16.20
2017-10-01,13.40
2017-11-01,15.00
2017-12-01,16.50
2018-01-01,18.10
2018-02-01,25.50
2018-03-01,18.90
2018-04-01,24.80
2018-05-01,23.80
2018-06-01,25.20
