Date,U35SVS
2010-12-01,9546000000.00
2011-01-01,8454000000.00
2011-02-01,8859000000.00
2011-03-01,10699000000.00
2011-04-01,9609000000.00
2011-05-01,9931000000.00
2011-06-01,10745000000.00
2011-07-01,9148000000.00
2011-08-01,10597000000.00
2011-09-01,10968000000.00
2011-10-01,10062000000.00
2011-11-01,9836000000.00
2011-12-01,9858000000.00
2012-01-01,9205000000.00
2012-02-01,9736000000.00
2012-03-01,11196000000.00
2012-04-01,10128000000.00
2012-05-01,10771000000.00
2012-06-01,11118000000.00
2012-07-01,9767000000.00
2012-08-01,10665000000.00
2012-09-01,10568000000.00
2012-10-01,10401000000.00
2012-11-01,10152000000.00
2012-12-01,9910000000.00
2013-01-01,9350000000.00
2013-02-01,9677000000.00
2013-03-01,10820000000.00
2013-04-01,10165000000.00
2013-05-01,10784000000.00
2013-06-01,11064000000.00
2013-07-01,9908000000.00
2013-08-01,10526000000.00
2013-09-01,10833000000.00
2013-10-01,10590000000.00
2013-11-01,10061000000.00
2013-12-01,9735000000.00
2014-01-01,9180000000.00
2014-02-01,9374000000.00
2014-03-01,11133000000.00
2014-04-01,10063000000.00
2014-05-01,10571000000.00
2014-06-01,11405000000.00
2014-07-01,10308000000.00
2014-08-01,10962000000.00
2014-09-01,11526000000.00
2014-10-01,10788000000.00
2014-11-01,10382000000.00
2014-12-01,10758000000.00
2015-01-01,9415000000.00
2015-02-01,9770000000.00
2015-03-01,11156000000.00
2015-04-01,10333000000.00
2015-05-01,10353000000.00
2015-06-01,11315000000.00
2015-07-01,10275000000.00
2015-08-01,10628000000.00
2015-09-01,11099000000.00
2015-10-01,10650000000.00
2015-11-01,10112000000.00
2015-12-01,10328000000.00
2016-01-01,9004000000.00
2016-02-01,9546000000.00
2016-03-01,10634000000.00
2016-04-01,9941000000.00
2016-05-01,10293000000.00
2016-06-01,11148000000.00
2016-07-01,9829000000.00
2016-08-01,11022000000.00
2016-09-01,11198000000.00
2016-10-01,10724000000.00
2016-11-01,10316000000.00
2016-12-01,10527000000.00
2017-01-01,9322000000.00
2017-02-01,9684000000.00
2017-03-01,11488000000.00
2017-04-01,10166000000.00
2017-05-01,10848000000.00
2017-06-01,11784000000.00
