Date,CUMFNS
1948-01-01,84.43
1948-02-01,83.96
1948-03-01,83.38
1948-04-01,82.80
1948-05-01,83.30
1948-06-01,83.65
1948-07-01,83.38
1948-08-01,82.66
1948-09-01,81.49
1948-10-01,81.69
1948-11-01,80.24
1948-12-01,79.31
1949-01-01,77.94
1949-02-01,76.88
1949-03-01,75.89
1949-04-01,74.16
1949-05-01,73.18
1949-06-01,73.08
1949-07-01,73.13
1949-08-01,73.61
1949-09-01,74.80
1949-10-01,71.68
1949-11-01,72.02
1949-12-01,73.63
1950-01-01,74.94
1950-02-01,75.39
1950-03-01,76.39
1950-04-01,79.21
1950-05-01,81.04
1950-06-01,83.12
1950-07-01,85.48
1950-08-01,88.37
1950-09-01,87.23
1950-10-01,87.48
1950-11-01,87.03
1950-12-01,88.10
1951-01-01,88.33
1951-02-01,88.29
1951-03-01,88.38
1951-04-01,88.20
1951-05-01,87.35
1951-06-01,86.64
1951-07-01,84.87
1951-08-01,83.64
1951-09-01,83.75
1951-10-01,83.06
1951-11-01,83.56
1951-12-01,83.91
1952-01-01,84.38
1952-02-01,84.60
1952-03-01,84.66
1952-04-01,83.56
1952-05-01,83.11
1952-06-01,81.90
1952-07-01,79.80
1952-08-01,85.10
1952-09-01,87.69
1952-10-01,88.75
1952-11-01,90.18
1952-12-01,90.49
1953-01-01,90.55
1953-02-01,91.10
1953-03-01,91.43
1953-04-01,91.50
1953-05-01,91.69
1953-06-01,90.66
1953-07-01,90.98
1953-08-01,90.56
1953-09-01,88.33
1953-10-01,87.19
1953-11-01,84.74
1953-12-01,82.31
1954-01-01,81.33
1954-02-01,80.84
1954-03-01,80.24
1954-04-01,79.40
1954-05-01,79.76
1954-06-01,79.87
1954-07-01,79.40
1954-08-01,78.81
1954-09-01,79.16
1954-10-01,79.75
1954-11-01,80.91
1954-12-01,81.80
1955-01-01,83.49
1955-02-01,84.13
1955-03-01,85.77
1955-04-01,86.70
1955-05-01,87.86
1955-06-01,87.65
1955-07-01,87.66
1955-08-01,87.33
1955-09-01,87.46
1955-10-01,88.37
1955-11-01,88.27
1955-12-01,89.03
1956-01-01,88.23
1956-02-01,87.44
1956-03-01,86.96
1956-04-01,87.80
1956-05-01,86.34
1956-06-01,85.33
1956-07-01,81.52
1956-08-01,84.95
1956-09-01,85.99
1956-10-01,86.49
1956-11-01,85.82
1956-12-01,86.78
1957-01-01,86.15
1957-02-01,87.00
1957-03-01,86.41
1957-04-01,85.00
1957-05-01,84.21
1957-06-01,84.58
1957-07-01,84.32
1957-08-01,84.16
1957-09-01,83.19
1957-10-01,81.39
1957-11-01,79.41
1957-12-01,77.55
1958-01-01,75.70
1958-02-01,73.76
1958-03-01,72.74
1958-04-01,71.33
1958-05-01,71.94
1958-06-01,73.95
1958-07-01,74.34
1958-08-01,75.73
1958-09-01,76.22
1958-10-01,76.41
1958-11-01,79.07
1958-12-01,79.04
1959-01-01,80.20
1959-02-01,81.44
1959-03-01,82.48
1959-04-01,83.99
1959-05-01,84.92
1959-06-01,84.77
1959-07-01,82.98
1959-08-01,79.47
1959-09-01,79.05
1959-10-01,78.15
1959-11-01,78.51
1959-12-01,83.57
1960-01-01,85.56
1960-02-01,84.61
1960-03-01,83.24
1960-04-01,82.26
1960-05-01,81.47
1960-06-01,80.22
1960-07-01,79.73
1960-08-01,79.05
1960-09-01,77.92
1960-10-01,77.53
1960-11-01,75.77
1960-12-01,74.26
1961-01-01,74.11
1961-02-01,73.51
1961-03-01,73.86
1961-04-01,75.38
1961-05-01,76.36
1961-06-01,77.32
1961-07-01,78.11
1961-08-01,78.98
1961-09-01,78.16
1961-10-01,79.55
1961-11-01,80.77
1961-12-01,81.60
1962-01-01,80.24
1962-02-01,81.43
1962-03-01,81.89
1962-04-01,81.74
1962-05-01,81.33
1962-06-01,80.93
1962-07-01,81.48
1962-08-01,81.42
1962-09-01,81.79
1962-10-01,81.39
1962-11-01,81.84
1962-12-01,81.68
1963-01-01,81.94
1963-02-01,82.38
1963-03-01,82.62
1963-04-01,83.46
1963-05-01,83.95
1963-06-01,83.94
1963-07-01,83.34
1963-08-01,83.50
1963-09-01,83.82
1963-10-01,84.31
1963-11-01,84.29
1963-12-01,84.01
1964-01-01,84.46
1964-02-01,84.67
1964-03-01,84.36
1964-04-01,85.59
1964-05-01,85.60
1964-06-01,85.45
1964-07-01,85.86
1964-08-01,86.11
1964-09-01,86.20
1964-10-01,84.63
1964-11-01,86.85
1964-12-01,88.00
1965-01-01,88.60
1965-02-01,88.72
1965-03-01,89.28
1965-04-01,89.29
1965-05-01,89.45
1965-06-01,89.46
1965-07-01,90.30
1965-08-01,89.85
1965-09-01,89.56
1965-10-01,89.79
1965-11-01,89.65
1965-12-01,90.51
1966-01-01,90.86
1966-02-01,90.91
1966-03-01,91.59
1966-04-01,91.54
1966-05-01,91.64
1966-06-01,91.52
1966-07-01,91.40
1966-08-01,91.08
1966-09-01,91.25
1966-10-01,91.62
1966-11-01,90.13
1966-12-01,90.02
1967-01-01,89.84
1967-02-01,88.39
1967-03-01,87.52
1967-04-01,87.66
1967-05-01,86.61
1967-06-01,86.07
1967-07-01,85.31
1967-08-01,86.49
1967-09-01,86.06
1967-10-01,86.37
1967-11-01,87.53
1967-12-01,88.00
1968-01-01,87.41
1968-02-01,87.40
1968-03-01,87.16
1968-04-01,86.86
1968-05-01,87.57
1968-06-01,87.37
1968-07-01,86.73
1968-08-01,86.78
1968-09-01,86.46
1968-10-01,86.63
1968-11-01,87.48
1968-12-01,87.12
1969-01-01,87.29
1969-02-01,87.65
1969-03-01,87.98
1969-04-01,87.28
1969-05-01,86.60
1969-06-01,86.79
1969-07-01,87.09
1969-08-01,86.88
1969-09-01,86.44
1969-10-01,86.20
1969-11-01,84.98
1969-12-01,84.21
1970-01-01,82.09
1970-02-01,81.89
1970-03-01,81.40
1970-04-01,80.85
1970-05-01,80.41
1970-06-01,79.91
1970-07-01,79.91
1970-08-01,79.12
1970-09-01,78.21
1970-10-01,76.22
1970-11-01,75.52
1970-12-01,77.27
1971-01-01,77.71
1971-02-01,77.54
1971-03-01,77.18
1971-04-01,77.39
1971-05-01,77.71
1971-06-01,77.71
1971-07-01,77.64
1971-08-01,76.53
1971-09-01,77.88
1971-10-01,78.84
1971-11-01,78.93
1971-12-01,79.46
1972-01-01,81.28
1972-02-01,81.69
1972-03-01,82.06
1972-04-01,82.81
1972-05-01,82.68
1972-06-01,82.77
1972-07-01,82.60
1972-08-01,83.42
1972-09-01,83.84
1972-10-01,84.84
1972-11-01,85.63
1972-12-01,86.53
1973-01-01,86.86
1973-02-01,88.02
1973-03-01,87.90
1973-04-01,87.49
1973-05-01,87.74
1973-06-01,87.41
1973-07-01,87.53
1973-08-01,87.00
1973-09-01,87.48
1973-10-01,87.91
1973-11-01,88.32
1973-12-01,88.13
1974-01-01,87.14
1974-02-01,86.53
1974-03-01,86.22
1974-04-01,85.55
1974-05-01,85.98
1974-06-01,85.84
1974-07-01,85.47
1974-08-01,84.58
1974-09-01,84.44
1974-10-01,83.62
1974-11-01,80.95
1974-12-01,77.19
1975-01-01,75.47
1975-02-01,73.23
1975-03-01,72.14
1975-04-01,71.92
1975-05-01,71.75
1975-06-01,72.24
1975-07-01,73.07
1975-08-01,73.73
1975-09-01,74.76
1975-10-01,75.03
1975-11-01,75.06
1975-12-01,75.88
1976-01-01,76.73
1976-02-01,77.67
1976-03-01,77.63
1976-04-01,77.94
1976-05-01,78.22
1976-06-01,78.04
1976-07-01,78.45
1976-08-01,78.79
1976-09-01,78.78
1976-10-01,78.56
1976-11-01,79.35
1976-12-01,79.97
1977-01-01,79.58
1977-02-01,80.78
1977-03-01,81.73
1977-04-01,82.36
1977-05-01,82.85
1977-06-01,83.32
1977-07-01,83.09
1977-08-01,83.23
1977-09-01,83.12
1977-10-01,83.07
1977-11-01,82.96
1977-12-01,83.61
1978-01-01,82.17
1978-02-01,82.21
1978-03-01,83.40
1978-04-01,84.50
1978-05-01,84.51
1978-06-01,84.90
1978-07-01,84.59
1978-08-01,84.72
1978-09-01,84.85
1978-10-01,85.22
1978-11-01,85.74
1978-12-01,86.14
1979-01-01,85.18
1979-02-01,85.26
1979-03-01,85.43
1979-04-01,83.82
1979-05-01,84.68
1979-06-01,84.54
1979-07-01,84.42
1979-08-01,83.15
1979-09-01,83.15
